Identificador_Agricultor,dano_na_plantacao
SCROP80130,0
SCROP80131,0
SCROP80132,0
SCROP80133,0
SCROP80134,0
SCROP80135,0
SCROP80136,1
SCROP80137,0
SCROP80138,0
SCROP80139,0
SCROP80140,0
SCROP80141,1
SCROP80142,0
SCROP80143,0
SCROP80144,0
SCROP80145,0
SCROP80146,0
SCROP80147,0
SCROP80148,1
SCROP80149,0
SCROP80150,0
SCROP80151,0
SCROP80152,0
SCROP80153,0
SCROP80154,0
SCROP80155,0
SCROP80156,0
SCROP80157,0
SCROP80158,0
SCROP80159,0
SCROP80160,0
SCROP80161,0
SCROP80162,0
SCROP80163,0
SCROP80164,0
SCROP80165,0
SCROP80166,0
SCROP80167,0
SCROP80168,0
SCROP80169,0
SCROP80170,0
SCROP80171,0
SCROP80172,0
SCROP80173,0
SCROP80174,0
SCROP80175,0
SCROP80176,0
SCROP80177,0
SCROP80178,1
SCROP80179,0
SCROP80180,0
SCROP80181,0
SCROP80182,0
SCROP80183,0
SCROP80184,2
SCROP80185,0
SCROP80186,0
SCROP80187,0
SCROP80188,0
SCROP80189,0
SCROP80190,0
SCROP80191,0
SCROP80192,0
SCROP80193,1
SCROP80194,1
SCROP80195,1
SCROP80196,0
SCROP80197,0
SCROP80198,0
SCROP80199,0
SCROP80200,0
SCROP80201,0
SCROP80202,0
SCROP80203,1
SCROP80204,0
SCROP80205,0
SCROP80206,0
SCROP80207,0
SCROP80208,0
SCROP80209,0
SCROP80210,0
SCROP80211,0
SCROP80212,2
SCROP80213,0
SCROP80214,0
SCROP80215,1
SCROP80216,1
SCROP80217,0
SCROP80218,1
SCROP80219,0
SCROP80220,1
SCROP80221,0
SCROP80222,0
SCROP80223,0
SCROP80224,0
SCROP80225,0
SCROP80226,0
SCROP80227,0
SCROP80228,0
SCROP80229,0
SCROP80230,0
SCROP80231,0
SCROP80232,0
SCROP80233,0
SCROP80234,0
SCROP80235,0
SCROP80236,0
SCROP80237,0
SCROP80238,0
SCROP80239,0
SCROP80240,0
SCROP80241,0
SCROP80242,0
SCROP80243,0
SCROP80244,0
SCROP80245,0
SCROP80246,0
SCROP80247,0
SCROP80248,1
SCROP80249,1
SCROP80250,0
SCROP80251,0
SCROP80252,1
SCROP80253,0
SCROP80254,1
SCROP80255,0
SCROP80256,0
SCROP80257,0
SCROP80258,0
SCROP80259,0
SCROP80260,0
SCROP80261,0
SCROP80262,0
SCROP80263,1
SCROP80264,0
SCROP80265,0
SCROP80266,2
SCROP80267,2
SCROP80268,0
SCROP80269,2
SCROP80270,0
SCROP80271,0
SCROP80272,0
SCROP80273,0
SCROP80274,0
SCROP80275,0
SCROP80276,0
SCROP80277,1
SCROP80278,0
SCROP80279,0
SCROP80280,0
SCROP80281,1
SCROP80282,0
SCROP80283,0
SCROP80284,1
SCROP80285,0
SCROP80286,0
SCROP80287,1
SCROP80288,0
SCROP80289,0
SCROP80290,0
SCROP80291,0
SCROP80292,0
SCROP80293,0
SCROP80294,0
SCROP80295,2
SCROP80296,1
SCROP80297,0
SCROP80298,0
SCROP80299,0
SCROP80300,0
SCROP80301,0
SCROP80302,0
SCROP80303,0
SCROP80304,0
SCROP80305,0
SCROP80306,0
SCROP80307,2
SCROP80308,0
SCROP80309,1
SCROP80310,0
SCROP80311,0
SCROP80312,1
SCROP80313,0
SCROP80314,0
SCROP80315,0
SCROP80316,2
SCROP80317,1
SCROP80318,0
SCROP80319,0
SCROP80320,1
SCROP80321,0
SCROP80322,0
SCROP80323,0
SCROP80324,0
SCROP80325,0
SCROP80326,0
SCROP80327,0
SCROP80328,0
SCROP80329,0
SCROP80330,1
SCROP80331,0
SCROP80332,1
SCROP80333,0
SCROP80334,2
SCROP80335,0
SCROP80336,0
SCROP80337,1
SCROP80338,0
SCROP80339,0
SCROP80340,0
SCROP80341,0
SCROP80342,0
SCROP80343,0
SCROP80344,0
SCROP80345,0
SCROP80346,0
SCROP80347,0
SCROP80348,2
SCROP80349,0
SCROP80350,0
SCROP80351,0
SCROP80352,0
SCROP80353,0
SCROP80354,0
SCROP80355,0
SCROP80356,1
SCROP80357,0
SCROP80358,0
SCROP80359,0
SCROP80360,2
SCROP80361,0
SCROP80362,1
SCROP80363,0
SCROP80364,0
SCROP80365,0
SCROP80366,0
SCROP80367,2
SCROP80368,1
SCROP80369,0
SCROP80370,2
SCROP80371,0
SCROP80372,0
SCROP80373,0
SCROP80374,0
SCROP80375,0
SCROP80376,0
SCROP80377,0
SCROP80378,2
SCROP80379,1
SCROP80380,0
SCROP80381,0
SCROP80382,1
SCROP80383,1
SCROP80384,1
SCROP80385,0
SCROP80386,0
SCROP80387,0
SCROP80388,0
SCROP80389,0
SCROP80390,1
SCROP80391,1
SCROP80392,0
SCROP80393,2
SCROP80394,1
SCROP80395,0
SCROP80396,0
SCROP80397,2
SCROP80398,2
SCROP80399,0
SCROP80400,0
SCROP80401,0
SCROP80402,0
SCROP80403,2
SCROP80404,0
SCROP80405,0
SCROP80406,1
SCROP80407,2
SCROP80408,0
SCROP80409,1
SCROP80410,0
SCROP80411,0
SCROP80412,1
SCROP80413,0
SCROP80414,0
SCROP80415,0
SCROP80416,0
SCROP80417,2
SCROP80418,1
SCROP80419,1
SCROP80420,0
SCROP80421,0
SCROP80422,2
SCROP80423,1
SCROP80424,0
SCROP80425,0
SCROP80426,1
SCROP80427,0
SCROP80428,0
SCROP80429,0
SCROP80430,0
SCROP80431,0
SCROP80432,0
SCROP80433,1
SCROP80434,0
SCROP80435,2
SCROP80436,0
SCROP80437,0
SCROP80438,1
SCROP80439,0
SCROP80440,0
SCROP80441,0
SCROP80442,1
SCROP80443,2
SCROP80444,1
SCROP80445,0
SCROP80446,0
SCROP80447,0
SCROP80448,2
SCROP80449,0
SCROP80450,0
SCROP80451,0
SCROP80452,1
SCROP80453,0
SCROP80454,1
SCROP80455,1
SCROP80456,0
SCROP80457,1
SCROP80458,2
SCROP80459,1
SCROP80460,0
SCROP80461,1
SCROP80462,1
SCROP80463,0
SCROP80464,2
SCROP80465,0
SCROP80466,0
SCROP80467,1
SCROP80468,0
SCROP80469,0
SCROP80470,1
SCROP80471,0
SCROP80472,0
SCROP80473,0
SCROP80474,1
SCROP80475,0
SCROP80476,0
SCROP80477,1
SCROP80478,2
SCROP80479,1
SCROP80480,0
SCROP80481,0
SCROP80482,0
SCROP80483,0
SCROP80484,0
SCROP80485,0
SCROP80486,1
SCROP80487,0
SCROP80488,1
SCROP80489,1
SCROP80490,1
SCROP80491,0
SCROP80492,2
SCROP80493,1
SCROP80494,0
SCROP80495,0
SCROP80496,2
SCROP80497,2
SCROP80498,0
SCROP80499,0
SCROP80500,1
SCROP80501,0
SCROP80502,1
SCROP80503,1
SCROP80504,0
SCROP80505,0
SCROP80506,0
SCROP80507,0
SCROP80508,0
SCROP80509,0
SCROP80510,0
SCROP80511,0
SCROP80512,0
SCROP80513,1
SCROP80514,0
SCROP80515,0
SCROP80516,2
SCROP80517,1
SCROP80518,0
SCROP80519,0
SCROP80520,0
SCROP80521,0
SCROP80522,1
SCROP80523,1
SCROP80524,1
SCROP80525,0
SCROP80526,0
SCROP80527,0
SCROP80528,0
SCROP80529,1
SCROP80530,0
SCROP80531,0
SCROP80532,0
SCROP80533,1
SCROP80534,1
SCROP80535,0
SCROP80536,0
SCROP80537,0
SCROP80538,0
SCROP80539,1
SCROP80540,0
SCROP80541,0
SCROP80542,0
SCROP80543,1
SCROP80544,0
SCROP80545,1
SCROP80546,0
SCROP80547,1
SCROP80548,1
SCROP80549,0
SCROP80550,1
SCROP80551,0
SCROP80552,0
SCROP80553,1
SCROP80554,1
SCROP80555,1
SCROP80556,0
SCROP80557,0
SCROP80558,0
SCROP80559,0
SCROP80560,0
SCROP80561,1
SCROP80562,0
SCROP80563,1
SCROP80564,0
SCROP80565,0
SCROP80566,1
SCROP80567,1
SCROP80568,1
SCROP80569,2
SCROP80570,0
SCROP80571,0
SCROP80572,0
SCROP80573,2
SCROP80574,1
SCROP80575,0
SCROP80576,0
SCROP80577,1
SCROP80578,0
SCROP80579,2
SCROP80580,0
SCROP80581,0
SCROP80582,0
SCROP80583,0
SCROP80584,1
SCROP80585,2
SCROP80586,0
SCROP80587,2
SCROP80588,1
SCROP80589,0
SCROP80590,1
SCROP80591,1
SCROP80592,0
SCROP80593,1
SCROP80594,0
SCROP80595,0
SCROP80596,0
SCROP80597,0
SCROP80598,0
SCROP80599,0
SCROP80600,0
SCROP80601,1
SCROP80602,0
SCROP80603,1
SCROP80604,1
SCROP80605,1
SCROP80606,1
SCROP80607,0
SCROP80608,0
SCROP80609,1
SCROP80610,1
SCROP80611,0
SCROP80612,1
SCROP80613,0
SCROP80614,0
SCROP80615,2
SCROP80616,2
SCROP80617,2
SCROP80618,2
SCROP80619,1
SCROP80620,0
SCROP80621,1
SCROP80622,2
SCROP80623,1
SCROP80624,0
SCROP80625,0
SCROP80626,0
SCROP80627,0
SCROP80628,1
SCROP80629,0
SCROP80630,1
SCROP80631,1
SCROP80632,1
SCROP80633,1
SCROP80634,0
SCROP80635,0
SCROP80636,0
SCROP80637,2
SCROP80638,0
SCROP80639,0
SCROP80640,1
SCROP80641,2
SCROP80642,0
SCROP80643,2
SCROP80644,2
SCROP80645,0
SCROP80646,0
SCROP80647,0
SCROP80648,0
SCROP80649,1
SCROP80650,0
SCROP80651,0
SCROP80652,0
SCROP80653,0
SCROP80654,0
SCROP80655,1
SCROP80656,1
SCROP80657,2
SCROP80658,1
SCROP80659,2
SCROP80660,0
SCROP80661,0
SCROP80662,0
SCROP80663,1
SCROP80664,0
SCROP80665,0
SCROP80666,1
SCROP80667,1
SCROP80668,0
SCROP80669,0
SCROP80670,1
SCROP80671,1
SCROP80672,0
SCROP80673,0
SCROP80674,0
SCROP80675,0
SCROP80676,1
SCROP80677,1
SCROP80678,1
SCROP80679,1
SCROP80680,1
SCROP80681,2
SCROP80682,1
SCROP80683,1
SCROP80684,1
SCROP80685,1
SCROP80686,0
SCROP80687,0
SCROP80688,1
SCROP80689,0
SCROP80690,0
SCROP80691,1
SCROP80692,0
SCROP80693,0
SCROP80694,0
SCROP80695,0
SCROP80696,0
SCROP80697,1
SCROP80698,0
SCROP80699,0
SCROP80700,1
SCROP80701,1
SCROP80702,0
SCROP80703,0
SCROP80704,1
SCROP80705,2
SCROP80706,1
SCROP80707,1
SCROP80708,1
SCROP80709,1
SCROP80710,0
SCROP80711,1
SCROP80712,0
SCROP80713,1
SCROP80714,0
SCROP80715,1
SCROP80716,0
SCROP80717,0
SCROP80718,1
SCROP80719,0
SCROP80720,1
SCROP80721,1
SCROP80722,2
SCROP80723,2
SCROP80724,2
SCROP80725,0
SCROP80726,1
SCROP80727,0
SCROP80728,0
SCROP80729,1
SCROP80730,1
SCROP80731,0
SCROP80732,1
SCROP80733,0
SCROP80734,0
SCROP80735,0
SCROP80736,1
SCROP80737,1
SCROP80738,1
SCROP80739,0
SCROP80740,0
SCROP80741,0
SCROP80742,1
SCROP80743,0
SCROP80744,0
SCROP80745,2
SCROP80746,1
SCROP80747,1
SCROP80748,1
SCROP80749,1
SCROP80750,0
SCROP80751,1
SCROP80752,2
SCROP80753,1
SCROP80754,1
SCROP80755,1
SCROP80756,1
SCROP80757,1
SCROP80758,0
SCROP80759,1
SCROP80760,1
SCROP80761,2
SCROP80762,0
SCROP80763,1
SCROP80764,0
SCROP80765,0
SCROP80766,1
SCROP80767,1
SCROP80768,1
SCROP80769,0
SCROP80770,1
SCROP80771,1
SCROP80772,2
SCROP80773,1
SCROP80774,1
SCROP80775,0
SCROP80776,0
SCROP80777,1
SCROP80778,1
SCROP80779,2
SCROP80780,1
SCROP80781,1
SCROP80782,1
SCROP80783,1
SCROP80784,1
SCROP80785,1
SCROP80786,2
SCROP80787,1
SCROP80788,2
SCROP80789,1
SCROP80790,0
SCROP80791,1
SCROP80792,1
SCROP80793,0
SCROP80794,1
SCROP80795,1
SCROP80796,2
SCROP80797,2
SCROP80798,1
SCROP80799,0
SCROP80800,0
SCROP80801,1
SCROP80802,0
SCROP80803,0
SCROP80804,0
SCROP80805,0
SCROP80806,0
SCROP80807,0
SCROP80808,0
SCROP80809,0
SCROP80810,0
SCROP80811,0
SCROP80812,0
SCROP80813,0
SCROP80814,0
SCROP80815,0
SCROP80816,0
SCROP80817,0
SCROP80818,0
SCROP80819,0
SCROP80820,0
SCROP80821,0
SCROP80822,0
SCROP80823,0
SCROP80824,0
SCROP80825,0
SCROP80826,0
SCROP80827,0
SCROP80828,0
SCROP80829,0
SCROP80830,0
SCROP80831,0
SCROP80832,0
SCROP80833,0
SCROP80834,0
SCROP80835,0
SCROP80836,0
SCROP80837,0
SCROP80838,0
SCROP80839,0
SCROP80840,0
SCROP80841,0
SCROP80842,0
SCROP80843,0
SCROP80844,0
SCROP80845,0
SCROP80846,0
SCROP80847,0
SCROP80848,0
SCROP80849,0
SCROP80850,0
SCROP80851,0
SCROP80852,0
SCROP80853,0
SCROP80854,0
SCROP80855,0
SCROP80856,0
SCROP80857,0
SCROP80858,0
SCROP80859,0
SCROP80860,0
SCROP80861,0
SCROP80862,0
SCROP80863,1
SCROP80864,0
SCROP80865,0
SCROP80866,0
SCROP80867,0
SCROP80868,0
SCROP80869,0
SCROP80870,0
SCROP80871,0
SCROP80872,2
SCROP80873,0
SCROP80874,0
SCROP80875,0
SCROP80876,0
SCROP80877,0
SCROP80878,0
SCROP80879,0
SCROP80880,0
SCROP80881,0
SCROP80882,0
SCROP80883,0
SCROP80884,0
SCROP80885,0
SCROP80886,0
SCROP80887,0
SCROP80888,0
SCROP80889,0
SCROP80890,0
SCROP80891,0
SCROP80892,1
SCROP80893,0
SCROP80894,0
SCROP80895,0
SCROP80896,0
SCROP80897,0
SCROP80898,0
SCROP80899,1
SCROP80900,0
SCROP80901,0
SCROP80902,0
SCROP80903,0
SCROP80904,1
SCROP80905,2
SCROP80906,0
SCROP80907,0
SCROP80908,0
SCROP80909,0
SCROP80910,0
SCROP80911,0
SCROP80912,0
SCROP80913,0
SCROP80914,0
SCROP80915,0
SCROP80916,0
SCROP80917,0
SCROP80918,0
SCROP80919,0
SCROP80920,0
SCROP80921,0
SCROP80922,0
SCROP80923,0
SCROP80924,0
SCROP80925,1
SCROP80926,2
SCROP80927,0
SCROP80928,0
SCROP80929,0
SCROP80930,0
SCROP80931,0
SCROP80932,0
SCROP80933,0
SCROP80934,0
SCROP80935,0
SCROP80936,0
SCROP80937,0
SCROP80938,0
SCROP80939,0
SCROP80940,0
SCROP80941,1
SCROP80942,0
SCROP80943,0
SCROP80944,0
SCROP80945,0
SCROP80946,0
SCROP80947,0
SCROP80948,2
SCROP80949,0
SCROP80950,1
SCROP80951,0
SCROP80952,0
SCROP80953,0
SCROP80954,0
SCROP80955,0
SCROP80956,0
SCROP80957,0
SCROP80958,0
SCROP80959,0
SCROP80960,0
SCROP80961,0
SCROP80962,0
SCROP80963,0
SCROP80964,1
SCROP80965,0
SCROP80966,1
SCROP80967,0
SCROP80968,2
SCROP80969,0
SCROP80970,0
SCROP80971,0
SCROP80972,0
SCROP80973,0
SCROP80974,0
SCROP80975,1
SCROP80976,0
SCROP80977,0
SCROP80978,0
SCROP80979,0
SCROP80980,0
SCROP80981,0
SCROP80982,0
SCROP80983,0
SCROP80984,0
SCROP80985,0
SCROP80986,0
SCROP80987,0
SCROP80988,1
SCROP80989,0
SCROP80990,0
SCROP80991,0
SCROP80992,2
SCROP80993,0
SCROP80994,0
SCROP80995,0
SCROP80996,0
SCROP80997,0
SCROP80998,0
SCROP80999,0
SCROP81000,0
SCROP81001,0
SCROP81002,0
SCROP81003,0
SCROP81004,0
SCROP81005,0
SCROP81006,0
SCROP81007,0
SCROP81008,0
SCROP81009,1
SCROP81010,0
SCROP81011,0
SCROP81012,0
SCROP81013,0
SCROP81014,0
SCROP81015,1
SCROP81016,0
SCROP81017,0
SCROP81018,0
SCROP81019,0
SCROP81020,0
SCROP81021,0
SCROP81022,0
SCROP81023,0
SCROP81024,0
SCROP81025,0
SCROP81026,0
SCROP81027,0
SCROP81028,0
SCROP81029,0
SCROP81030,0
SCROP81031,0
SCROP81032,0
SCROP81033,0
SCROP81034,0
SCROP81035,0
SCROP81036,0
SCROP81037,0
SCROP81038,0
SCROP81039,0
SCROP81040,0
SCROP81041,0
SCROP81042,0
SCROP81043,0
SCROP81044,0
SCROP81045,1
SCROP81046,0
SCROP81047,0
SCROP81048,0
SCROP81049,0
SCROP81050,0
SCROP81051,1
SCROP81052,0
SCROP81053,0
SCROP81054,0
SCROP81055,0
SCROP81056,0
SCROP81057,0
SCROP81058,2
SCROP81059,0
SCROP81060,0
SCROP81061,0
SCROP81062,1
SCROP81063,0
SCROP81064,0
SCROP81065,0
SCROP81066,0
SCROP81067,0
SCROP81068,0
SCROP81069,0
SCROP81070,1
SCROP81071,0
SCROP81072,0
SCROP81073,0
SCROP81074,0
SCROP81075,0
SCROP81076,2
SCROP81077,1
SCROP81078,2
SCROP81079,0
SCROP81080,1
SCROP81081,0
SCROP81082,0
SCROP81083,1
SCROP81084,0
SCROP81085,0
SCROP81086,0
SCROP81087,0
SCROP81088,1
SCROP81089,0
SCROP81090,0
SCROP81091,1
SCROP81092,1
SCROP81093,2
SCROP81094,0
SCROP81095,0
SCROP81096,0
SCROP81097,0
SCROP81098,0
SCROP81099,1
SCROP81100,0
SCROP81101,0
SCROP81102,0
SCROP81103,0
SCROP81104,0
SCROP81105,2
SCROP81106,0
SCROP81107,0
SCROP81108,0
SCROP81109,0
SCROP81110,0
SCROP81111,0
SCROP81112,0
SCROP81113,2
SCROP81114,0
SCROP81115,0
SCROP81116,0
SCROP81117,0
SCROP81118,1
SCROP81119,0
SCROP81120,1
SCROP81121,1
SCROP81122,0
SCROP81123,0
SCROP81124,0
SCROP81125,0
SCROP81126,0
SCROP81127,0
SCROP81128,0
SCROP81129,0
SCROP81130,0
SCROP81131,2
SCROP81132,0
SCROP81133,0
SCROP81134,1
SCROP81135,0
SCROP81136,0
SCROP81137,1
SCROP81138,0
SCROP81139,0
SCROP81140,1
SCROP81141,0
SCROP81142,2
SCROP81143,2
SCROP81144,1
SCROP81145,1
SCROP81146,0
SCROP81147,0
SCROP81148,1
SCROP81149,0
SCROP81150,0
SCROP81151,0
SCROP81152,0
SCROP81153,0
SCROP81154,1
SCROP81155,1
SCROP81156,0
SCROP81157,0
SCROP81158,0
SCROP81159,0
SCROP81160,1
SCROP81161,0
SCROP81162,1
SCROP81163,0
SCROP81164,1
SCROP81165,1
SCROP81166,1
SCROP81167,0
SCROP81168,0
SCROP81169,0
SCROP81170,0
SCROP81171,1
SCROP81172,0
SCROP81173,0
SCROP81174,1
SCROP81175,0
SCROP81176,1
SCROP81177,1
SCROP81178,0
SCROP81179,1
SCROP81180,1
SCROP81181,0
SCROP81182,1
SCROP81183,1
SCROP81184,1
SCROP81185,2
SCROP81186,1
SCROP81187,1
SCROP81188,1
SCROP81189,2
SCROP81190,1
SCROP81191,2
SCROP81192,2
SCROP81193,2
SCROP81194,2
SCROP81195,2
SCROP81196,1
SCROP81197,2
SCROP81198,1
SCROP81199,1
SCROP81200,2
SCROP81201,2
SCROP81202,1
SCROP81203,1
SCROP81204,0
SCROP81205,0
SCROP81206,0
SCROP81207,0
SCROP81208,0
SCROP81209,0
SCROP81210,0
SCROP81211,0
SCROP81212,0
SCROP81213,0
SCROP81214,0
SCROP81215,0
SCROP81216,0
SCROP81217,2
SCROP81218,0
SCROP81219,0
SCROP81220,0
SCROP81221,0
SCROP81222,1
SCROP81223,0
SCROP81224,1
SCROP81225,0
SCROP81226,0
SCROP81227,0
SCROP81228,0
SCROP81229,0
SCROP81230,0
SCROP81231,0
SCROP81232,1
SCROP81233,0
SCROP81234,1
SCROP81235,0
SCROP81236,0
SCROP81237,0
SCROP81238,0
SCROP81239,1
SCROP81240,1
SCROP81241,2
SCROP81242,1
SCROP81243,1
SCROP81244,0
SCROP81245,1
SCROP81246,0
SCROP81247,0
SCROP81248,1
SCROP81249,0
SCROP81250,0
SCROP81251,1
SCROP81252,1
SCROP81253,1
SCROP81254,1
SCROP81255,1
SCROP81256,0
SCROP81257,0
SCROP81258,0
SCROP81259,0
SCROP81260,0
SCROP81261,1
SCROP81262,0
SCROP81263,0
SCROP81264,1
SCROP81265,0
SCROP81266,1
SCROP81267,2
SCROP81268,1
SCROP81269,0
SCROP81270,1
SCROP81271,0
SCROP81272,0
SCROP81273,0
SCROP81274,2
SCROP81275,1
SCROP81276,0
SCROP81277,0
SCROP81278,2
SCROP81279,0
SCROP81280,2
SCROP81281,1
SCROP81282,2
SCROP81283,0
SCROP81284,2
SCROP81285,1
SCROP81286,1
SCROP81287,0
SCROP81288,0
SCROP81289,1
SCROP81290,0
SCROP81291,2
SCROP81292,0
SCROP81293,1
SCROP81294,1
SCROP81295,1
SCROP81296,2
SCROP81297,2
SCROP81298,1
SCROP81299,2
SCROP81300,1
SCROP81301,1
SCROP81302,2
SCROP81303,1
SCROP81304,1
SCROP81305,2
SCROP81306,0
SCROP81307,1
SCROP81308,2
SCROP81309,2
SCROP81310,2
SCROP81311,0
SCROP81312,1
SCROP81313,0
SCROP81314,2
SCROP81315,1
SCROP81316,0
SCROP81317,0
SCROP81318,1
SCROP81319,2
SCROP81320,2
SCROP81321,0
SCROP81322,2
SCROP81323,0
SCROP81324,0
SCROP81325,1
SCROP81326,0
SCROP81327,2
SCROP81328,1
SCROP81329,2
SCROP81330,1
SCROP81331,2
SCROP81332,2
SCROP81333,0
SCROP81334,1
SCROP81335,2
SCROP81336,2
SCROP81337,0
SCROP81338,1
SCROP81339,0
SCROP81340,2
SCROP81341,0
SCROP81342,2
SCROP81343,0
SCROP81344,2
SCROP81345,2
SCROP81346,0
SCROP81347,1
SCROP81348,1
SCROP81349,2
SCROP81350,2
SCROP81351,2
SCROP81352,2
SCROP81353,2
SCROP81354,0
SCROP81355,1
SCROP81356,0
SCROP81357,0
SCROP81358,2
SCROP81359,1
SCROP81360,2
SCROP81361,1
SCROP81362,2
SCROP81363,1
SCROP81364,1
SCROP81365,1
SCROP81366,1
SCROP81367,1
SCROP81368,0
SCROP81369,1
SCROP81370,2
SCROP81371,1
SCROP81372,0
SCROP81373,0
SCROP81374,2
SCROP81375,0
SCROP81376,1
SCROP81377,2
SCROP81378,2
SCROP81379,0
SCROP81380,1
SCROP81381,0
SCROP81382,1
SCROP81383,1
SCROP81384,2
SCROP81385,1
SCROP81386,2
SCROP81387,0
SCROP81388,1
SCROP81389,1
SCROP81390,0
SCROP81391,1
SCROP81392,2
SCROP81393,2
SCROP81394,1
SCROP81395,2
SCROP81396,2
SCROP81397,2
SCROP81398,2
SCROP81399,2
SCROP81400,1
SCROP81401,2
SCROP81402,0
SCROP81403,0
SCROP81404,2
SCROP81405,1
SCROP81406,1
SCROP81407,0
SCROP81408,0
SCROP81409,2
SCROP81410,1
SCROP81411,2
SCROP81412,2
SCROP81413,0
SCROP81414,0
SCROP81415,2
SCROP81416,0
SCROP81417,2
SCROP81418,2
SCROP81419,2
SCROP81420,1
SCROP81421,0
SCROP81422,1
SCROP81423,2
SCROP81424,0
SCROP81425,2
SCROP81426,1
SCROP81427,0
SCROP81428,2
SCROP81429,0
SCROP81430,2
SCROP81431,2
SCROP81432,1
SCROP81433,1
SCROP81434,0
SCROP81435,1
SCROP81436,1
SCROP81437,2
SCROP81438,0
SCROP81439,0
SCROP81440,1
SCROP81441,1
SCROP81442,1
SCROP81443,1
SCROP81444,2
SCROP81445,2
SCROP81446,0
SCROP81447,1
SCROP81448,0
SCROP81449,0
SCROP81450,0
SCROP81451,0
SCROP81452,2
SCROP81453,1
SCROP81454,1
SCROP81455,2
SCROP81456,1
SCROP81457,1
SCROP81458,1
SCROP81459,2
SCROP81460,1
SCROP81461,2
SCROP81462,2
SCROP81463,1
SCROP81464,1
SCROP81465,1
SCROP81466,1
SCROP81467,0
SCROP81468,2
SCROP81469,1
SCROP81470,1
SCROP81471,1
SCROP81472,2
SCROP81473,2
SCROP81474,2
SCROP81475,1
SCROP81476,1
SCROP81477,0
SCROP81478,1
SCROP81479,2
SCROP81480,0
SCROP81481,2
SCROP81482,1
SCROP81483,2
SCROP81484,1
SCROP81485,0
SCROP81486,2
SCROP81487,2
SCROP81488,2
SCROP81489,1
SCROP81490,2
SCROP81491,0
SCROP81492,0
SCROP81493,1
SCROP81494,1
SCROP81495,2
SCROP81496,2
SCROP81497,1
SCROP81498,1
SCROP81499,1
SCROP81500,1
SCROP81501,2
SCROP81502,2
SCROP81503,1
SCROP81504,1
SCROP81505,1
SCROP81506,1
SCROP81507,1
SCROP81508,1
SCROP81509,1
SCROP81510,1
SCROP81511,1
SCROP81512,2
SCROP81513,2
SCROP81514,2
SCROP81515,2
SCROP81516,1
SCROP81517,2
SCROP81518,1
SCROP81519,1
SCROP81520,2
SCROP81521,2
SCROP81522,2
SCROP81523,1
SCROP81524,0
SCROP81525,0
SCROP81526,2
SCROP81527,1
SCROP81528,1
SCROP81529,2
SCROP81530,2
SCROP81531,2
SCROP81532,1
SCROP81533,1
SCROP81534,1
SCROP81535,1
SCROP81536,1
SCROP81537,2
SCROP81538,1
SCROP81539,1
SCROP81540,2
SCROP81541,2
SCROP81542,1
SCROP81543,1
SCROP81544,2
SCROP81545,1
SCROP81546,1
SCROP81547,2
SCROP81548,1
SCROP81549,1
SCROP81550,1
