,Insect_Estimate,CultivationType,Soil_Type,Category_Pesticide,Doses_Week,Weeks_Using,Weeks_Without,Predicted_Damage_In_Plantation
340,1056,0,1,2,55,26.0,18,0
341,1056,0,1,2,60,22.0,19,0
342,1056,0,1,2,60,30.0,5,0
343,1056,0,1,2,70,36.0,3,0
348,1132,0,1,2,5,34.0,8,0
349,1132,0,1,2,10,15.0,13,0
351,1132,0,1,2,10,25.0,7,0
352,1132,0,1,2,10,27.0,13,0
353,1132,0,1,2,10,36.0,3,0
354,1132,0,1,2,15,19.0,19,0
355,1132,0,1,2,15,24.0,20,0
356,1132,0,1,2,20,6.0,27,0
358,1132,0,1,2,20,20.0,9,0
359,1132,0,1,2,20,27.0,10,0
360,1132,0,1,2,20,33.0,2,0
361,1132,0,1,2,20,34.0,4,0
362,1132,0,1,2,20,43.0,1,0
363,1132,0,1,2,25,10.0,19,0
364,1132,0,1,2,25,13.0,25,0
365,1132,0,1,2,25,13.0,27,0
366,1132,0,1,2,25,26.0,11,0
367,1132,0,1,2,25,35.0,7,0
368,1132,0,1,2,30,41.0,2,0
369,1132,0,1,2,40,20.0,21,0
370,1132,0,1,2,40,32.0,10,0
371,1132,0,1,2,40,43.0,0,0
372,1132,0,1,2,40,45.0,1,0
373,1132,0,1,2,45,25.0,14,0
374,1132,0,1,2,50,30.0,6,0
375,1132,0,1,2,50,33.0,2,0
376,1132,0,1,2,60,33.0,3,0
378,1132,0,1,2,60,42.0,2,0
379,1132,0,1,2,65,23.0,13,0
380,1132,0,1,2,80,45.0,2,0
381,1132,0,1,2,20,19.0,19,0
382,1132,0,1,2,40,40.0,6,0
383,1132,0,1,2,20,24.0,13,0
385,1212,0,1,2,10,22.0,17,0
386,1212,0,1,2,10,27.0,15,0
387,1212,0,1,2,15,14.0,23,0
388,1212,0,1,2,15,40.0,0,0
390,1212,0,1,2,20,16.0,25,0
391,1212,0,1,2,20,19.0,24,0
392,1212,0,1,2,20,26.0,14,0
393,1212,0,1,2,20,28.0,14,0
394,1212,0,1,2,20,33.0,8,0
395,1212,0,1,2,25,11.0,28,0
396,1212,0,1,2,25,19.0,18,0
397,1212,0,1,2,25,19.0,20,0
398,1212,0,1,2,25,36.0,9,0
399,1212,0,1,2,25,37.0,1,0
400,1212,0,1,2,25,38.0,7,0
401,1212,0,1,2,30,13.0,26,0
402,1212,0,1,2,30,19.0,19,0
403,1212,0,1,2,30,22.0,15,0
404,1212,0,1,2,30,22.0,20,0
405,1212,0,1,2,30,24.0,9,0
406,1212,0,1,2,35,25.0,15,0
407,1212,0,1,2,40,10.0,28,0
408,1212,0,1,2,40,15.0,24,0
409,1212,0,1,2,40,16.0,18,0
410,1212,0,1,2,40,19.0,19,0
411,1212,0,1,2,40,24.0,19,0
412,1212,0,1,2,40,32.0,10,0
413,1212,0,1,2,40,33.0,4,0
414,1212,0,1,2,40,34.0,14,0
415,1212,0,1,2,40,43.0,1,0
416,1212,0,1,2,45,39.0,2,0
417,1212,0,1,2,60,38.0,5,0
419,1212,0,1,2,40,27.0,14,0
420,1212,0,1,2,30,41.0,2,0
421,1212,0,1,2,40,24.0,17,0
422,1297,0,1,2,20,34.0,5,0
423,1296,0,1,2,5,8.0,25,0
424,1296,0,1,2,5,20.0,1,0
425,1297,0,1,2,10,27.0,11,0
427,1297,0,1,2,10,32.0,13,0
428,1297,0,1,2,15,16.0,22,0
429,1296,0,1,2,15,16.0,23,0
430,1296,0,1,2,15,26.0,18,0
431,1297,0,1,2,15,29.0,10,0
432,1297,0,1,2,20,18.0,25,0
433,1297,0,1,2,20,23.0,5,0
434,1296,0,1,2,20,27.0,13,0
435,1296,0,1,2,20,33.0,5,0
436,1297,0,1,2,25,16.0,19,0
437,1296,0,1,2,25,22.0,20,0
438,1296,0,1,2,25,27.0,13,0
439,1297,0,1,2,25,28.0,14,0
441,1297,0,1,2,25,32.0,10,0
442,1296,0,1,2,30,17.0,18,0
443,1297,0,1,2,30,20.0,23,0
444,1296,0,1,2,30,21.0,15,0
445,1297,0,1,2,30,23.0,20,0
446,1296,0,1,2,30,31.0,8,0
447,1296,0,1,2,35,26.0,15,0
449,1296,0,1,2,40,22.0,19,0
450,1297,0,1,2,40,23.0,14,0
451,1296,0,1,2,40,27.0,11,0
452,1296,0,1,2,40,33.0,0,0
453,1296,0,1,2,40,36.0,9,0
454,1296,0,1,2,40,39.0,4,0
456,1296,0,1,2,50,34.0,6,0
457,1296,0,1,2,50,38.0,9,0
458,1296,0,1,2,55,40.0,5,0
459,1296,0,1,2,20,13.0,17,0
460,1296,0,1,2,20,23.0,16,0
461,1296,0,1,2,20,31.0,17,0
462,1296,0,1,2,20,43.0,5,0
463,1297,0,1,2,45,41.0,2,0
464,1385,0,1,2,15,10.0,21,0
465,1385,0,1,2,5,20.0,1,0
466,1385,0,1,2,10,14.0,25,0
467,1385,0,1,2,10,23.0,21,0
468,1385,0,1,2,10,24.0,17,0
469,1385,0,1,2,10,26.0,19,0
470,1385,0,1,2,15,19.0,18,0
471,1385,0,1,2,15,24.0,17,0
472,1385,0,1,2,20,19.0,16,0
473,1385,0,1,2,20,19.0,23,0
474,1385,0,1,2,20,20.0,20,0
475,1385,0,1,2,20,22.0,14,0
477,1385,0,1,2,20,25.0,21,0
478,1385,0,1,2,20,28.0,13,0
479,1385,0,1,2,20,43.0,2,0
480,1385,0,1,2,20,44.0,1,0
481,1385,0,1,2,25,14.0,29,0
482,1385,0,1,2,25,20.0,11,0
483,1385,0,1,2,25,30.0,16,0
484,1385,0,1,2,30,10.0,31,0
485,1385,0,1,2,30,28.0,11,0
486,1385,0,1,2,35,30.0,14,0
487,1385,0,1,2,40,19.0,23,0
489,1385,0,1,2,40,31.0,15,0
490,1385,0,1,2,40,44.0,0,0
491,1385,0,1,2,45,32.0,11,0
492,1385,0,1,2,60,35.0,10,0
493,1385,0,1,2,5,5.0,11,0
494,1385,0,1,2,15,15.0,4,0
495,1385,0,1,2,50,39.0,6,0
496,1385,0,1,2,40,23.0,21,0
497,1385,0,1,2,40,41.0,5,0
498,1478,0,1,2,10,24.0,22,0
499,1478,0,1,2,5,20.0,16,0
500,1478,0,1,2,5,20.0,22,0
501,1478,0,1,2,10,14.0,28,0
502,1478,0,1,2,10,25.0,15,0
503,1478,0,1,2,10,33.0,7,0
504,1478,0,1,2,10,35.0,0,0
505,1478,0,1,2,15,10.0,20,0
506,1478,0,1,2,15,16.0,18,0
507,1478,0,1,2,15,17.0,28,0
508,1478,0,1,2,15,20.0,24,0
509,1478,0,1,2,20,8.0,28,0
510,1478,0,1,2,20,12.0,32,0
511,1478,0,1,2,20,22.0,26,0
512,1478,0,1,2,20,28.0,18,0
513,1478,0,1,2,30,13.0,29,0
514,1478,0,1,2,30,32.0,2,0
515,1478,0,1,2,40,44.0,2,0
516,1478,0,1,2,45,29.0,14,0
517,1478,0,1,2,60,31.0,14,0
518,1478,0,1,2,60,37.0,5,0
520,1478,0,1,2,40,10.0,13,0
521,1478,0,1,2,20,30.0,14,0
522,1478,0,1,2,30,35.0,6,0
523,1478,0,1,2,20,32.0,12,0
524,1576,0,1,2,5,12.0,25,0
525,1576,0,1,2,5,30.0,18,0
526,1575,0,1,2,10,7.0,28,0
528,1576,0,1,2,10,20.0,26,0
529,1576,0,1,2,10,26.0,19,0
530,1575,0,1,2,15,41.0,6,0
531,1576,0,1,2,20,14.0,28,0
532,1576,0,1,2,20,29.0,10,0
533,1575,0,1,2,20,29.0,13,0
534,1576,0,1,2,20,35.0,13,0
535,1575,0,1,2,20,36.0,2,0
537,1576,0,1,2,30,22.0,18,0
539,1575,0,1,2,30,37.0,4,0
540,1575,0,1,2,40,9.0,28,0
541,1575,0,1,2,40,15.0,26,0
542,1575,0,1,2,60,36.0,12,0
543,1576,0,1,2,60,40.0,5,0
544,1576,0,1,2,20,42.0,7,0
545,1575,0,1,2,40,39.0,3,0
546,1576,0,1,2,30,35.0,11,0
547,1576,0,1,2,80,28.0,20,0
548,1678,0,1,2,25,32.0,12,0
550,1678,0,1,2,5,14.0,33,0
551,1678,0,1,2,5,40.0,4,0
552,1678,0,1,2,10,5.0,34,0
553,1678,0,1,2,10,15.0,32,0
554,1678,0,1,2,10,20.0,28,0
555,1678,0,1,2,10,26.0,27,0
556,1678,0,1,2,10,30.0,13,0
557,1678,0,1,2,15,14.0,34,0
558,1678,0,1,2,15,30.0,18,0
559,1678,0,1,2,20,9.0,33,0
560,1678,0,1,2,20,42.0,7,0
561,1678,0,1,2,20,48.0,1,0
562,1678,0,1,2,25,29.0,17,0
563,1678,0,1,2,30,16.0,30,0
564,1678,0,1,2,30,19.0,19,0
566,1678,0,1,2,30,26.0,14,0
567,1678,0,1,2,30,34.0,12,0
568,1678,0,1,2,30,41.0,6,0
569,1678,0,1,2,30,41.0,10,0
570,1678,0,1,2,35,20.0,23,0
571,1678,0,1,2,40,24.0,22,0
572,1678,0,1,2,40,31.0,17,0
573,1678,0,1,2,40,33.0,4,0
574,1678,0,1,2,40,36.0,2,0
575,1678,0,1,2,60,33.0,13,0
576,1678,0,1,2,40,22.0,20,0
577,1785,0,1,2,10,20.0,15,0
578,1785,0,1,2,10,35.0,10,0
580,1785,0,1,2,15,17.0,18,0
581,1785,0,1,2,15,22.0,25,0
582,1785,0,1,2,15,37.0,11,0
583,1785,0,1,2,20,38.0,15,0
584,1785,0,1,2,25,9.0,35,0
585,1785,0,1,2,30,23.0,30,0
586,1786,0,1,2,30,28.0,18,0
587,1786,0,1,2,40,27.0,15,0
588,1786,0,1,2,40,32.0,10,0
589,1785,0,1,2,40,35.0,14,0
590,1785,0,1,2,40,35.0,15,0
591,1786,0,1,2,40,51.0,0,0
593,1785,0,1,2,50,44.0,1,0
594,1786,0,1,2,60,30.0,18,0
595,1786,0,1,2,60,42.0,5,0
596,1785,0,1,2,30,36.0,9,0
597,1785,0,1,2,15,27.0,22,0
599,1898,0,1,2,10,11.0,30,0
600,1898,0,1,2,20,15.0,32,0
601,1898,0,1,2,20,20.0,23,0
602,1898,0,1,2,20,30.0,20,0
603,1898,0,1,2,20,32.0,16,0
604,1898,0,1,2,20,33.0,5,0
605,1898,0,1,2,20,35.0,15,0
606,1898,0,1,2,30,11.0,36,0
607,1898,0,1,2,30,20.0,25,0
608,1898,0,1,2,30,25.0,14,0
609,1898,0,1,2,30,25.0,21,0
611,1898,0,1,2,35,20.0,18,0
612,1898,0,1,2,40,16.0,29,0
613,1898,0,1,2,40,20.0,11,0
614,1898,0,1,2,40,31.0,13,0
615,1898,0,1,2,40,32.0,16,0
616,1898,0,1,2,40,39.0,11,0
617,1898,0,1,2,40,40.0,9,0
618,1898,0,1,2,60,31.0,12,0
619,1898,0,1,2,20,20.0,20,0
620,1898,0,1,2,20,27.0,21,0
622,2015,0,1,2,20,38.0,5,0
623,2016,0,1,2,5,30.0,12,0
624,2016,0,1,2,5,39.0,12,0
625,2015,0,1,2,10,10.0,37,0
628,2015,0,1,2,20,14.0,35,0
629,2015,0,1,2,20,16.0,32,0
630,2016,0,1,2,20,20.0,25,0
631,2015,0,1,2,20,27.0,18,0
632,2015,0,1,2,20,29.0,19,0
634,2015,0,1,2,30,8.0,37,0
635,2015,0,1,2,30,15.0,32,0
636,2016,0,1,2,30,36.0,13,0
637,2015,0,1,2,30,40.0,2,0
638,2015,0,1,2,30,48.0,3,0
640,2016,0,1,2,40,33.0,18,0
641,2016,0,1,2,40,38.0,3,0
642,2015,0,1,2,40,50.0,6,0
643,2015,0,1,2,50,28.0,21,0
644,2015,0,1,2,50,39.0,11,0
645,2138,0,1,2,5,10.0,37,0
646,2138,0,1,2,10,12.0,23,0
649,2139,0,1,2,15,21.0,27,0
650,2138,0,1,2,15,23.0,18,0
652,2139,0,1,2,20,11.0,37,0
653,2139,0,1,2,20,15.0,25,0
654,2139,0,1,2,20,22.0,25,0
655,2139,0,1,2,20,25.0,26,0
656,2138,0,1,2,20,35.0,14,0
658,2139,0,1,2,20,48.0,6,0
660,2138,0,1,2,40,20.0,33,0
661,2138,0,1,2,40,22.0,27,0
662,2139,0,1,2,40,27.0,11,0
663,2139,0,1,2,40,27.0,14,0
665,2138,0,1,2,40,46.0,7,0
666,2139,0,1,2,40,47.0,9,0
667,2138,0,1,2,45,38.0,12,0
668,2139,0,1,2,60,20.0,23,0
669,2139,0,1,2,40,38.0,13,0
670,2138,0,1,2,20,12.0,38,0
671,2138,0,1,2,20,29.0,20,0
672,2267,0,1,2,10,32.0,19,0
673,2267,0,1,2,10,39.0,19,0
674,2267,0,1,2,15,22.0,28,0
675,2267,0,1,2,15,38.0,13,0
677,2267,0,1,2,20,17.0,33,0
678,2267,0,1,2,20,18.0,14,0
679,2267,0,1,2,20,18.0,34,0
680,2267,0,1,2,25,8.0,37,0
681,2267,0,1,2,25,42.0,9,0
682,2267,0,1,2,30,49.0,2,0
683,2267,0,1,2,40,19.0,29,0
684,2267,0,1,2,40,25.0,14,0
686,2267,0,1,2,40,44.0,11,0
687,2267,0,1,2,60,40.0,8,0
688,2267,0,1,2,60,41.0,16,0
689,2267,0,1,2,15,20.0,29,0
690,2267,0,1,2,20,32.0,19,0
691,2401,0,1,2,5,8.0,35,0
692,2402,0,1,2,5,34.0,12,0
693,2402,0,1,2,10,45.0,5,0
694,2401,0,1,2,10,48.0,8,0
695,2402,0,1,2,15,14.0,35,0
696,2401,0,1,2,20,25.0,27,0
697,2402,0,1,2,20,34.0,18,0
698,2401,0,1,2,20,50.0,2,0
699,2401,0,1,2,25,26.0,27,0
700,2401,0,1,2,25,33.0,11,0
701,2401,0,1,2,30,19.0,40,0
702,2401,0,1,2,30,50.0,4,0
703,2402,0,1,2,40,30.0,24,0
705,2401,0,1,2,50,38.0,22,0
706,2401,0,1,2,55,43.0,8,0
707,2401,0,1,2,60,30.0,25,0
708,2402,0,1,2,60,41.0,15,0
709,2401,0,1,2,15,17.0,35,0
710,2402,0,1,2,40,15.0,36,0
711,2402,0,1,2,50,5.0,35,0
713,2542,0,1,2,5,14.0,35,0
714,2541,0,1,2,10,11.0,24,0
716,2541,0,1,2,15,5.0,31,0
717,2541,0,1,2,15,35.0,17,0
718,2542,0,1,2,15,45.0,9,0
719,2541,0,1,2,20,25.0,25,0
720,2541,0,1,2,20,32.0,18,0
721,2541,0,1,2,20,34.0,13,0
722,2541,0,1,2,25,49.0,6,0
723,2541,0,1,2,30,45.0,7,0
724,2542,0,1,2,35,6.0,41,0
725,2542,0,1,2,40,16.0,38,0
726,2542,0,1,2,40,30.0,31,0
728,2541,0,1,2,60,39.0,14,0
729,2542,0,1,2,30,39.0,7,0
730,2688,0,1,2,10,30.0,14,0
731,2687,0,1,2,15,14.0,36,0
732,2688,0,1,2,15,38.0,14,0
733,2687,0,1,2,15,51.0,0,0
734,2688,0,1,2,20,27.0,22,0
735,2688,0,1,2,20,43.0,7,0
736,2688,0,1,2,20,44.0,7,0
738,2688,0,1,2,30,22.0,16,0
740,2688,0,1,2,40,36.0,13,0
741,2688,0,1,2,45,23.0,32,0
742,2688,0,1,2,60,30.0,19,0
743,2840,0,1,2,40,44.0,20,0
744,2840,0,1,2,10,40.0,10,0
745,2840,0,1,2,15,41.0,12,0
