,Estimativa_de_Insetos,Categoria_Pesticida,Doses_Semana,Semanas_Utilizando,Semanas_Sem_Uso,dano_na_plantacao
70,488,2,20,15.0,2,0
71,488,2,20,23.0,3,0
72,488,2,20,23.0,4,0
73,488,2,20,30.0,0,0
74,488,2,25,13.0,15,0
75,488,2,25,15.0,14,0
76,488,2,25,25.0,5,0
77,489,2,30,15.0,14,0
78,488,2,30,22.0,3,0
79,488,2,30,23.0,5,0
80,488,2,30,24.0,3,0
81,488,2,30,26.0,4,0
82,488,2,35,27.0,0,0
83,488,2,40,19.0,8,0
84,488,2,40,22.0,2,0
85,488,2,40,22.0,3,0
86,489,2,45,19.0,11,0
87,488,2,50,12.0,14,0
88,488,2,50,18.0,14,0
89,488,2,50,21.0,8,0
90,488,2,50,30.0,2,0
91,488,2,80,19.0,10,0
92,531,2,10,11.0,16,0
93,531,2,10,22.0,8,0
94,531,2,10,23.0,8,0
95,531,2,20,13.0,17,0
96,531,2,20,17.0,12,0
97,531,2,20,17.0,16,0
100,531,2,20,21.0,1,0
101,531,2,25,11.0,14,0
102,531,2,25,22.0,8,0
103,531,2,30,16.0,10,0
104,531,2,30,23.0,12,0
105,531,2,35,22.0,3,0
106,531,2,35,25.0,7,0
107,531,2,40,14.0,15,0
108,531,2,40,23.0,6,0
110,577,2,45,16.0,9,0
111,577,2,5,14.0,0,0
112,577,2,5,25.0,10,0
113,577,2,5,29.0,2,0
114,577,2,10,23.0,8,0
115,577,2,15,20.0,11,0
116,577,2,15,25.0,4,0
117,577,2,20,11.0,14,0
118,577,2,20,13.0,15,0
119,577,2,20,20.0,4,0
120,577,2,25,30.0,7,0
122,577,2,30,10.0,18,0
123,577,2,30,20.0,9,0
124,577,2,30,25.0,11,0
125,577,2,30,26.0,0,0
126,577,2,40,17.0,15,0
127,577,2,50,28.0,5,0
128,577,2,60,25.0,4,0
129,577,2,20,12.0,15,0
130,626,2,10,6.0,19,0
132,625,2,15,15.0,20,0
133,626,2,15,22.0,8,0
134,626,2,20,9.0,18,0
135,625,2,20,16.0,16,0
136,625,2,20,21.0,1,0
137,626,2,20,24.0,14,0
138,626,2,20,27.0,14,0
139,625,2,20,30.0,3,0
140,625,2,25,14.0,20,0
141,625,2,25,28.0,8,0
142,625,2,25,30.0,0,0
144,625,2,30,30.0,10,0
145,625,2,30,31.0,0,0
147,625,2,40,12.0,18,0
148,625,2,40,18.0,6,0
149,626,2,40,21.0,2,0
150,625,2,40,22.0,8,0
151,625,2,40,25.0,0,0
152,626,2,50,17.0,20,0
153,625,2,50,24.0,5,0
154,625,2,60,25.0,0,0
155,677,2,5,6.0,19,0
156,677,2,5,21.0,14,0
157,677,2,10,15.0,12,0
158,677,2,15,11.0,19,0
159,677,2,15,18.0,12,0
160,677,2,15,36.0,0,0
162,677,2,20,22.0,8,0
163,677,2,20,35.0,2,0
164,677,2,25,17.0,1,0
165,677,2,25,20.0,10,0
166,677,2,30,10.0,6,0
167,677,2,30,14.0,18,0
168,677,2,30,35.0,0,0
169,677,2,40,11.0,20,0
171,677,2,50,21.0,2,0
172,677,2,50,21.0,9,0
173,677,2,60,22.0,10,0
174,677,2,60,31.0,5,0
175,732,2,25,19.0,12,0
176,731,2,5,12.0,15,0
177,732,2,10,19.0,12,0
178,732,2,15,8.0,20,0
179,732,2,15,20.0,18,0
180,732,2,15,28.0,6,0
181,731,2,20,7.0,17,0
182,732,2,20,15.0,6,0
183,732,2,20,17.0,15,0
184,732,2,20,19.0,10,0
185,731,2,20,22.0,7,0
186,731,2,20,25.0,7,0
187,732,2,20,26.0,10,0
188,731,2,20,30.0,10,0
189,732,2,20,31.0,13,0
191,732,2,35,17.0,21,0
192,732,2,40,21.0,14,0
193,732,2,40,22.0,14,0
194,731,2,40,23.0,7,0
195,731,2,40,29.0,0,0
196,731,2,40,30.0,0,0
197,732,2,40,32.0,7,0
198,731,2,50,23.0,10,0
199,731,2,50,23.0,13,0
200,731,2,50,24.0,13,0
201,731,2,60,28.0,7,0
203,789,2,10,7.0,23,0
204,790,2,10,8.0,21,0
205,789,2,10,19.0,18,0
206,790,2,10,26.0,13,0
207,789,2,15,16.0,16,0
208,789,2,15,17.0,20,0
209,790,2,15,23.0,12,0
210,789,2,20,8.0,23,0
211,789,2,20,20.0,15,0
212,789,2,25,24.0,14,0
214,790,2,30,16.0,23,0
215,789,2,30,28.0,9,0
216,789,2,30,30.0,10,0
217,790,2,30,32.0,5,0
218,790,2,35,26.0,13,0
219,790,2,40,33.0,5,0
220,790,2,55,30.0,6,0
221,790,2,60,23.0,10,0
222,790,2,70,39.0,0,0
224,851,2,10,11.0,22,0
225,851,2,10,13.0,22,0
227,851,2,15,11.0,22,0
228,850,2,15,15.0,18,0
229,851,2,15,18.0,16,0
230,851,2,15,20.0,14,0
231,851,2,15,32.0,1,0
232,851,2,20,15.0,24,0
233,851,2,20,16.0,6,0
234,850,2,20,20.0,13,0
235,850,2,20,21.0,20,0
236,850,2,20,26.0,12,0
237,851,2,20,28.0,14,0
239,851,2,25,30.0,2,0
240,851,2,25,30.0,10,0
241,851,2,25,33.0,4,0
242,851,2,30,35.0,5,0
243,851,2,35,17.0,19,0
244,851,2,35,25.0,3,0
245,851,2,40,15.0,9,0
246,851,2,40,20.0,21,0
248,850,2,40,34.0,4,0
249,851,2,50,17.0,21,0
250,850,2,50,19.0,21,0
251,850,2,50,31.0,3,0
252,851,2,60,14.0,19,0
253,851,2,60,15.0,20,0
255,850,2,60,27.0,6,0
256,916,2,10,11.0,17,0
257,916,2,10,13.0,22,0
258,916,2,10,20.0,5,0
260,915,2,20,17.0,16,0
261,915,2,20,22.0,1,0
262,916,2,25,33.0,11,0
263,915,2,30,10.0,20,0
264,915,2,35,16.0,20,0
266,915,2,40,30.0,9,0
267,915,2,40,31.0,12,0
268,915,2,40,34.0,8,0
269,915,2,40,35.0,10,0
270,915,2,50,20.0,6,0
271,916,2,50,27.0,15,0
272,915,2,60,13.0,20,0
273,915,2,60,22.0,16,0
274,915,2,60,26.0,16,0
275,915,2,60,35.0,0,0
276,915,2,60,35.0,5,0
277,915,2,65,38.0,1,0
279,915,2,80,25.0,14,0
280,915,2,30,26.0,12,0
281,915,2,40,35.0,5,0
282,984,2,30,23.0,11,0
283,984,2,60,20.0,17,0
284,984,2,5,17.0,20,0
285,984,2,5,17.0,21,0
286,984,2,10,19.0,17,0
287,984,2,10,26.0,13,0
288,984,2,15,15.0,21,0
289,984,2,15,17.0,21,0
290,984,2,20,13.0,24,0
291,984,2,20,15.0,25,0
292,984,2,20,20.0,11,0
294,984,2,25,17.0,20,0
295,984,2,25,26.0,16,0
296,984,2,30,12.0,12,0
297,984,2,30,18.0,21,0
298,984,2,30,19.0,14,0
300,984,2,30,32.0,2,0
301,984,2,30,39.0,0,0
302,984,2,30,40.0,1,0
303,984,2,40,10.0,26,0
304,984,2,40,15.0,16,0
305,984,2,40,20.0,8,0
306,984,2,40,29.0,10,0
307,984,2,50,29.0,11,0
308,984,2,50,37.0,4,0
309,984,2,55,30.0,12,0
310,984,2,60,5.0,1,0
311,984,2,60,16.0,19,0
312,984,2,60,17.0,18,0
313,984,2,60,24.0,10,0
314,984,2,70,39.0,0,2
315,984,2,40,22.0,16,0
316,1056,2,60,20.0,17,0
317,1056,2,5,13.0,19,0
318,1056,2,5,19.0,17,0
319,1056,2,10,12.0,26,0
320,1056,2,10,24.0,14,0
321,1056,2,10,27.0,12,0
322,1056,2,15,21.0,10,0
323,1056,2,15,32.0,9,0
324,1056,2,15,34.0,11,0
325,1056,2,20,15.0,17,0
326,1056,2,20,20.0,13,0
327,1056,2,20,22.0,16,0
328,1056,2,20,35.0,2,0
329,1056,2,25,20.0,17,0
330,1056,2,30,16.0,18,0
331,1056,2,30,21.0,18,0
332,1056,2,30,26.0,20,0
334,1056,2,30,40.0,1,0
335,1056,2,35,43.0,0,2
336,1056,2,40,16.0,22,0
337,1056,2,40,22.0,20,0
339,1056,2,40,36.0,7,0
340,1056,2,55,26.0,18,0
341,1056,2,60,22.0,19,0
342,1056,2,60,30.0,5,0
343,1056,2,70,36.0,3,0
348,1132,2,5,34.0,8,0
349,1132,2,10,15.0,13,0
351,1132,2,10,25.0,7,0
352,1132,2,10,27.0,13,0
353,1132,2,10,36.0,3,0
354,1132,2,15,19.0,19,0
355,1132,2,15,24.0,20,0
356,1132,2,20,6.0,27,0
358,1132,2,20,20.0,9,0
359,1132,2,20,27.0,10,0
360,1132,2,20,33.0,2,0
361,1132,2,20,34.0,4,0
362,1132,2,20,43.0,1,0
363,1132,2,25,10.0,19,0
364,1132,2,25,13.0,25,0
365,1132,2,25,13.0,27,0
366,1132,2,25,26.0,11,0
367,1132,2,25,35.0,7,0
368,1132,2,30,41.0,2,0
369,1132,2,40,20.0,21,0
370,1132,2,40,32.0,10,0
371,1132,2,40,43.0,0,2
372,1132,2,40,45.0,1,2
373,1132,2,45,25.0,14,0
374,1132,2,50,30.0,6,0
375,1132,2,50,33.0,2,0
376,1132,2,60,33.0,3,0
378,1132,2,60,42.0,2,0
379,1132,2,65,23.0,13,0
380,1132,2,80,45.0,2,0
381,1132,2,20,19.0,19,0
382,1132,2,40,40.0,6,0
383,1132,2,20,24.0,13,0
385,1212,2,10,22.0,17,0
386,1212,2,10,27.0,15,0
387,1212,2,15,14.0,23,0
388,1212,2,15,40.0,0,1
390,1212,2,20,16.0,25,0
391,1212,2,20,19.0,24,0
392,1212,2,20,26.0,14,0
393,1212,2,20,28.0,14,0
394,1212,2,20,33.0,8,0
395,1212,2,25,11.0,28,0
396,1212,2,25,19.0,18,0
397,1212,2,25,19.0,20,0
398,1212,2,25,36.0,9,0
399,1212,2,25,37.0,1,0
400,1212,2,25,38.0,7,0
401,1212,2,30,13.0,26,0
402,1212,2,30,19.0,19,0
403,1212,2,30,22.0,15,0
404,1212,2,30,22.0,20,0
405,1212,2,30,24.0,9,0
406,1212,2,35,25.0,15,0
407,1212,2,40,10.0,28,0
408,1212,2,40,15.0,24,0
409,1212,2,40,16.0,18,0
410,1212,2,40,19.0,19,0
411,1212,2,40,24.0,19,0
412,1212,2,40,32.0,10,0
413,1212,2,40,33.0,4,0
414,1212,2,40,34.0,14,0
415,1212,2,40,43.0,1,2
416,1212,2,45,39.0,2,0
417,1212,2,60,38.0,5,0
419,1212,2,40,27.0,14,0
420,1212,2,30,41.0,2,0
421,1212,2,40,24.0,17,0
422,1297,2,20,34.0,5,0
423,1296,2,5,8.0,25,0
424,1296,2,5,20.0,1,0
425,1297,2,10,27.0,11,0
427,1297,2,10,32.0,13,0
428,1297,2,15,16.0,22,0
429,1296,2,15,16.0,23,0
430,1296,2,15,26.0,18,0
431,1297,2,15,29.0,10,0
432,1297,2,20,18.0,25,0
433,1297,2,20,23.0,5,0
434,1296,2,20,27.0,13,0
435,1296,2,20,33.0,5,0
436,1297,2,25,16.0,19,0
437,1296,2,25,22.0,20,0
438,1296,2,25,27.0,13,0
439,1297,2,25,28.0,14,0
441,1297,2,25,32.0,10,0
442,1296,2,30,17.0,18,0
443,1297,2,30,20.0,23,0
444,1296,2,30,21.0,15,0
445,1297,2,30,23.0,20,0
446,1296,2,30,31.0,8,0
447,1296,2,35,26.0,15,0
449,1296,2,40,22.0,19,0
450,1297,2,40,23.0,14,0
451,1296,2,40,27.0,11,0
452,1296,2,40,33.0,0,2
453,1296,2,40,36.0,9,0
454,1296,2,40,39.0,4,0
456,1296,2,50,34.0,6,0
457,1296,2,50,38.0,9,0
458,1296,2,55,40.0,5,0
459,1296,2,20,13.0,17,0
460,1296,2,20,23.0,16,0
461,1296,2,20,31.0,17,0
462,1296,2,20,43.0,5,0
463,1297,2,45,41.0,2,0
464,1385,2,15,10.0,21,0
465,1385,2,5,20.0,1,0
466,1385,2,10,14.0,25,0
467,1385,2,10,23.0,21,0
468,1385,2,10,24.0,17,0
469,1385,2,10,26.0,19,0
470,1385,2,15,19.0,18,0
471,1385,2,15,24.0,17,0
472,1385,2,20,19.0,16,0
473,1385,2,20,19.0,23,0
474,1385,2,20,20.0,20,0
475,1385,2,20,22.0,14,0
477,1385,2,20,25.0,21,0
478,1385,2,20,28.0,13,0
479,1385,2,20,43.0,2,0
480,1385,2,20,44.0,1,0
481,1385,2,25,14.0,29,0
482,1385,2,25,20.0,11,0
483,1385,2,25,30.0,16,0
484,1385,2,30,10.0,31,0
485,1385,2,30,28.0,11,0
486,1385,2,35,30.0,14,0
487,1385,2,40,19.0,23,0
489,1385,2,40,31.0,15,0
490,1385,2,40,44.0,0,2
491,1385,2,45,32.0,11,0
492,1385,2,60,35.0,10,0
493,1385,2,5,5.0,11,0
494,1385,2,15,15.0,4,0
495,1385,2,50,39.0,6,0
496,1385,2,40,23.0,21,0
497,1385,2,40,41.0,5,0
498,1478,2,10,24.0,22,0
499,1478,2,5,20.0,16,0
500,1478,2,5,20.0,22,0
501,1478,2,10,14.0,28,0
502,1478,2,10,25.0,15,0
503,1478,2,10,33.0,7,0
504,1478,2,10,35.0,0,0
505,1478,2,15,10.0,20,0
506,1478,2,15,16.0,18,0
507,1478,2,15,17.0,28,0
508,1478,2,15,20.0,24,0
509,1478,2,20,8.0,28,0
510,1478,2,20,12.0,32,0
511,1478,2,20,22.0,26,0
512,1478,2,20,28.0,18,0
513,1478,2,30,13.0,29,0
514,1478,2,30,32.0,2,0
515,1478,2,40,44.0,2,2
516,1478,2,45,29.0,14,0
517,1478,2,60,31.0,14,0
518,1478,2,60,37.0,5,0
520,1478,2,40,10.0,13,0
521,1478,2,20,30.0,14,0
522,1478,2,30,35.0,6,0
523,1478,2,20,32.0,12,0
524,1576,2,5,12.0,25,0
525,1576,2,5,30.0,18,0
526,1575,2,10,7.0,28,0
528,1576,2,10,20.0,26,0
529,1576,2,10,26.0,19,0
530,1575,2,15,41.0,6,0
531,1576,2,20,14.0,28,0
532,1576,2,20,29.0,10,0
533,1575,2,20,29.0,13,0
534,1576,2,20,35.0,13,0
535,1575,2,20,36.0,2,2
537,1576,2,30,22.0,18,0
539,1575,2,30,37.0,4,0
540,1575,2,40,9.0,28,0
541,1575,2,40,15.0,26,0
542,1575,2,60,36.0,12,0
543,1576,2,60,40.0,5,0
544,1576,2,20,42.0,7,0
545,1575,2,40,39.0,3,0
546,1576,2,30,35.0,11,0
547,1576,2,80,28.0,20,0
548,1678,2,25,32.0,12,0
550,1678,2,5,14.0,33,0
551,1678,2,5,40.0,4,0
552,1678,2,10,5.0,34,0
553,1678,2,10,15.0,32,0
554,1678,2,10,20.0,28,0
555,1678,2,10,26.0,27,0
556,1678,2,10,30.0,13,0
557,1678,2,15,14.0,34,0
558,1678,2,15,30.0,18,0
559,1678,2,20,9.0,33,0
560,1678,2,20,42.0,7,0
561,1678,2,20,48.0,1,0
562,1678,2,25,29.0,17,0
563,1678,2,30,16.0,30,0
564,1678,2,30,19.0,19,0
566,1678,2,30,26.0,14,0
567,1678,2,30,34.0,12,0
568,1678,2,30,41.0,6,0
569,1678,2,30,41.0,10,0
570,1678,2,35,20.0,23,0
571,1678,2,40,24.0,22,0
572,1678,2,40,31.0,17,0
573,1678,2,40,33.0,4,0
574,1678,2,40,36.0,2,0
575,1678,2,60,33.0,13,0
576,1678,2,40,22.0,20,0
577,1785,2,10,20.0,15,0
578,1785,2,10,35.0,10,0
580,1785,2,15,17.0,18,0
581,1785,2,15,22.0,25,0
582,1785,2,15,37.0,11,0
583,1785,2,20,38.0,15,0
584,1785,2,25,9.0,35,0
585,1785,2,30,23.0,30,0
586,1786,2,30,28.0,18,0
587,1786,2,40,27.0,15,0
588,1786,2,40,32.0,10,0
589,1785,2,40,35.0,14,1
590,1785,2,40,35.0,15,1
591,1786,2,40,51.0,0,2
593,1785,2,50,44.0,1,1
594,1786,2,60,30.0,18,0
595,1786,2,60,42.0,5,0
596,1785,2,30,36.0,9,0
597,1785,2,15,27.0,22,0
599,1898,2,10,11.0,30,0
600,1898,2,20,15.0,32,0
601,1898,2,20,20.0,23,0
602,1898,2,20,30.0,20,0
603,1898,2,20,32.0,16,1
604,1898,2,20,33.0,5,0
605,1898,2,20,35.0,15,1
606,1898,2,30,11.0,36,0
607,1898,2,30,20.0,25,0
608,1898,2,30,25.0,14,0
609,1898,2,30,25.0,21,0
611,1898,2,35,20.0,18,0
612,1898,2,40,16.0,29,0
613,1898,2,40,20.0,11,0
614,1898,2,40,31.0,13,2
615,1898,2,40,32.0,16,2
616,1898,2,40,39.0,11,2
617,1898,2,40,40.0,9,2
618,1898,2,60,31.0,12,0
619,1898,2,20,20.0,20,0
620,1898,2,20,27.0,21,0
622,2015,2,20,38.0,5,0
623,2016,2,5,30.0,12,0
624,2016,2,5,39.0,12,0
625,2015,2,10,10.0,37,0
628,2015,2,20,14.0,35,0
629,2015,2,20,16.0,32,0
630,2016,2,20,20.0,25,0
631,2015,2,20,27.0,18,0
632,2015,2,20,29.0,19,0
634,2015,2,30,8.0,37,0
635,2015,2,30,15.0,32,0
636,2016,2,30,36.0,13,0
637,2015,2,30,40.0,2,0
638,2015,2,30,48.0,3,1
640,2016,2,40,33.0,18,0
641,2016,2,40,38.0,3,0
642,2015,2,40,50.0,6,0
643,2015,2,50,28.0,21,0
644,2015,2,50,39.0,11,0
645,2138,2,5,10.0,37,0
646,2138,2,10,12.0,23,0
649,2139,2,15,21.0,27,0
650,2138,2,15,23.0,18,0
652,2139,2,20,11.0,37,0
653,2139,2,20,15.0,25,0
654,2139,2,20,22.0,25,0
655,2139,2,20,25.0,26,0
656,2138,2,20,35.0,14,1
658,2139,2,20,48.0,6,2
660,2138,2,40,20.0,33,0
661,2138,2,40,22.0,27,0
662,2139,2,40,27.0,11,0
663,2139,2,40,27.0,14,0
665,2138,2,40,46.0,7,1
666,2139,2,40,47.0,9,1
667,2138,2,45,38.0,12,0
668,2139,2,60,20.0,23,0
669,2139,2,40,38.0,13,0
670,2138,2,20,12.0,38,0
671,2138,2,20,29.0,20,0
672,2267,2,10,32.0,19,0
673,2267,2,10,39.0,19,0
674,2267,2,15,22.0,28,0
675,2267,2,15,38.0,13,0
677,2267,2,20,17.0,33,1
678,2267,2,20,18.0,14,0
679,2267,2,20,18.0,34,0
680,2267,2,25,8.0,37,0
681,2267,2,25,42.0,9,1
682,2267,2,30,49.0,2,2
683,2267,2,40,19.0,29,0
684,2267,2,40,25.0,14,0
686,2267,2,40,44.0,11,1
687,2267,2,60,40.0,8,1
688,2267,2,60,41.0,16,1
689,2267,2,15,20.0,29,0
690,2267,2,20,32.0,19,1
691,2401,2,5,8.0,35,0
692,2402,2,5,34.0,12,0
693,2402,2,10,45.0,5,0
694,2401,2,10,48.0,8,1
695,2402,2,15,14.0,35,0
696,2401,2,20,25.0,27,0
697,2402,2,20,34.0,18,0
698,2401,2,20,50.0,2,2
699,2401,2,25,26.0,27,0
700,2401,2,25,33.0,11,1
701,2401,2,30,19.0,40,0
702,2401,2,30,50.0,4,2
703,2402,2,40,30.0,24,1
705,2401,2,50,38.0,22,0
706,2401,2,55,43.0,8,2
707,2401,2,60,30.0,25,0
708,2402,2,60,41.0,15,1
709,2401,2,15,17.0,35,0
710,2402,2,40,15.0,36,1
711,2402,2,50,5.0,35,0
713,2542,2,5,14.0,35,0
714,2541,2,10,11.0,24,0
716,2541,2,15,5.0,31,0
717,2541,2,15,35.0,17,1
718,2542,2,15,45.0,9,0
719,2541,2,20,25.0,25,1
720,2541,2,20,32.0,18,1
721,2541,2,20,34.0,13,2
722,2541,2,25,49.0,6,2
723,2541,2,30,45.0,7,0
724,2542,2,35,6.0,41,0
725,2542,2,40,16.0,38,1
726,2542,2,40,30.0,31,1
728,2541,2,60,39.0,14,1
729,2542,2,30,39.0,7,0
730,2688,2,10,30.0,14,1
731,2687,2,15,14.0,36,0
732,2688,2,15,38.0,14,0
733,2687,2,15,51.0,0,2
734,2688,2,20,27.0,22,0
735,2688,2,20,43.0,7,1
736,2688,2,20,44.0,7,1
738,2688,2,30,22.0,16,0
740,2688,2,40,36.0,13,1
741,2688,2,45,23.0,32,0
742,2688,2,60,30.0,19,1
743,2840,2,40,44.0,20,0
744,2840,2,10,40.0,10,0
745,2840,2,15,41.0,12,1
746,2840,2,20,33.0,22,1
747,2840,2,20,40.0,11,1
749,2840,2,20,50.0,1,1
750,2840,2,30,24.0,30,0
751,2840,2,30,50.0,6,1
752,2840,2,40,36.0,17,1
753,2840,2,50,21.0,34,0
754,2840,2,20,31.0,21,0
755,2840,2,20,33.0,20,1
756,2999,2,10,10.0,40,0
757,2999,2,20,13.0,44,0
758,2999,2,20,17.0,29,1
759,2999,2,20,23.0,35,0
760,2999,2,20,45.0,14,1
762,2999,2,20,50.0,2,2
763,2999,2,40,11.0,41,0
764,2999,2,40,43.0,14,1
765,3165,2,10,20.0,25,0
766,3164,2,15,15.0,35,1
767,3164,2,15,30.0,22,0
769,3164,2,20,24.0,35,0
770,3164,2,20,30.0,20,0
771,3164,2,20,35.0,19,1
772,3165,2,20,40.0,17,1
773,3164,2,30,48.0,7,1
776,3164,2,40,35.0,18,1
777,3164,2,40,50.0,5,1
778,3164,2,40,40.0,14,2
779,3165,2,10,52.0,6,0
780,3164,2,30,35.0,12,1
781,3336,2,10,7.0,42,1
782,3337,2,10,41.0,16,1
783,3337,2,20,42.0,16,1
784,3336,2,40,31.0,24,0
785,3337,2,40,41.0,19,1
786,3337,2,40,31.0,23,0
787,3337,2,80,36.0,10,1
788,3516,2,20,11.0,44,1
789,3516,2,20,15.0,44,1
790,3515,2,20,43.0,13,1
791,3516,2,50,42.0,24,1
793,3702,2,20,10.0,48,1
795,3702,2,30,29.0,21,0
796,3702,2,20,46.0,16,1
797,3895,2,20,36.0,25,1
798,3895,2,20,51.0,11,1
799,4096,2,10,47.0,15,1
801,150,2,40,16.0,1,0
802,168,2,20,16.0,5,0
804,168,2,40,16.0,5,0
805,188,2,15,15.0,7,0
807,232,2,10,5.0,2,0
808,232,2,40,23.0,2,0
810,256,2,10,14.0,2,0
811,256,2,20,19.0,5,0
812,256,2,40,16.0,5,0
813,256,2,40,19.0,8,0
814,257,2,70,23.0,5,0
815,283,2,20,22.0,4,0
816,283,2,30,19.0,6,0
817,283,2,30,27.0,0,0
818,311,2,10,16.0,10,0
819,311,2,30,20.0,1,0
820,312,2,40,20.0,10,0
821,311,2,60,20.0,4,0
822,342,2,5,22.0,4,0
823,342,2,10,17.0,6,0
824,342,2,15,17.0,6,0
825,342,2,20,19.0,6,0
826,342,2,20,27.0,3,0
829,375,2,10,15.0,13,0
830,375,2,10,22.0,4,0
831,375,2,20,20.0,3,0
832,375,2,20,25.0,0,0
833,375,2,20,28.0,2,0
834,375,2,20,29.0,0,0
835,375,2,25,26.0,0,0
836,375,2,30,9.0,12,0
837,375,2,30,29.0,2,0
838,411,2,5,20.0,9,0
839,410,2,10,18.0,5,0
842,448,2,10,7.0,4,0
843,448,2,10,15.0,10,0
844,448,2,10,26.0,7,0
845,448,2,15,24.0,2,0
846,448,2,20,6.0,16,0
850,488,2,15,32.0,0,0
851,488,2,20,13.0,9,0
853,488,2,30,19.0,13,0
854,489,2,30,21.0,2,0
856,488,2,30,23.0,7,0
857,488,2,40,13.0,15,0
858,488,2,40,29.0,2,0
859,488,2,40,34.0,2,0
860,488,2,45,31.0,0,0
861,489,2,60,27.0,3,0
862,531,2,5,6.0,13,0
863,531,2,10,17.0,16,0
864,531,2,15,22.0,0,0
865,531,2,15,29.0,2,0
866,531,2,15,29.0,3,0
867,531,2,20,10.0,10,0
868,531,2,25,16.0,14,0
869,531,2,30,15.0,12,0
871,531,2,50,23.0,11,0
872,531,2,60,31.0,1,0
873,531,2,40,13.0,14,0
874,577,2,5,13.0,19,0
875,577,2,5,18.0,11,0
876,577,2,10,7.0,7,0
877,577,2,10,16.0,14,0
878,577,2,15,7.0,19,0
879,577,2,20,17.0,3,0
880,577,2,20,18.0,16,0
881,577,2,20,20.0,9,0
882,577,2,20,29.0,6,0
883,577,2,30,23.0,10,0
884,577,2,40,20.0,10,0
885,625,2,5,10.0,20,0
886,625,2,10,10.0,7,0
887,625,2,10,10.0,14,0
888,625,2,15,17.0,15,0
889,625,2,15,30.0,2,0
890,625,2,20,22.0,7,0
891,626,2,20,23.0,13,0
892,626,2,30,31.0,4,0
893,626,2,30,35.0,0,0
894,626,2,45,29.0,1,0
895,677,2,15,22.0,12,0
896,677,2,10,23.0,11,0
897,677,2,10,24.0,2,0
898,677,2,10,25.0,3,0
899,677,2,15,11.0,18,0
901,677,2,20,20.0,7,0
902,677,2,20,22.0,5,0
903,677,2,30,22.0,15,0
904,677,2,60,22.0,13,0
905,732,2,5,6.0,22,0
906,732,2,5,25.0,9,0
907,732,2,10,16.0,17,0
908,731,2,10,22.0,12,0
909,731,2,10,25.0,7,0
910,732,2,20,14.0,16,0
911,732,2,20,25.0,3,0
912,732,2,20,32.0,1,0
914,732,2,20,37.0,0,0
915,731,2,30,17.0,14,0
916,731,2,30,24.0,12,0
918,732,2,40,14.0,20,0
919,731,2,40,24.0,15,0
920,789,2,10,17.0,15,0
921,790,2,10,30.0,7,0
922,790,2,15,20.0,8,0
923,790,2,20,18.0,15,0
924,789,2,20,32.0,3,0
925,789,2,40,25.0,8,0
926,789,2,40,26.0,0,0
927,789,2,40,34.0,2,0
928,851,2,10,30.0,6,0
929,851,2,10,35.0,3,0
930,851,2,15,18.0,1,0
931,851,2,15,26.0,15,0
932,851,2,20,5.0,7,0
933,851,2,20,18.0,4,0
934,850,2,20,19.0,21,0
935,851,2,20,37.0,2,0
