,Unnamed: 0,Identificador_Agricultor,Estimativa_de_Insetos,Tipo_de_Cultivo,Tipo_de_Solo,Categoria_Pesticida,Doses_Semana,Semanas_Utilizando,Semanas_Sem_Uso,Temporada,dano_na_plantacao
37,80037,SCROP80038,410,0,1,2,40,15.0,12,2,0
38,80038,SCROP80039,410,0,1,2,40,24.0,3,1,0
39,80039,SCROP80040,410,0,1,2,40,25.0,0,1,0
40,80040,SCROP80041,411,0,1,2,45,28.0,2,2,0
41,80041,SCROP80042,411,0,1,2,50,16.0,7,1,0
42,80042,SCROP80043,410,0,1,2,60,20.0,7,3,0
43,80043,SCROP80044,410,0,1,2,40,9.0,13,2,0
44,80044,SCROP80045,448,0,1,2,5,12.0,16,1,0
45,80045,SCROP80046,448,0,1,2,10,,16,2,0
46,80046,SCROP80047,448,0,1,2,10,16.0,12,1,0
47,80047,SCROP80048,448,0,1,2,10,23.0,4,3,0
48,80048,SCROP80049,448,0,1,2,15,14.0,12,1,0
49,80049,SCROP80050,448,0,1,2,20,20.0,13,2,0
50,80050,SCROP80051,448,0,1,2,20,26.0,2,1,0
51,80051,SCROP80052,448,0,1,2,20,28.0,2,2,0
52,80052,SCROP80053,448,0,1,2,20,28.0,3,2,0
53,80053,SCROP80054,448,0,1,2,20,31.0,2,1,0
54,80054,SCROP80055,448,0,1,2,25,13.0,14,1,0
55,80055,SCROP80056,448,0,1,2,25,15.0,6,2,0
56,80056,SCROP80057,448,0,1,2,30,25.0,0,2,0
57,80057,SCROP80058,448,0,1,2,30,,2,3,0
58,80058,SCROP80059,448,0,1,2,30,25.0,7,2,0
59,80059,SCROP80060,448,0,1,2,40,16.0,13,1,0
60,80060,SCROP80061,448,0,1,2,40,18.0,8,1,0
61,80061,SCROP80062,448,0,1,2,40,30.0,1,1,0
62,80062,SCROP80063,448,0,1,2,40,36.0,2,1,0
63,80063,SCROP80064,488,0,1,2,5,20.0,12,2,0
64,80064,SCROP80065,488,0,1,2,5,10.0,16,2,0
65,80065,SCROP80066,488,0,1,2,5,16.0,16,1,0
66,80066,SCROP80067,488,0,1,2,5,17.0,14,1,0
67,80067,SCROP80068,488,0,1,2,5,23.0,6,2,0
68,80068,SCROP80069,488,0,1,2,15,5.0,17,1,0
69,80069,SCROP80070,488,0,1,2,15,20.0,11,2,0
70,80070,SCROP80071,488,0,1,2,20,15.0,2,1,0
71,80071,SCROP80072,488,0,1,2,20,23.0,3,2,0
72,80072,SCROP80073,488,0,1,2,20,23.0,4,3,0
73,80073,SCROP80074,488,0,1,2,20,30.0,0,3,0
74,80074,SCROP80075,488,0,1,2,25,13.0,15,2,0
75,80075,SCROP80076,488,0,1,2,25,15.0,14,2,0
76,80076,SCROP80077,488,0,1,2,25,25.0,5,2,0
77,80077,SCROP80078,489,0,1,2,30,15.0,14,1,0
78,80078,SCROP80079,488,0,1,2,30,22.0,3,1,0
79,80079,SCROP80080,488,0,1,2,30,23.0,5,2,0
80,80080,SCROP80081,488,0,1,2,30,24.0,3,2,0
81,80081,SCROP80082,488,0,1,2,30,26.0,4,1,0
82,80082,SCROP80083,488,0,1,2,35,27.0,0,2,0
83,80083,SCROP80084,488,0,1,2,40,19.0,8,3,0
84,80084,SCROP80085,488,0,1,2,40,22.0,2,2,0
85,80085,SCROP80086,488,0,1,2,40,22.0,3,1,0
86,80086,SCROP80087,489,0,1,2,45,19.0,11,3,0
87,80087,SCROP80088,488,0,1,2,50,12.0,14,2,0
88,80088,SCROP80089,488,0,1,2,50,18.0,14,2,0
89,80089,SCROP80090,488,0,1,2,50,21.0,8,3,0
90,80090,SCROP80091,488,0,1,2,50,30.0,2,3,0
91,80091,SCROP80092,488,0,1,2,80,19.0,10,1,0
92,80092,SCROP80093,531,0,1,2,10,11.0,16,2,0
93,80093,SCROP80094,531,0,1,2,10,22.0,8,3,0
94,80094,SCROP80095,531,0,1,2,10,23.0,8,2,0
95,80095,SCROP80096,531,0,1,2,20,13.0,17,1,0
96,80096,SCROP80097,531,0,1,2,20,17.0,12,1,0
97,80097,SCROP80098,531,0,1,2,20,17.0,16,2,0
98,80098,SCROP80099,531,0,1,2,20,,8,2,0
99,80099,SCROP80100,531,0,1,2,20,,6,1,0
100,80100,SCROP80101,531,0,1,2,20,21.0,1,2,0
101,80101,SCROP80102,531,0,1,2,25,11.0,14,1,0
102,80102,SCROP80103,531,0,1,2,25,22.0,8,3,0
103,80103,SCROP80104,531,0,1,2,30,16.0,10,3,0
104,80104,SCROP80105,531,0,1,2,30,23.0,12,2,0
105,80105,SCROP80106,531,0,1,2,35,22.0,3,3,0
106,80106,SCROP80107,531,0,1,2,35,25.0,7,3,0
107,80107,SCROP80108,531,0,1,2,40,14.0,15,2,0
108,80108,SCROP80109,531,0,1,2,40,23.0,6,2,0
109,80109,SCROP80110,531,0,1,2,40,,3,2,0
110,80110,SCROP80111,577,0,1,2,45,16.0,9,1,0
111,80111,SCROP80112,577,0,1,2,5,14.0,0,2,0
112,80112,SCROP80113,577,0,1,2,5,25.0,10,3,0
113,80113,SCROP80114,577,0,1,2,5,29.0,2,2,0
114,80114,SCROP80115,577,0,1,2,10,23.0,8,2,0
115,80115,SCROP80116,577,0,1,2,15,20.0,11,1,0
116,80116,SCROP80117,577,0,1,2,15,25.0,4,2,0
117,80117,SCROP80118,577,0,1,2,20,11.0,14,2,0
118,80118,SCROP80119,577,0,1,2,20,13.0,15,2,0
119,80119,SCROP80120,577,0,1,2,20,20.0,4,1,0
120,80120,SCROP80121,577,0,1,2,25,30.0,7,1,0
121,80121,SCROP80122,577,0,1,2,25,,0,2,0
122,80122,SCROP80123,577,0,1,2,30,10.0,18,3,0
123,80123,SCROP80124,577,0,1,2,30,20.0,9,2,0
124,80124,SCROP80125,577,0,1,2,30,25.0,11,2,0
125,80125,SCROP80126,577,0,1,2,30,26.0,0,2,0
126,80126,SCROP80127,577,0,1,2,40,17.0,15,1,0
127,80127,SCROP80128,577,0,1,2,50,28.0,5,3,0
128,80128,SCROP80129,577,0,1,2,60,25.0,4,2,0
129,80129,SCROP80130,577,0,1,2,20,12.0,15,2,0
130,80130,SCROP80131,626,0,1,2,10,6.0,19,3,0
131,80131,SCROP80132,625,0,1,2,10,,2,1,0
132,80132,SCROP80133,625,0,1,2,15,15.0,20,2,0
133,80133,SCROP80134,626,0,1,2,15,22.0,8,3,0
134,80134,SCROP80135,626,0,1,2,20,9.0,18,2,0
135,80135,SCROP80136,625,0,1,2,20,16.0,16,2,0
136,80136,SCROP80137,625,0,1,2,20,21.0,1,1,0
137,80137,SCROP80138,626,0,1,2,20,24.0,14,3,0
138,80138,SCROP80139,626,0,1,2,20,27.0,14,2,0
139,80139,SCROP80140,625,0,1,2,20,30.0,3,1,0
140,80140,SCROP80141,625,0,1,2,25,14.0,20,1,0
141,80141,SCROP80142,625,0,1,2,25,28.0,8,2,0
142,80142,SCROP80143,625,0,1,2,25,30.0,0,2,0
143,80143,SCROP80144,626,0,1,2,30,,5,2,0
144,80144,SCROP80145,625,0,1,2,30,30.0,10,3,0
145,80145,SCROP80146,625,0,1,2,30,31.0,0,2,0
146,80146,SCROP80147,625,0,1,2,35,,5,2,0
147,80147,SCROP80148,625,0,1,2,40,12.0,18,1,0
148,80148,SCROP80149,625,0,1,2,40,18.0,6,2,0
149,80149,SCROP80150,626,0,1,2,40,21.0,2,3,0
150,80150,SCROP80151,625,0,1,2,40,22.0,8,1,0
151,80151,SCROP80152,625,0,1,2,40,25.0,0,2,0
152,80152,SCROP80153,626,0,1,2,50,17.0,20,2,0
153,80153,SCROP80154,625,0,1,2,50,24.0,5,2,0
154,80154,SCROP80155,625,0,1,2,60,25.0,0,2,0
155,80155,SCROP80156,677,0,1,2,5,6.0,19,2,0
156,80156,SCROP80157,677,0,1,2,5,21.0,14,2,0
157,80157,SCROP80158,677,0,1,2,10,15.0,12,2,0
158,80158,SCROP80159,677,0,1,2,15,11.0,19,1,0
159,80159,SCROP80160,677,0,1,2,15,18.0,12,3,0
160,80160,SCROP80161,677,0,1,2,15,36.0,0,3,0
161,80161,SCROP80162,677,0,1,2,20,,18,2,0
162,80162,SCROP80163,677,0,1,2,20,22.0,8,1,0
163,80163,SCROP80164,677,0,1,2,20,35.0,2,1,0
164,80164,SCROP80165,677,0,1,2,25,17.0,1,1,0
165,80165,SCROP80166,677,0,1,2,25,20.0,10,1,0
166,80166,SCROP80167,677,0,1,2,30,10.0,6,2,0
167,80167,SCROP80168,677,0,1,2,30,14.0,18,1,0
168,80168,SCROP80169,677,0,1,2,30,35.0,0,2,0
169,80169,SCROP80170,677,0,1,2,40,11.0,20,3,0
170,80170,SCROP80171,677,0,1,2,40,,9,1,0
171,80171,SCROP80172,677,0,1,2,50,21.0,2,2,0
172,80172,SCROP80173,677,0,1,2,50,21.0,9,3,0
173,80173,SCROP80174,677,0,1,2,60,22.0,10,2,0
174,80174,SCROP80175,677,0,1,2,60,31.0,5,2,0
175,80175,SCROP80176,732,0,1,2,25,19.0,12,1,0
176,80176,SCROP80177,731,0,1,2,5,12.0,15,1,0
177,80177,SCROP80178,732,0,1,2,10,19.0,12,2,0
178,80178,SCROP80179,732,0,1,2,15,8.0,20,3,0
179,80179,SCROP80180,732,0,1,2,15,20.0,18,1,0
180,80180,SCROP80181,732,0,1,2,15,28.0,6,1,0
181,80181,SCROP80182,731,0,1,2,20,7.0,17,1,0
182,80182,SCROP80183,732,0,1,2,20,15.0,6,1,0
183,80183,SCROP80184,732,0,1,2,20,17.0,15,1,0
184,80184,SCROP80185,732,0,1,2,20,19.0,10,2,0
185,80185,SCROP80186,731,0,1,2,20,22.0,7,2,0
186,80186,SCROP80187,731,0,1,2,20,25.0,7,1,0
187,80187,SCROP80188,732,0,1,2,20,26.0,10,1,0
188,80188,SCROP80189,731,0,1,2,20,30.0,10,2,0
189,80189,SCROP80190,732,0,1,2,20,31.0,13,3,0
190,80190,SCROP80191,732,0,1,2,20,,2,2,0
191,80191,SCROP80192,732,0,1,2,35,17.0,21,2,0
192,80192,SCROP80193,732,0,1,2,40,21.0,14,3,0
193,80193,SCROP80194,732,0,1,2,40,22.0,14,2,0
194,80194,SCROP80195,731,0,1,2,40,23.0,7,2,0
195,80195,SCROP80196,731,0,1,2,40,29.0,0,1,0
196,80196,SCROP80197,731,0,1,2,40,30.0,0,2,0
197,80197,SCROP80198,732,0,1,2,40,32.0,7,2,0
198,80198,SCROP80199,731,0,1,2,50,23.0,10,1,0
199,80199,SCROP80200,731,0,1,2,50,23.0,13,2,0
200,80200,SCROP80201,731,0,1,2,50,24.0,13,2,0
201,80201,SCROP80202,731,0,1,2,60,28.0,7,3,0
202,80202,SCROP80203,732,0,1,2,65,,4,2,0
203,80203,SCROP80204,789,0,1,2,10,7.0,23,1,0
204,80204,SCROP80205,790,0,1,2,10,8.0,21,1,0
205,80205,SCROP80206,789,0,1,2,10,19.0,18,1,0
206,80206,SCROP80207,790,0,1,2,10,26.0,13,1,0
207,80207,SCROP80208,789,0,1,2,15,16.0,16,2,0
208,80208,SCROP80209,789,0,1,2,15,17.0,20,2,0
209,80209,SCROP80210,790,0,1,2,15,23.0,12,1,0
210,80210,SCROP80211,789,0,1,2,20,8.0,23,2,0
211,80211,SCROP80212,789,0,1,2,20,20.0,15,2,0
212,80212,SCROP80213,789,0,1,2,25,24.0,14,2,0
213,80213,SCROP80214,789,0,1,2,30,,2,2,0
214,80214,SCROP80215,790,0,1,2,30,16.0,23,1,0
215,80215,SCROP80216,789,0,1,2,30,28.0,9,2,0
216,80216,SCROP80217,789,0,1,2,30,30.0,10,1,0
217,80217,SCROP80218,790,0,1,2,30,32.0,5,2,0
218,80218,SCROP80219,790,0,1,2,35,26.0,13,2,0
219,80219,SCROP80220,790,0,1,2,40,33.0,5,2,0
220,80220,SCROP80221,790,0,1,2,55,30.0,6,3,0
221,80221,SCROP80222,790,0,1,2,60,23.0,10,2,0
222,80222,SCROP80223,790,0,1,2,70,39.0,0,2,0
223,80223,SCROP80224,851,0,1,2,10,,23,1,0
224,80224,SCROP80225,851,0,1,2,10,11.0,22,2,0
225,80225,SCROP80226,851,0,1,2,10,13.0,22,3,0
226,80226,SCROP80227,851,0,1,2,10,,14,1,0
227,80227,SCROP80228,851,0,1,2,15,11.0,22,1,0
228,80228,SCROP80229,850,0,1,2,15,15.0,18,2,0
229,80229,SCROP80230,851,0,1,2,15,18.0,16,1,0
230,80230,SCROP80231,851,0,1,2,15,20.0,14,2,0
231,80231,SCROP80232,851,0,1,2,15,32.0,1,2,0
232,80232,SCROP80233,851,0,1,2,20,15.0,24,1,0
233,80233,SCROP80234,851,0,1,2,20,16.0,6,2,0
234,80234,SCROP80235,850,0,1,2,20,20.0,13,2,0
235,80235,SCROP80236,850,0,1,2,20,21.0,20,1,0
236,80236,SCROP80237,850,0,1,2,20,26.0,12,3,0
237,80237,SCROP80238,851,0,1,2,20,28.0,14,1,0
238,80238,SCROP80239,851,0,1,2,25,,20,1,0
239,80239,SCROP80240,851,0,1,2,25,30.0,2,2,0
240,80240,SCROP80241,851,0,1,2,25,30.0,10,2,0
241,80241,SCROP80242,851,0,1,2,25,33.0,4,2,0
242,80242,SCROP80243,851,0,1,2,30,35.0,5,2,0
243,80243,SCROP80244,851,0,1,2,35,17.0,19,2,0
244,80244,SCROP80245,851,0,1,2,35,25.0,3,2,0
245,80245,SCROP80246,851,0,1,2,40,15.0,9,1,0
246,80246,SCROP80247,851,0,1,2,40,20.0,21,1,0
247,80247,SCROP80248,851,0,1,2,40,,5,2,0
248,80248,SCROP80249,850,0,1,2,40,34.0,4,1,0
249,80249,SCROP80250,851,0,1,2,50,17.0,21,2,0
250,80250,SCROP80251,850,0,1,2,50,19.0,21,1,0
251,80251,SCROP80252,850,0,1,2,50,31.0,3,2,0
252,80252,SCROP80253,851,0,1,2,60,14.0,19,2,0
253,80253,SCROP80254,851,0,1,2,60,15.0,20,2,0
254,80254,SCROP80255,851,0,1,2,60,,4,3,0
255,80255,SCROP80256,850,0,1,2,60,27.0,6,1,0
256,80256,SCROP80257,916,0,1,2,10,11.0,17,1,0
257,80257,SCROP80258,916,0,1,2,10,13.0,22,2,0
258,80258,SCROP80259,916,0,1,2,10,20.0,5,3,0
259,80259,SCROP80260,915,0,1,2,20,,17,2,0
260,80260,SCROP80261,915,0,1,2,20,17.0,16,2,0
261,80261,SCROP80262,915,0,1,2,20,22.0,1,3,0
262,80262,SCROP80263,916,0,1,2,25,33.0,11,1,0
263,80263,SCROP80264,915,0,1,2,30,10.0,20,2,0
264,80264,SCROP80265,915,0,1,2,35,16.0,20,2,0
265,80265,SCROP80266,915,0,1,2,40,,18,2,0
266,80266,SCROP80267,915,0,1,2,40,30.0,9,2,0
267,80267,SCROP80268,915,0,1,2,40,31.0,12,2,0
268,80268,SCROP80269,915,0,1,2,40,34.0,8,2,0
269,80269,SCROP80270,915,0,1,2,40,35.0,10,3,0
270,80270,SCROP80271,915,0,1,2,50,20.0,6,2,0
271,80271,SCROP80272,916,0,1,2,50,27.0,15,3,0
272,80272,SCROP80273,915,0,1,2,60,13.0,20,3,0
273,80273,SCROP80274,915,0,1,2,60,22.0,16,2,0
274,80274,SCROP80275,915,0,1,2,60,26.0,16,2,0
275,80275,SCROP80276,915,0,1,2,60,35.0,0,3,0
276,80276,SCROP80277,915,0,1,2,60,35.0,5,3,0
277,80277,SCROP80278,915,0,1,2,65,38.0,1,2,0
278,80278,SCROP80279,915,0,1,2,75,,5,2,0
279,80279,SCROP80280,915,0,1,2,80,25.0,14,2,0
280,80280,SCROP80281,915,0,1,2,30,26.0,12,3,0
281,80281,SCROP80282,915,0,1,2,40,35.0,5,1,0
282,80282,SCROP80283,984,0,1,2,30,23.0,11,2,0
283,80283,SCROP80284,984,0,1,2,60,20.0,17,2,0
284,80284,SCROP80285,984,0,1,2,5,17.0,20,3,0
285,80285,SCROP80286,984,0,1,2,5,17.0,21,2,0
286,80286,SCROP80287,984,0,1,2,10,19.0,17,1,0
287,80287,SCROP80288,984,0,1,2,10,26.0,13,1,0
288,80288,SCROP80289,984,0,1,2,15,15.0,21,1,0
289,80289,SCROP80290,984,0,1,2,15,17.0,21,2,0
290,80290,SCROP80291,984,0,1,2,20,13.0,24,2,0
291,80291,SCROP80292,984,0,1,2,20,15.0,25,2,0
292,80292,SCROP80293,984,0,1,2,20,20.0,11,2,0
293,80293,SCROP80294,984,0,1,2,20,,4,2,0
294,80294,SCROP80295,984,0,1,2,25,17.0,20,3,0
295,80295,SCROP80296,984,0,1,2,25,26.0,16,2,0
296,80296,SCROP80297,984,0,1,2,30,12.0,12,1,0
297,80297,SCROP80298,984,0,1,2,30,18.0,21,2,0
298,80298,SCROP80299,984,0,1,2,30,19.0,14,3,0
299,80299,SCROP80300,984,0,1,2,30,,10,2,0
300,80300,SCROP80301,984,0,1,2,30,32.0,2,3,0
301,80301,SCROP80302,984,0,1,2,30,39.0,0,3,0
302,80302,SCROP80303,984,0,1,2,30,40.0,1,1,0
303,80303,SCROP80304,984,0,1,2,40,10.0,26,1,0
304,80304,SCROP80305,984,0,1,2,40,15.0,16,1,0
305,80305,SCROP80306,984,0,1,2,40,20.0,8,2,0
306,80306,SCROP80307,984,0,1,2,40,29.0,10,1,0
307,80307,SCROP80308,984,0,1,2,50,29.0,11,2,0
308,80308,SCROP80309,984,0,1,2,50,37.0,4,2,0
309,80309,SCROP80310,984,0,1,2,55,30.0,12,2,0
310,80310,SCROP80311,984,0,1,2,60,5.0,1,2,0
311,80311,SCROP80312,984,0,1,2,60,16.0,19,2,0
312,80312,SCROP80313,984,0,1,2,60,17.0,18,3,0
313,80313,SCROP80314,984,0,1,2,60,24.0,10,1,0
314,80314,SCROP80315,984,0,1,2,70,39.0,0,1,0
315,80315,SCROP80316,984,0,1,2,40,22.0,16,2,0
316,80316,SCROP80317,1056,0,1,2,60,20.0,17,2,0
317,80317,SCROP80318,1056,0,1,2,5,13.0,19,1,0
318,80318,SCROP80319,1056,0,1,2,5,19.0,17,3,0
319,80319,SCROP80320,1056,0,1,2,10,12.0,26,1,0
320,80320,SCROP80321,1056,0,1,2,10,24.0,14,1,0
321,80321,SCROP80322,1056,0,1,2,10,27.0,12,2,0
322,80322,SCROP80323,1056,0,1,2,15,21.0,10,2,0
323,80323,SCROP80324,1056,0,1,2,15,32.0,9,2,0
324,80324,SCROP80325,1056,0,1,2,15,34.0,11,2,0
325,80325,SCROP80326,1056,0,1,2,20,15.0,17,2,0
326,80326,SCROP80327,1056,0,1,2,20,20.0,13,1,0
327,80327,SCROP80328,1056,0,1,2,20,22.0,16,1,0
328,80328,SCROP80329,1056,0,1,2,20,35.0,2,2,0
329,80329,SCROP80330,1056,0,1,2,25,20.0,17,2,0
330,80330,SCROP80331,1056,0,1,2,30,16.0,18,2,0
331,80331,SCROP80332,1056,0,1,2,30,21.0,18,2,0
332,80332,SCROP80333,1056,0,1,2,30,26.0,20,1,0
333,80333,SCROP80334,1056,0,1,2,30,,15,3,0
334,80334,SCROP80335,1056,0,1,2,30,40.0,1,3,0
335,80335,SCROP80336,1056,0,1,2,35,43.0,0,2,0
336,80336,SCROP80337,1056,0,1,2,40,16.0,22,2,0
337,80337,SCROP80338,1056,0,1,2,40,22.0,20,2,0
338,80338,SCROP80339,1056,0,1,2,40,,9,1,0
339,80339,SCROP80340,1056,0,1,2,40,36.0,7,2,0
340,80340,SCROP80341,1056,0,1,2,55,26.0,18,2,0
341,80341,SCROP80342,1056,0,1,2,60,22.0,19,3,0
342,80342,SCROP80343,1056,0,1,2,60,30.0,5,2,0
343,80343,SCROP80344,1056,0,1,2,70,36.0,3,3,0
344,80344,SCROP80345,1056,0,1,2,80,,9,1,0
345,80345,SCROP80346,1056,0,1,2,30,,17,2,0
346,80346,SCROP80347,1132,0,1,2,10,,5,2,0
347,80347,SCROP80348,1132,0,1,2,40,,5,3,0
348,80348,SCROP80349,1132,0,1,2,5,34.0,8,3,0
349,80349,SCROP80350,1132,0,1,2,10,15.0,13,2,0
350,80350,SCROP80351,1132,0,1,2,10,,14,2,0
351,80351,SCROP80352,1132,0,1,2,10,25.0,7,2,0
352,80352,SCROP80353,1132,0,1,2,10,27.0,13,2,0
353,80353,SCROP80354,1132,0,1,2,10,36.0,3,2,0
354,80354,SCROP80355,1132,0,1,2,15,19.0,19,3,0
355,80355,SCROP80356,1132,0,1,2,15,24.0,20,1,0
356,80356,SCROP80357,1132,0,1,2,20,6.0,27,2,0
357,80357,SCROP80358,1132,0,1,2,20,,18,2,0
358,80358,SCROP80359,1132,0,1,2,20,20.0,9,2,0
359,80359,SCROP80360,1132,0,1,2,20,27.0,10,2,0
360,80360,SCROP80361,1132,0,1,2,20,33.0,2,1,0
361,80361,SCROP80362,1132,0,1,2,20,34.0,4,2,0
362,80362,SCROP80363,1132,0,1,2,20,43.0,1,1,0
363,80363,SCROP80364,1132,0,1,2,25,10.0,19,3,0
364,80364,SCROP80365,1132,0,1,2,25,13.0,25,3,0
365,80365,SCROP80366,1132,0,1,2,25,13.0,27,1,0
366,80366,SCROP80367,1132,0,1,2,25,26.0,11,3,0
367,80367,SCROP80368,1132,0,1,2,25,35.0,7,2,0
368,80368,SCROP80369,1132,0,1,2,30,41.0,2,2,0
369,80369,SCROP80370,1132,0,1,2,40,20.0,21,3,0
370,80370,SCROP80371,1132,0,1,2,40,32.0,10,2,0
371,80371,SCROP80372,1132,0,1,2,40,43.0,0,2,0
372,80372,SCROP80373,1132,0,1,2,40,45.0,1,1,0
373,80373,SCROP80374,1132,0,1,2,45,25.0,14,1,0
374,80374,SCROP80375,1132,0,1,2,50,30.0,6,2,0
375,80375,SCROP80376,1132,0,1,2,50,33.0,2,1,0
376,80376,SCROP80377,1132,0,1,2,60,33.0,3,2,0
377,80377,SCROP80378,1132,0,1,2,60,,5,1,0
378,80378,SCROP80379,1132,0,1,2,60,42.0,2,2,0
379,80379,SCROP80380,1132,0,1,2,65,23.0,13,2,0
380,80380,SCROP80381,1132,0,1,2,80,45.0,2,2,0
381,80381,SCROP80382,1132,0,1,2,20,19.0,19,2,0
382,80382,SCROP80383,1132,0,1,2,40,40.0,6,1,0
383,80383,SCROP80384,1132,0,1,2,20,24.0,13,2,0
384,80384,SCROP80385,1212,0,1,2,5,,22,2,0
385,80385,SCROP80386,1212,0,1,2,10,22.0,17,3,0
386,80386,SCROP80387,1212,0,1,2,10,27.0,15,2,0
387,80387,SCROP80388,1212,0,1,2,15,14.0,23,2,0
388,80388,SCROP80389,1212,0,1,2,15,40.0,0,1,0
389,80389,SCROP80390,1212,0,1,2,20,,26,1,0
390,80390,SCROP80391,1212,0,1,2,20,16.0,25,2,0
391,80391,SCROP80392,1212,0,1,2,20,19.0,24,1,0
392,80392,SCROP80393,1212,0,1,2,20,26.0,14,3,0
393,80393,SCROP80394,1212,0,1,2,20,28.0,14,2,0
394,80394,SCROP80395,1212,0,1,2,20,33.0,8,2,0
395,80395,SCROP80396,1212,0,1,2,25,11.0,28,3,0
396,80396,SCROP80397,1212,0,1,2,25,19.0,18,2,0
397,80397,SCROP80398,1212,0,1,2,25,19.0,20,3,0
398,80398,SCROP80399,1212,0,1,2,25,36.0,9,2,0
399,80399,SCROP80400,1212,0,1,2,25,37.0,1,2,0
400,80400,SCROP80401,1212,0,1,2,25,38.0,7,3,0
401,80401,SCROP80402,1212,0,1,2,30,13.0,26,3,0
402,80402,SCROP80403,1212,0,1,2,30,19.0,19,1,0
403,80403,SCROP80404,1212,0,1,2,30,22.0,15,3,0
404,80404,SCROP80405,1212,0,1,2,30,22.0,20,2,0
405,80405,SCROP80406,1212,0,1,2,30,24.0,9,2,0
406,80406,SCROP80407,1212,0,1,2,35,25.0,15,3,0
407,80407,SCROP80408,1212,0,1,2,40,10.0,28,2,0
408,80408,SCROP80409,1212,0,1,2,40,15.0,24,2,0
409,80409,SCROP80410,1212,0,1,2,40,16.0,18,1,0
410,80410,SCROP80411,1212,0,1,2,40,19.0,19,2,0
411,80411,SCROP80412,1212,0,1,2,40,24.0,19,2,0
412,80412,SCROP80413,1212,0,1,2,40,32.0,10,1,0
413,80413,SCROP80414,1212,0,1,2,40,33.0,4,3,0
414,80414,SCROP80415,1212,0,1,2,40,34.0,14,2,0
415,80415,SCROP80416,1212,0,1,2,40,43.0,1,2,0
416,80416,SCROP80417,1212,0,1,2,45,39.0,2,1,0
417,80417,SCROP80418,1212,0,1,2,60,38.0,5,2,0
418,80418,SCROP80419,1212,0,1,2,70,,19,1,0
419,80419,SCROP80420,1212,0,1,2,40,27.0,14,1,0
420,80420,SCROP80421,1212,0,1,2,30,41.0,2,2,0
421,80421,SCROP80422,1212,0,1,2,40,24.0,17,2,0
422,80422,SCROP80423,1297,0,1,2,20,34.0,5,3,0
423,80423,SCROP80424,1296,0,1,2,5,8.0,25,2,0
424,80424,SCROP80425,1296,0,1,2,5,20.0,1,1,0
425,80425,SCROP80426,1297,0,1,2,10,27.0,11,3,0
426,80426,SCROP80427,1296,0,1,2,10,,17,2,0
427,80427,SCROP80428,1297,0,1,2,10,32.0,13,2,0
428,80428,SCROP80429,1297,0,1,2,15,16.0,22,1,0
429,80429,SCROP80430,1296,0,1,2,15,16.0,23,2,0
