,Estimativa_de_Insetos,Tipo_de_Cultivo,Tipo_de_Solo,Categoria_Pesticida,Doses_Semana,Semanas_Utilizando,Semanas_Sem_Uso,Temporada,dano_na_plantacao
132,851,0,1,3,20,21.0,0,1,0
133,851,0,1,3,20,31.0,0,2,0
136,851,0,1,3,55,36.0,0,2,0
137,851,0,1,3,30,35.0,0,2,1
138,851,0,1,3,20,34.0,0,1,1
139,915,0,0,3,50,41.0,0,3,0
140,915,0,0,3,40,37.0,0,3,1
141,915,0,0,3,20,37.0,0,1,1
142,916,0,1,3,20,25.0,0,1,0
143,915,0,1,3,30,29.0,0,3,0
144,915,0,1,3,40,34.0,0,1,0
145,915,0,1,3,40,41.0,0,2,0
146,915,0,1,3,60,46.0,0,2,0
147,984,0,0,3,25,30.0,0,2,0
148,984,0,0,3,25,44.0,0,2,1
149,984,0,0,3,40,38.0,0,2,2
150,984,0,1,3,20,28.0,0,2,0
151,984,0,1,3,25,35.0,0,2,0
152,984,0,1,3,30,24.0,0,1,0
153,1056,0,0,3,20,27.0,0,3,0
154,1056,0,0,3,40,41.0,0,1,1
156,1056,0,1,3,10,29.0,0,2,0
157,1056,0,1,3,25,45.0,0,2,0
158,1056,0,1,3,30,46.0,0,2,0
159,1056,0,1,3,35,30.0,0,2,0
161,1056,0,1,3,60,45.0,0,1,0
162,1056,0,1,3,15,35.0,0,2,1
164,1056,0,1,3,30,47.0,0,3,1
165,1056,0,1,3,10,42.0,0,3,2
166,1056,0,1,3,20,40.0,0,3,2
167,1056,0,1,3,30,27.0,0,2,2
168,1132,0,0,3,5,41.0,0,2,0
170,1132,0,0,3,10,44.0,0,2,0
171,1132,0,0,3,20,28.0,0,2,0
172,1132,0,0,3,25,39.0,0,2,0
173,1132,0,0,3,30,25.0,0,2,0
174,1132,0,0,3,30,44.0,0,3,0
175,1132,0,0,3,50,37.0,0,2,0
176,1132,0,0,3,40,38.0,0,2,1
177,1132,0,0,3,40,36.0,0,3,1
178,1132,0,0,3,20,46.0,0,1,1
179,1132,0,0,3,40,45.0,0,1,2
180,1132,0,1,3,5,30.0,0,1,0
181,1132,0,1,3,20,17.0,0,1,0
182,1132,0,1,3,20,37.0,0,3,0
183,1132,0,1,3,25,29.0,0,3,0
184,1132,0,1,3,30,33.0,0,2,0
185,1132,0,1,3,80,38.0,0,2,0
186,1132,0,1,3,30,43.0,0,2,2
187,1212,0,0,3,5,42.0,0,2,0
188,1212,0,0,3,20,50.0,0,2,0
189,1212,0,0,3,35,39.0,0,1,0
190,1212,0,0,3,10,10.0,0,1,1
191,1212,0,0,3,20,45.0,0,3,1
192,1212,0,0,3,40,19.0,0,1,1
194,1212,0,0,3,40,46.0,0,2,1
195,1212,0,0,3,40,45.0,0,3,1
196,1212,0,0,3,50,43.0,0,2,1
197,1212,0,0,3,20,42.0,0,3,2
198,1212,0,1,3,5,37.0,0,2,0
199,1212,0,1,3,20,24.0,0,2,0
200,1212,0,1,3,30,36.0,0,3,0
201,1212,0,1,3,45,39.0,0,2,0
202,1212,0,1,3,50,44.0,0,2,0
203,1212,0,1,3,50,47.0,0,1,0
207,1212,0,1,3,30,44.0,0,2,2
208,1296,0,0,3,20,43.0,0,2,0
209,1297,0,0,3,45,43.0,0,2,0
210,1296,0,0,3,5,42.0,0,2,1
212,1297,0,0,3,20,42.0,0,2,1
213,1296,0,0,3,25,32.0,0,2,1
214,1296,0,1,3,35,39.0,0,3,0
216,1296,0,1,3,10,41.0,0,2,1
217,1385,0,0,3,15,31.0,0,2,0
218,1385,0,0,3,25,30.0,0,2,0
219,1385,0,0,3,25,46.0,0,3,0
220,1385,0,0,3,30,43.0,0,1,0
221,1385,0,0,3,40,30.0,0,2,0
222,1385,0,0,3,10,45.0,0,2,2
223,1385,0,0,3,40,45.0,0,3,2
224,1385,0,1,3,5,42.0,0,3,0
225,1385,0,1,3,10,30.0,0,2,0
226,1385,0,1,3,10,40.0,0,2,0
227,1385,0,1,3,25,32.0,0,2,0
228,1385,0,1,3,30,49.0,0,1,0
229,1385,0,1,3,35,35.0,0,3,0
230,1385,0,1,3,50,47.0,0,2,0
231,1385,0,1,3,20,44.0,0,2,1
232,1385,0,1,3,40,40.0,0,2,1
233,1385,0,1,3,10,40.0,0,2,1
234,1478,0,0,3,10,25.0,0,1,0
235,1478,0,0,3,15,53.0,0,1,0
236,1478,0,0,3,20,46.0,0,1,0
237,1478,0,0,3,40,24.0,0,2,0
238,1478,0,0,3,30,50.0,0,1,1
239,1478,0,0,3,20,37.0,0,1,1
240,1478,0,0,3,35,48.0,0,1,1
241,1478,0,0,3,30,34.0,0,2,1
242,1478,0,0,3,30,47.0,0,3,2
243,1478,0,1,3,5,44.0,0,2,0
244,1478,0,1,3,20,19.0,0,3,0
245,1478,0,1,3,30,51.0,0,1,0
246,1478,0,1,3,60,45.0,0,2,0
247,1478,0,1,3,60,50.0,0,1,0
248,1478,0,1,3,20,41.0,0,2,2
249,1576,0,0,3,15,41.0,0,2,0
252,1576,0,0,3,80,38.0,0,3,0
253,1576,0,0,3,30,50.0,0,3,1
254,1576,0,0,3,20,48.0,0,3,1
255,1576,0,0,3,25,48.0,0,2,1
256,1575,0,1,3,5,36.0,0,3,0
257,1576,0,1,3,10,37.0,0,1,0
258,1576,0,1,3,30,41.0,0,2,0
259,1576,0,1,3,60,45.0,0,2,0
260,1576,0,1,3,40,48.0,0,3,1
261,1678,0,0,3,10,50.0,0,2,0
262,1678,0,0,3,20,43.0,0,2,1
263,1678,0,0,3,10,40.0,0,2,1
264,1678,0,0,3,50,39.0,0,2,2
265,1678,0,0,3,5,44.0,0,2,2
266,1678,0,1,3,5,41.0,0,3,0
267,1678,0,1,3,10,45.0,0,1,0
268,1678,0,1,3,15,42.0,0,2,0
269,1678,0,1,3,20,44.0,0,3,0
271,1785,0,0,3,10,20.0,0,1,0
272,1786,0,0,3,50,47.0,0,2,0
273,1785,0,0,3,20,51.0,0,2,1
274,1786,0,0,3,40,51.0,0,1,1
275,1785,0,0,3,40,50.0,0,1,1
276,1786,0,0,3,20,45.0,0,3,1
277,1786,0,1,3,15,36.0,0,2,0
278,1785,0,1,3,40,30.0,0,1,0
279,1785,0,1,3,40,51.0,0,1,0
280,1785,0,1,3,40,53.0,0,2,0
281,1786,0,1,3,45,34.0,0,2,0
284,1898,0,0,3,15,49.0,0,3,0
285,1898,0,0,3,30,51.0,0,2,0
286,1898,0,0,3,35,54.0,0,3,0
287,1898,0,0,3,40,45.0,0,3,1
288,1898,0,0,3,15,52.0,0,1,1
289,1898,0,0,3,30,49.0,0,2,1
290,1898,0,0,3,30,50.0,0,2,2
291,1898,0,1,3,5,50.0,0,1,0
292,1898,0,1,3,10,45.0,0,2,0
293,1898,0,1,3,5,50.0,0,2,1
294,1898,0,1,3,40,48.0,0,2,1
295,1898,0,1,3,20,41.0,0,3,1
296,1898,0,1,3,25,41.0,0,1,2
297,2015,0,0,3,15,38.0,0,2,0
300,2015,0,0,3,60,53.0,0,2,0
302,2016,0,0,3,20,40.0,0,1,1
303,2016,0,0,3,15,47.0,0,2,1
304,2015,0,0,3,30,50.0,0,2,1
305,2016,0,0,3,60,54.0,0,2,2
306,2015,0,1,3,60,41.0,0,1,0
307,2016,0,1,3,20,49.0,0,1,1
308,2015,0,1,3,15,53.0,0,2,1
309,2016,0,1,3,30,52.0,0,3,1
310,2015,0,1,3,20,50.0,0,3,1
311,2015,0,1,3,20,50.0,0,2,1
312,2015,0,1,3,40,51.0,0,1,1
314,2138,0,0,3,20,55.0,0,3,1
315,2138,0,0,3,40,52.0,0,1,1
316,2138,0,0,3,20,56.0,0,1,2
317,2139,0,1,3,20,20.0,0,1,0
318,2139,0,1,3,30,43.0,0,2,1
319,2267,0,0,3,10,53.0,0,1,0
320,2267,0,0,3,20,25.0,0,3,0
321,2267,0,0,3,20,46.0,0,2,0
322,2267,0,0,3,20,54.0,0,2,0
323,2267,0,0,3,20,61.0,0,2,0
324,2267,0,0,3,40,48.0,0,2,0
325,2267,0,0,3,90,55.0,0,1,0
327,2267,0,1,3,10,40.0,0,1,1
328,2402,0,0,3,5,54.0,0,2,0
330,2401,0,0,3,20,35.0,0,2,0
331,2401,0,0,3,30,45.0,0,2,1
332,2401,0,0,3,60,50.0,0,2,1
333,2401,0,0,3,40,50.0,0,2,1
334,2402,0,0,3,5,50.0,0,1,1
335,2402,0,0,3,60,55.0,0,2,1
336,2401,0,1,3,5,52.0,0,2,0
337,2401,0,1,3,15,18.0,0,2,0
338,2402,0,1,3,20,44.0,0,2,0
339,2402,0,1,3,40,56.0,0,2,0
340,2542,0,0,3,10,57.0,0,2,0
342,2542,0,0,3,40,57.0,0,2,0
343,2541,0,0,3,20,55.0,0,1,1
344,2541,0,1,3,5,30.0,0,2,0
345,2541,0,1,3,30,53.0,0,1,0
346,2542,0,1,3,80,56.0,0,1,0
347,2542,0,1,3,10,54.0,0,2,1
348,2541,0,1,3,5,55.0,0,1,1
349,2688,0,0,3,30,62.0,0,2,0
350,2688,0,0,3,40,56.0,0,2,1
351,2688,0,0,3,20,54.0,0,2,2
352,2687,0,1,3,30,60.0,0,2,0
354,2688,0,1,3,40,56.0,0,3,1
355,2688,0,1,3,40,51.0,0,2,2
356,2840,0,0,3,10,57.0,0,2,0
357,2840,0,0,3,15,55.0,0,1,0
358,2840,0,0,3,30,63.0,0,1,0
359,2840,0,0,3,20,53.0,0,1,1
360,2840,0,0,3,20,54.0,0,2,1
361,2840,0,0,3,30,60.0,0,1,2
362,2840,0,1,3,10,46.0,0,1,0
363,2999,0,0,3,30,60.0,0,2,1
364,2999,0,0,3,30,61.0,0,2,1
365,2999,0,1,3,15,49.0,0,2,0
366,2999,0,1,3,20,44.0,0,3,0
368,3164,0,0,3,5,54.0,0,1,0
369,3165,0,0,3,20,62.0,0,3,0
370,3165,0,0,3,30,57.0,0,1,0
372,3164,0,1,3,55,60.0,0,2,0
373,3336,0,0,3,5,56.0,0,2,1
374,3337,0,0,3,20,62.0,0,3,2
375,3337,0,1,3,10,66.0,0,2,0
376,3337,0,1,3,20,63.0,0,3,0
377,3337,0,1,3,15,60.0,0,3,2
378,3516,0,0,3,20,50.0,0,2,0
379,3516,0,0,3,30,55.0,0,2,0
380,3516,0,0,3,20,59.0,0,2,1
381,3702,0,0,3,10,60.0,0,3,0
382,3702,0,0,3,15,64.0,0,2,0
383,3702,0,0,3,20,63.0,0,2,1
384,3896,0,0,3,20,61.0,0,1,0
385,151,1,0,3,20,25.0,0,1,0
386,150,1,0,3,30,13.0,0,2,0
387,151,1,0,3,60,15.0,0,2,0
388,150,1,1,3,5,13.0,0,1,0
389,150,1,1,3,20,10.0,0,3,0
390,150,1,1,3,40,21.0,0,1,0
391,169,1,1,3,10,21.0,0,2,0
392,168,1,1,3,20,7.0,0,3,0
393,188,1,1,3,20,22.0,0,3,0
394,188,1,1,3,35,25.0,0,2,0
395,188,1,1,3,40,26.0,0,3,0
396,188,1,1,3,60,19.0,0,3,0
397,209,1,0,3,20,17.0,0,2,0
398,209,1,0,3,30,18.0,0,2,0
399,209,1,0,3,40,24.0,0,2,0
400,209,1,1,3,55,21.0,0,2,0
401,232,1,0,3,30,19.0,0,3,0
402,232,1,0,3,30,21.0,0,1,0
403,232,1,0,3,35,22.0,0,1,0
404,232,1,1,3,5,5.0,0,1,0
405,232,1,1,3,20,13.0,0,1,0
406,231,1,1,3,25,20.0,0,2,0
407,257,1,0,3,15,15.0,0,3,0
408,283,1,1,3,10,15.0,0,1,0
410,283,1,1,3,20,24.0,0,2,0
411,283,1,1,3,25,25.0,0,1,0
412,283,1,1,3,40,19.0,0,2,0
413,312,1,1,3,5,15.0,0,3,0
414,311,1,1,3,5,28.0,0,3,0
415,312,1,1,3,15,25.0,0,2,0
416,311,1,1,3,20,24.0,0,2,0
417,311,1,1,3,20,27.0,0,2,0
418,312,1,1,3,30,18.0,0,1,0
419,311,1,1,3,45,18.0,0,2,0
420,312,1,1,3,60,29.0,0,3,0
421,342,1,0,3,5,23.0,0,2,0
422,342,1,0,3,40,20.0,0,1,0
423,342,1,0,3,50,17.0,0,1,0
424,342,1,1,3,10,30.0,0,3,0
425,342,1,1,3,20,10.0,0,2,0
426,342,1,1,3,20,25.0,0,3,1
427,375,1,0,3,15,15.0,0,2,0
429,375,1,0,3,30,26.0,0,3,0
430,375,1,0,3,35,24.0,0,2,0
431,375,1,0,3,35,29.0,0,3,0
432,375,1,0,3,55,25.0,0,2,0
433,375,1,1,3,20,13.0,0,1,0
434,375,1,1,3,25,29.0,0,2,0
435,411,1,0,3,25,33.0,0,2,0
436,410,1,0,3,30,28.0,0,2,0
437,410,1,0,3,20,26.0,0,1,1
438,410,1,1,3,5,27.0,0,2,0
439,448,1,0,3,5,22.0,0,3,0
440,448,1,0,3,5,26.0,0,2,0
442,448,1,0,3,20,12.0,0,1,0
443,448,1,0,3,20,13.0,0,2,0
444,448,1,0,3,20,34.0,0,3,0
445,448,1,0,3,40,34.0,0,3,0
447,448,1,1,3,20,8.0,0,1,1
448,488,1,0,3,25,28.0,0,2,0
449,488,1,0,3,10,6.0,0,2,1
450,489,1,0,3,15,29.0,0,2,1
451,489,1,0,3,35,31.0,0,2,1
452,489,1,0,3,10,28.0,0,2,1
453,488,1,0,3,40,18.0,0,1,2
455,488,1,1,3,25,33.0,0,2,0
456,488,1,1,3,40,17.0,0,2,0
457,488,1,1,3,40,37.0,0,3,0
458,488,1,1,3,40,30.0,0,3,2
459,531,1,0,3,15,14.0,0,2,0
460,531,1,0,3,35,29.0,0,2,0
461,531,1,0,3,50,33.0,0,3,0
462,531,1,1,3,30,23.0,0,1,0
463,577,1,0,3,10,29.0,0,2,0
464,577,1,0,3,35,32.0,0,2,0
466,577,1,0,3,20,31.0,0,3,2
469,577,1,1,3,15,31.0,0,1,1
470,625,1,0,3,5,10.0,0,1,0
471,626,1,1,3,40,31.0,0,1,0
473,677,1,0,3,30,21.0,0,3,0
474,677,1,0,3,40,35.0,0,2,1
475,677,1,1,3,5,35.0,0,2,0
476,677,1,1,3,15,35.0,0,2,0
477,677,1,1,3,30,18.0,0,3,0
478,677,1,1,3,30,25.0,0,3,0
479,677,1,1,3,45,25.0,0,2,0
480,677,1,1,3,30,32.0,0,3,2
481,732,1,0,3,5,18.0,0,3,0
482,731,1,0,3,5,37.0,0,2,0
483,732,1,0,3,40,35.0,0,1,1
484,731,1,0,3,30,38.0,0,2,1
485,732,1,0,3,25,34.0,0,3,1
486,731,1,1,3,30,19.0,0,2,0
487,731,1,1,3,35,36.0,0,3,0
488,732,1,1,3,60,30.0,0,2,0
489,789,1,0,3,10,22.0,0,2,0
490,790,1,0,3,10,37.0,0,1,0
491,789,1,0,3,25,31.0,0,1,0
492,789,1,0,3,40,26.0,0,2,0
493,790,1,0,3,30,34.0,0,1,1
494,790,1,1,3,10,29.0,0,2,0
495,789,1,1,3,30,36.0,0,1,0
496,789,1,1,3,45,34.0,0,3,0
497,790,1,1,3,60,35.0,0,1,0
498,789,1,1,3,30,30.0,0,2,1
499,789,1,1,3,10,31.0,0,1,1
500,790,1,1,3,20,35.0,0,2,1
501,851,1,0,3,10,16.0,0,2,0
502,851,1,0,3,20,24.0,0,2,0
504,851,1,0,3,40,37.0,0,2,0
505,851,1,1,3,10,5.0,0,2,0
506,851,1,1,3,15,15.0,0,2,0
507,850,1,1,3,15,27.0,0,3,0
508,851,1,1,3,20,22.0,0,2,0
509,851,1,1,3,25,38.0,0,2,0
510,851,1,1,3,20,24.0,0,2,2
512,915,1,0,3,10,22.0,0,2,0
513,916,1,0,3,60,31.0,0,2,0
514,915,1,0,3,20,17.0,0,1,1
516,916,1,0,3,40,18.0,0,1,1
517,915,1,0,3,30,40.0,0,1,2
518,915,1,1,3,15,39.0,0,3,0
519,915,1,1,3,20,8.0,0,3,0
520,915,1,1,3,40,40.0,0,2,0
521,915,1,1,3,20,20.0,0,2,1
522,915,1,1,3,20,34.0,0,2,2
523,984,1,0,3,5,8.0,0,2,0
524,984,1,0,3,20,7.0,0,2,0
525,984,1,0,3,20,9.0,0,1,0
527,984,1,0,3,35,43.0,0,1,0
528,984,1,1,3,10,23.0,0,3,0
529,984,1,1,3,10,38.0,0,2,0
530,984,1,1,3,15,41.0,0,2,0
531,984,1,1,3,25,17.0,0,3,0
532,984,1,1,3,40,37.0,0,1,0
533,984,1,1,3,50,31.0,0,3,0
534,1056,1,0,3,30,41.0,0,1,0
535,1056,1,0,3,40,35.0,0,3,0
536,1056,1,0,3,45,37.0,0,1,0
537,1056,1,0,3,15,32.0,0,2,1
538,1056,1,1,3,5,31.0,0,2,0
540,1056,1,1,3,20,24.0,0,2,0
541,1056,1,1,3,40,29.0,0,3,0
542,1056,1,1,3,40,37.0,0,2,1
543,1132,1,0,3,20,46.0,0,2,0
544,1132,1,0,3,30,39.0,0,1,0
545,1132,1,0,3,20,25.0,0,2,1
546,1132,1,1,3,10,31.0,0,2,0
547,1132,1,1,3,15,34.0,0,3,0
548,1132,1,1,3,35,45.0,0,2,0
549,1212,1,0,3,5,18.0,0,1,0
550,1212,1,0,3,10,44.0,0,3,0
551,1212,1,0,3,15,31.0,0,3,0
552,1212,1,0,3,15,40.0,0,1,0
553,1212,1,0,3,20,27.0,0,3,0
554,1212,1,0,3,40,44.0,0,2,0
555,1212,1,0,3,40,49.0,0,2,0
556,1212,1,0,3,25,44.0,0,2,1
557,1212,1,0,3,25,40.0,0,1,2
558,1212,1,1,3,10,32.0,0,2,0
559,1212,1,1,3,15,43.0,0,2,0
560,1212,1,1,3,20,23.0,0,1,0
562,1212,1,1,3,20,31.0,0,2,1
563,1212,1,1,3,40,41.0,0,3,1
565,1296,1,0,3,20,48.0,0,2,0
567,1296,1,0,3,30,35.0,0,2,0
568,1296,1,0,3,10,25.0,0,3,1
569,1296,1,0,3,15,43.0,0,3,1
570,1297,1,0,3,20,44.0,0,1,1
571,1297,1,1,3,10,35.0,0,1,0
572,1297,1,1,3,15,34.0,0,1,0
573,1296,1,1,3,30,44.0,0,2,1
574,1296,1,1,3,40,42.0,0,2,1
575,1385,1,0,3,15,21.0,0,2,0
576,1385,1,0,3,15,28.0,0,1,0
577,1385,1,0,3,15,36.0,0,3,0
578,1385,1,0,3,20,37.0,0,2,0
579,1385,1,0,3,25,40.0,0,2,0
581,1385,1,0,3,40,36.0,0,2,0
582,1385,1,0,3,30,42.0,0,2,1
584,1385,1,1,3,10,46.0,0,2,0
585,1385,1,1,3,20,25.0,0,1,0
586,1385,1,1,3,30,47.0,0,3,0
587,1385,1,1,3,50,36.0,0,1,0
588,1385,1,1,3,5,42.0,0,2,1
589,1478,1,0,3,20,34.0,0,2,0
590,1478,1,0,3,25,14.0,0,3,0
591,1478,1,0,3,40,19.0,0,2,0
592,1478,1,0,3,20,45.0,0,1,1
593,1478,1,0,3,30,39.0,0,3,1
594,1478,1,0,3,5,49.0,0,2,1
597,1478,1,1,3,10,47.0,0,1,0
598,1478,1,1,3,30,25.0,0,2,0
600,1478,1,1,3,50,45.0,0,2,0
601,1478,1,1,3,40,46.0,0,3,1
602,1576,1,0,3,15,37.0,0,1,0
603,1575,1,0,3,20,45.0,0,2,1
604,1576,1,0,3,25,46.0,0,2,1
606,1575,1,1,3,15,38.0,0,3,0
607,1576,1,1,3,20,47.0,0,1,0
608,1576,1,1,3,40,42.0,0,1,0
609,1678,1,0,3,25,43.0,0,2,0
610,1678,1,0,3,10,40.0,0,2,1
611,1678,1,0,3,10,17.0,0,3,1
612,1678,1,0,3,25,48.0,0,2,2
613,1678,1,1,3,15,43.0,0,2,0
614,1678,1,1,3,40,40.0,0,3,0
615,1678,1,1,3,40,47.0,0,2,0
616,1678,1,1,3,40,40.0,0,2,1
617,1785,1,0,3,5,16.0,0,2,0
619,1785,1,0,3,15,14.0,0,3,0
620,1786,1,0,3,20,18.0,0,3,0
621,1785,1,0,3,30,19.0,0,3,0
622,1785,1,0,3,35,43.0,0,2,0
623,1786,1,0,3,40,47.0,0,2,0
624,1786,1,0,3,20,49.0,0,1,1
625,1786,1,1,3,10,21.0,0,2,0
626,1786,1,1,3,20,23.0,0,1,0
627,1786,1,1,3,20,38.0,0,1,0
628,1785,1,1,3,30,42.0,0,3,0
630,1785,1,1,3,30,43.0,0,2,1
631,1898,1,0,3,25,49.0,0,3,0
632,1898,1,0,3,40,26.0,0,3,1
633,1898,1,0,3,15,31.0,0,1,1
634,1898,1,0,3,20,50.0,0,3,2
635,1898,1,1,3,5,33.0,0,1,0
636,1898,1,1,3,15,26.0,0,2,0
637,1898,1,1,3,15,35.0,0,1,0
638,1898,1,1,3,20,14.0,0,2,0
639,1898,1,1,3,40,42.0,0,2,0
640,2016,1,0,3,5,17.0,0,1,0
641,2015,1,0,3,10,34.0,0,1,0
642,2016,1,0,3,20,27.0,0,2,0
643,2016,1,0,3,10,45.0,0,2,1
644,2016,1,0,3,15,53.0,0,2,1
645,2015,1,0,3,25,51.0,0,3,1
646,2016,1,1,3,5,48.0,0,2,0
647,2015,1,1,3,30,40.0,0,1,0
648,2016,1,1,3,30,49.0,0,1,1
649,2138,1,0,3,30,29.0,0,2,0
650,2139,1,0,3,20,49.0,0,3,1
651,2138,1,0,3,20,51.0,0,2,1
652,2138,1,1,3,5,45.0,0,1,0
653,2138,1,1,3,10,32.0,0,1,0
654,2139,1,1,3,15,29.0,0,2,0
655,2139,1,1,3,20,50.0,0,3,0
656,2138,1,1,3,25,55.0,0,2,0
657,2267,1,0,3,10,49.0,0,1,0
658,2267,1,0,3,20,49.0,0,1,0
659,2267,1,0,3,40,51.0,0,2,0
660,2267,1,0,3,20,47.0,0,1,1
661,2267,1,0,3,40,52.0,0,1,1
662,2267,1,1,3,5,20.0,0,1,0
663,2267,1,1,3,10,48.0,0,1,0
664,2267,1,1,3,20,49.0,0,3,0
665,2267,1,1,3,25,37.0,0,2,0
666,2267,1,1,3,20,49.0,0,1,1
667,2267,1,1,3,10,52.0,0,1,1
668,2402,1,0,3,10,52.0,0,2,1
669,2401,1,1,3,20,51.0,0,2,0
670,2402,1,1,3,20,42.0,0,3,1
671,2541,1,0,3,5,55.0,0,1,0
672,2541,1,0,3,10,54.0,0,3,0
673,2542,1,0,3,20,20.0,0,2,0
