,Identificador_Agricultor,Estimativa_de_Insetos,Tipo_de_Cultivo,Tipo_de_Solo,Categoria_Pesticida,Doses_Semana,Semanas_Utilizando,Semanas_Sem_Uso,Temporada,dano_na_plantacao
68,SCROP80073,488,0,1,2,20,23.0,4,3,0
69,SCROP80074,488,0,1,2,20,30.0,0,3,0
70,SCROP80075,488,0,1,2,25,13.0,15,2,0
71,SCROP80076,488,0,1,2,25,15.0,14,2,0
72,SCROP80077,488,0,1,2,25,25.0,5,2,0
73,SCROP80078,489,0,1,2,30,15.0,14,1,0
74,SCROP80079,488,0,1,2,30,22.0,3,1,0
75,SCROP80080,488,0,1,2,30,23.0,5,2,0
76,SCROP80081,488,0,1,2,30,24.0,3,2,0
77,SCROP80082,488,0,1,2,30,26.0,4,1,0
78,SCROP80083,488,0,1,2,35,27.0,0,2,0
79,SCROP80084,488,0,1,2,40,19.0,8,3,0
80,SCROP80085,488,0,1,2,40,22.0,2,2,0
81,SCROP80086,488,0,1,2,40,22.0,3,1,0
82,SCROP80087,489,0,1,2,45,19.0,11,3,0
83,SCROP80088,488,0,1,2,50,12.0,14,2,0
84,SCROP80089,488,0,1,2,50,18.0,14,2,0
85,SCROP80090,488,0,1,2,50,21.0,8,3,0
86,SCROP80091,488,0,1,2,50,30.0,2,3,0
87,SCROP80092,488,0,1,2,80,19.0,10,1,0
88,SCROP80093,531,0,1,2,10,11.0,16,2,0
89,SCROP80094,531,0,1,2,10,22.0,8,3,0
90,SCROP80095,531,0,1,2,10,23.0,8,2,0
91,SCROP80096,531,0,1,2,20,13.0,17,1,0
92,SCROP80097,531,0,1,2,20,17.0,12,1,0
93,SCROP80098,531,0,1,2,20,17.0,16,2,0
94,SCROP80101,531,0,1,2,20,21.0,1,2,0
95,SCROP80102,531,0,1,2,25,11.0,14,1,0
96,SCROP80103,531,0,1,2,25,22.0,8,3,0
97,SCROP80104,531,0,1,2,30,16.0,10,3,0
98,SCROP80105,531,0,1,2,30,23.0,12,2,0
99,SCROP80106,531,0,1,2,35,22.0,3,3,0
100,SCROP80107,531,0,1,2,35,25.0,7,3,0
101,SCROP80108,531,0,1,2,40,14.0,15,2,0
102,SCROP80109,531,0,1,2,40,23.0,6,2,0
103,SCROP80111,577,0,1,2,45,16.0,9,1,0
104,SCROP80112,577,0,1,2,5,14.0,0,2,0
105,SCROP80113,577,0,1,2,5,25.0,10,3,0
106,SCROP80114,577,0,1,2,5,29.0,2,2,0
107,SCROP80115,577,0,1,2,10,23.0,8,2,0
108,SCROP80116,577,0,1,2,15,20.0,11,1,0
109,SCROP80117,577,0,1,2,15,25.0,4,2,0
110,SCROP80118,577,0,1,2,20,11.0,14,2,0
111,SCROP80119,577,0,1,2,20,13.0,15,2,0
112,SCROP80120,577,0,1,2,20,20.0,4,1,0
113,SCROP80121,577,0,1,2,25,30.0,7,1,0
114,SCROP80123,577,0,1,2,30,10.0,18,3,0
115,SCROP80124,577,0,1,2,30,20.0,9,2,0
116,SCROP80125,577,0,1,2,30,25.0,11,2,0
117,SCROP80126,577,0,1,2,30,26.0,0,2,0
118,SCROP80127,577,0,1,2,40,17.0,15,1,0
119,SCROP80128,577,0,1,2,50,28.0,5,3,0
120,SCROP80129,577,0,1,2,60,25.0,4,2,0
121,SCROP80130,577,0,1,2,20,12.0,15,2,0
122,SCROP80131,626,0,1,2,10,6.0,19,3,0
123,SCROP80133,625,0,1,2,15,15.0,20,2,0
124,SCROP80134,626,0,1,2,15,22.0,8,3,0
125,SCROP80135,626,0,1,2,20,9.0,18,2,0
126,SCROP80136,625,0,1,2,20,16.0,16,2,0
127,SCROP80137,625,0,1,2,20,21.0,1,1,0
128,SCROP80138,626,0,1,2,20,24.0,14,3,0
129,SCROP80139,626,0,1,2,20,27.0,14,2,0
130,SCROP80140,625,0,1,2,20,30.0,3,1,0
131,SCROP80141,625,0,1,2,25,14.0,20,1,0
132,SCROP80142,625,0,1,2,25,28.0,8,2,0
133,SCROP80143,625,0,1,2,25,30.0,0,2,0
134,SCROP80145,625,0,1,2,30,30.0,10,3,0
135,SCROP80146,625,0,1,2,30,31.0,0,2,0
136,SCROP80148,625,0,1,2,40,12.0,18,1,0
137,SCROP80149,625,0,1,2,40,18.0,6,2,0
138,SCROP80150,626,0,1,2,40,21.0,2,3,0
139,SCROP80151,625,0,1,2,40,22.0,8,1,0
140,SCROP80152,625,0,1,2,40,25.0,0,2,0
141,SCROP80153,626,0,1,2,50,17.0,20,2,0
142,SCROP80154,625,0,1,2,50,24.0,5,2,0
143,SCROP80155,625,0,1,2,60,25.0,0,2,0
144,SCROP80156,677,0,1,2,5,6.0,19,2,0
145,SCROP80157,677,0,1,2,5,21.0,14,2,0
146,SCROP80158,677,0,1,2,10,15.0,12,2,0
147,SCROP80159,677,0,1,2,15,11.0,19,1,0
148,SCROP80160,677,0,1,2,15,18.0,12,3,0
149,SCROP80161,677,0,1,2,15,36.0,0,3,0
150,SCROP80163,677,0,1,2,20,22.0,8,1,0
151,SCROP80164,677,0,1,2,20,35.0,2,1,0
152,SCROP80165,677,0,1,2,25,17.0,1,1,0
153,SCROP80166,677,0,1,2,25,20.0,10,1,0
154,SCROP80167,677,0,1,2,30,10.0,6,2,0
155,SCROP80168,677,0,1,2,30,14.0,18,1,0
156,SCROP80169,677,0,1,2,30,35.0,0,2,0
157,SCROP80170,677,0,1,2,40,11.0,20,3,0
158,SCROP80172,677,0,1,2,50,21.0,2,2,0
159,SCROP80173,677,0,1,2,50,21.0,9,3,0
160,SCROP80174,677,0,1,2,60,22.0,10,2,0
161,SCROP80175,677,0,1,2,60,31.0,5,2,0
162,SCROP80176,732,0,1,2,25,19.0,12,1,0
163,SCROP80177,731,0,1,2,5,12.0,15,1,0
164,SCROP80178,732,0,1,2,10,19.0,12,2,0
165,SCROP80179,732,0,1,2,15,8.0,20,3,0
166,SCROP80180,732,0,1,2,15,20.0,18,1,0
167,SCROP80181,732,0,1,2,15,28.0,6,1,0
168,SCROP80182,731,0,1,2,20,7.0,17,1,0
169,SCROP80183,732,0,1,2,20,15.0,6,1,0
170,SCROP80184,732,0,1,2,20,17.0,15,1,0
171,SCROP80185,732,0,1,2,20,19.0,10,2,0
172,SCROP80186,731,0,1,2,20,22.0,7,2,0
173,SCROP80187,731,0,1,2,20,25.0,7,1,0
174,SCROP80188,732,0,1,2,20,26.0,10,1,0
175,SCROP80189,731,0,1,2,20,30.0,10,2,0
176,SCROP80190,732,0,1,2,20,31.0,13,3,0
177,SCROP80192,732,0,1,2,35,17.0,21,2,0
178,SCROP80193,732,0,1,2,40,21.0,14,3,0
179,SCROP80194,732,0,1,2,40,22.0,14,2,0
180,SCROP80195,731,0,1,2,40,23.0,7,2,0
181,SCROP80196,731,0,1,2,40,29.0,0,1,0
182,SCROP80197,731,0,1,2,40,30.0,0,2,0
183,SCROP80198,732,0,1,2,40,32.0,7,2,0
184,SCROP80199,731,0,1,2,50,23.0,10,1,0
185,SCROP80200,731,0,1,2,50,23.0,13,2,0
186,SCROP80201,731,0,1,2,50,24.0,13,2,0
187,SCROP80202,731,0,1,2,60,28.0,7,3,0
188,SCROP80204,789,0,1,2,10,7.0,23,1,0
189,SCROP80205,790,0,1,2,10,8.0,21,1,0
190,SCROP80206,789,0,1,2,10,19.0,18,1,0
191,SCROP80207,790,0,1,2,10,26.0,13,1,0
192,SCROP80208,789,0,1,2,15,16.0,16,2,0
193,SCROP80209,789,0,1,2,15,17.0,20,2,0
194,SCROP80210,790,0,1,2,15,23.0,12,1,0
195,SCROP80211,789,0,1,2,20,8.0,23,2,0
196,SCROP80212,789,0,1,2,20,20.0,15,2,0
197,SCROP80213,789,0,1,2,25,24.0,14,2,0
198,SCROP80215,790,0,1,2,30,16.0,23,1,0
199,SCROP80216,789,0,1,2,30,28.0,9,2,0
200,SCROP80217,789,0,1,2,30,30.0,10,1,0
201,SCROP80218,790,0,1,2,30,32.0,5,2,0
202,SCROP80219,790,0,1,2,35,26.0,13,2,0
203,SCROP80220,790,0,1,2,40,33.0,5,2,0
204,SCROP80221,790,0,1,2,55,30.0,6,3,0
205,SCROP80222,790,0,1,2,60,23.0,10,2,0
206,SCROP80223,790,0,1,2,70,39.0,0,2,0
207,SCROP80225,851,0,1,2,10,11.0,22,2,0
208,SCROP80226,851,0,1,2,10,13.0,22,3,0
209,SCROP80228,851,0,1,2,15,11.0,22,1,0
210,SCROP80229,850,0,1,2,15,15.0,18,2,0
211,SCROP80230,851,0,1,2,15,18.0,16,1,0
212,SCROP80231,851,0,1,2,15,20.0,14,2,0
213,SCROP80232,851,0,1,2,15,32.0,1,2,0
214,SCROP80233,851,0,1,2,20,15.0,24,1,0
215,SCROP80234,851,0,1,2,20,16.0,6,2,0
216,SCROP80235,850,0,1,2,20,20.0,13,2,0
217,SCROP80236,850,0,1,2,20,21.0,20,1,0
218,SCROP80237,850,0,1,2,20,26.0,12,3,0
219,SCROP80238,851,0,1,2,20,28.0,14,1,0
220,SCROP80240,851,0,1,2,25,30.0,2,2,0
221,SCROP80241,851,0,1,2,25,30.0,10,2,0
222,SCROP80242,851,0,1,2,25,33.0,4,2,0
223,SCROP80243,851,0,1,2,30,35.0,5,2,0
224,SCROP80244,851,0,1,2,35,17.0,19,2,0
225,SCROP80245,851,0,1,2,35,25.0,3,2,0
226,SCROP80246,851,0,1,2,40,15.0,9,1,0
227,SCROP80247,851,0,1,2,40,20.0,21,1,0
228,SCROP80249,850,0,1,2,40,34.0,4,1,0
229,SCROP80250,851,0,1,2,50,17.0,21,2,0
230,SCROP80251,850,0,1,2,50,19.0,21,1,0
231,SCROP80252,850,0,1,2,50,31.0,3,2,0
232,SCROP80253,851,0,1,2,60,14.0,19,2,0
233,SCROP80254,851,0,1,2,60,15.0,20,2,0
234,SCROP80256,850,0,1,2,60,27.0,6,1,0
235,SCROP80257,916,0,1,2,10,11.0,17,1,0
236,SCROP80258,916,0,1,2,10,13.0,22,2,0
237,SCROP80259,916,0,1,2,10,20.0,5,3,0
238,SCROP80261,915,0,1,2,20,17.0,16,2,0
239,SCROP80262,915,0,1,2,20,22.0,1,3,0
240,SCROP80263,916,0,1,2,25,33.0,11,1,0
241,SCROP80264,915,0,1,2,30,10.0,20,2,0
242,SCROP80265,915,0,1,2,35,16.0,20,2,0
243,SCROP80267,915,0,1,2,40,30.0,9,2,0
244,SCROP80268,915,0,1,2,40,31.0,12,2,0
245,SCROP80269,915,0,1,2,40,34.0,8,2,0
246,SCROP80270,915,0,1,2,40,35.0,10,3,0
247,SCROP80271,915,0,1,2,50,20.0,6,2,0
248,SCROP80272,916,0,1,2,50,27.0,15,3,0
249,SCROP80273,915,0,1,2,60,13.0,20,3,0
250,SCROP80274,915,0,1,2,60,22.0,16,2,0
251,SCROP80275,915,0,1,2,60,26.0,16,2,0
252,SCROP80276,915,0,1,2,60,35.0,0,3,0
253,SCROP80277,915,0,1,2,60,35.0,5,3,0
254,SCROP80278,915,0,1,2,65,38.0,1,2,0
255,SCROP80280,915,0,1,2,80,25.0,14,2,0
256,SCROP80281,915,0,1,2,30,26.0,12,3,0
257,SCROP80282,915,0,1,2,40,35.0,5,1,0
258,SCROP80283,984,0,1,2,30,23.0,11,2,0
259,SCROP80284,984,0,1,2,60,20.0,17,2,0
260,SCROP80285,984,0,1,2,5,17.0,20,3,0
261,SCROP80286,984,0,1,2,5,17.0,21,2,0
262,SCROP80287,984,0,1,2,10,19.0,17,1,0
263,SCROP80288,984,0,1,2,10,26.0,13,1,0
264,SCROP80289,984,0,1,2,15,15.0,21,1,0
265,SCROP80290,984,0,1,2,15,17.0,21,2,0
266,SCROP80291,984,0,1,2,20,13.0,24,2,0
267,SCROP80292,984,0,1,2,20,15.0,25,2,0
268,SCROP80293,984,0,1,2,20,20.0,11,2,0
269,SCROP80295,984,0,1,2,25,17.0,20,3,0
270,SCROP80296,984,0,1,2,25,26.0,16,2,0
271,SCROP80297,984,0,1,2,30,12.0,12,1,0
272,SCROP80298,984,0,1,2,30,18.0,21,2,0
273,SCROP80299,984,0,1,2,30,19.0,14,3,0
274,SCROP80301,984,0,1,2,30,32.0,2,3,0
275,SCROP80302,984,0,1,2,30,39.0,0,3,0
276,SCROP80303,984,0,1,2,30,40.0,1,1,0
277,SCROP80304,984,0,1,2,40,10.0,26,1,0
278,SCROP80305,984,0,1,2,40,15.0,16,1,0
279,SCROP80306,984,0,1,2,40,20.0,8,2,0
280,SCROP80307,984,0,1,2,40,29.0,10,1,0
281,SCROP80308,984,0,1,2,50,29.0,11,2,0
282,SCROP80309,984,0,1,2,50,37.0,4,2,0
283,SCROP80310,984,0,1,2,55,30.0,12,2,0
284,SCROP80311,984,0,1,2,60,5.0,1,2,0
285,SCROP80312,984,0,1,2,60,16.0,19,2,0
286,SCROP80313,984,0,1,2,60,17.0,18,3,0
287,SCROP80314,984,0,1,2,60,24.0,10,1,0
288,SCROP80315,984,0,1,2,70,39.0,0,1,0
289,SCROP80316,984,0,1,2,40,22.0,16,2,0
290,SCROP80317,1056,0,1,2,60,20.0,17,2,0
291,SCROP80318,1056,0,1,2,5,13.0,19,1,0
292,SCROP80319,1056,0,1,2,5,19.0,17,3,0
293,SCROP80320,1056,0,1,2,10,12.0,26,1,0
294,SCROP80321,1056,0,1,2,10,24.0,14,1,0
295,SCROP80322,1056,0,1,2,10,27.0,12,2,0
296,SCROP80323,1056,0,1,2,15,21.0,10,2,0
297,SCROP80324,1056,0,1,2,15,32.0,9,2,0
298,SCROP80325,1056,0,1,2,15,34.0,11,2,0
299,SCROP80326,1056,0,1,2,20,15.0,17,2,0
300,SCROP80327,1056,0,1,2,20,20.0,13,1,0
301,SCROP80328,1056,0,1,2,20,22.0,16,1,0
302,SCROP80329,1056,0,1,2,20,35.0,2,2,0
303,SCROP80330,1056,0,1,2,25,20.0,17,2,0
304,SCROP80331,1056,0,1,2,30,16.0,18,2,0
305,SCROP80332,1056,0,1,2,30,21.0,18,2,0
306,SCROP80333,1056,0,1,2,30,26.0,20,1,0
307,SCROP80335,1056,0,1,2,30,40.0,1,3,0
308,SCROP80336,1056,0,1,2,35,43.0,0,2,0
309,SCROP80337,1056,0,1,2,40,16.0,22,2,0
310,SCROP80338,1056,0,1,2,40,22.0,20,2,0
311,SCROP80340,1056,0,1,2,40,36.0,7,2,0
312,SCROP80341,1056,0,1,2,55,26.0,18,2,0
313,SCROP80342,1056,0,1,2,60,22.0,19,3,0
314,SCROP80343,1056,0,1,2,60,30.0,5,2,0
315,SCROP80344,1056,0,1,2,70,36.0,3,3,0
316,SCROP80349,1132,0,1,2,5,34.0,8,3,0
317,SCROP80350,1132,0,1,2,10,15.0,13,2,0
318,SCROP80352,1132,0,1,2,10,25.0,7,2,0
319,SCROP80353,1132,0,1,2,10,27.0,13,2,0
320,SCROP80354,1132,0,1,2,10,36.0,3,2,0
321,SCROP80355,1132,0,1,2,15,19.0,19,3,0
322,SCROP80356,1132,0,1,2,15,24.0,20,1,0
323,SCROP80357,1132,0,1,2,20,6.0,27,2,0
324,SCROP80359,1132,0,1,2,20,20.0,9,2,0
325,SCROP80360,1132,0,1,2,20,27.0,10,2,0
326,SCROP80361,1132,0,1,2,20,33.0,2,1,0
327,SCROP80362,1132,0,1,2,20,34.0,4,2,0
328,SCROP80363,1132,0,1,2,20,43.0,1,1,0
329,SCROP80364,1132,0,1,2,25,10.0,19,3,0
330,SCROP80365,1132,0,1,2,25,13.0,25,3,0
331,SCROP80366,1132,0,1,2,25,13.0,27,1,0
332,SCROP80367,1132,0,1,2,25,26.0,11,3,0
333,SCROP80368,1132,0,1,2,25,35.0,7,2,0
334,SCROP80369,1132,0,1,2,30,41.0,2,2,0
335,SCROP80370,1132,0,1,2,40,20.0,21,3,0
336,SCROP80371,1132,0,1,2,40,32.0,10,2,0
337,SCROP80372,1132,0,1,2,40,43.0,0,2,0
338,SCROP80373,1132,0,1,2,40,45.0,1,1,0
339,SCROP80374,1132,0,1,2,45,25.0,14,1,0
340,SCROP80375,1132,0,1,2,50,30.0,6,2,0
341,SCROP80376,1132,0,1,2,50,33.0,2,1,0
342,SCROP80377,1132,0,1,2,60,33.0,3,2,0
343,SCROP80379,1132,0,1,2,60,42.0,2,2,0
344,SCROP80380,1132,0,1,2,65,23.0,13,2,0
345,SCROP80381,1132,0,1,2,80,45.0,2,2,0
346,SCROP80382,1132,0,1,2,20,19.0,19,2,0
347,SCROP80383,1132,0,1,2,40,40.0,6,1,0
348,SCROP80384,1132,0,1,2,20,24.0,13,2,0
349,SCROP80386,1212,0,1,2,10,22.0,17,3,0
350,SCROP80387,1212,0,1,2,10,27.0,15,2,0
351,SCROP80388,1212,0,1,2,15,14.0,23,2,0
352,SCROP80389,1212,0,1,2,15,40.0,0,1,0
353,SCROP80391,1212,0,1,2,20,16.0,25,2,0
354,SCROP80392,1212,0,1,2,20,19.0,24,1,0
355,SCROP80393,1212,0,1,2,20,26.0,14,3,0
356,SCROP80394,1212,0,1,2,20,28.0,14,2,0
357,SCROP80395,1212,0,1,2,20,33.0,8,2,0
358,SCROP80396,1212,0,1,2,25,11.0,28,3,0
359,SCROP80397,1212,0,1,2,25,19.0,18,2,0
360,SCROP80398,1212,0,1,2,25,19.0,20,3,0
361,SCROP80399,1212,0,1,2,25,36.0,9,2,0
362,SCROP80400,1212,0,1,2,25,37.0,1,2,0
363,SCROP80401,1212,0,1,2,25,38.0,7,3,0
364,SCROP80402,1212,0,1,2,30,13.0,26,3,0
365,SCROP80403,1212,0,1,2,30,19.0,19,1,0
366,SCROP80404,1212,0,1,2,30,22.0,15,3,0
367,SCROP80405,1212,0,1,2,30,22.0,20,2,0
368,SCROP80406,1212,0,1,2,30,24.0,9,2,0
369,SCROP80407,1212,0,1,2,35,25.0,15,3,0
370,SCROP80408,1212,0,1,2,40,10.0,28,2,0
371,SCROP80409,1212,0,1,2,40,15.0,24,2,0
372,SCROP80410,1212,0,1,2,40,16.0,18,1,0
373,SCROP80411,1212,0,1,2,40,19.0,19,2,0
374,SCROP80412,1212,0,1,2,40,24.0,19,2,0
375,SCROP80413,1212,0,1,2,40,32.0,10,1,0
376,SCROP80414,1212,0,1,2,40,33.0,4,3,0
377,SCROP80415,1212,0,1,2,40,34.0,14,2,0
378,SCROP80416,1212,0,1,2,40,43.0,1,2,0
379,SCROP80417,1212,0,1,2,45,39.0,2,1,0
380,SCROP80418,1212,0,1,2,60,38.0,5,2,0
381,SCROP80420,1212,0,1,2,40,27.0,14,1,0
382,SCROP80421,1212,0,1,2,30,41.0,2,2,0
383,SCROP80422,1212,0,1,2,40,24.0,17,2,0
384,SCROP80423,1297,0,1,2,20,34.0,5,3,0
385,SCROP80424,1296,0,1,2,5,8.0,25,2,0
386,SCROP80425,1296,0,1,2,5,20.0,1,1,0
387,SCROP80426,1297,0,1,2,10,27.0,11,3,0
388,SCROP80428,1297,0,1,2,10,32.0,13,2,0
389,SCROP80429,1297,0,1,2,15,16.0,22,1,0
390,SCROP80430,1296,0,1,2,15,16.0,23,2,0
391,SCROP80431,1296,0,1,2,15,26.0,18,3,0
392,SCROP80432,1297,0,1,2,15,29.0,10,3,0
393,SCROP80433,1297,0,1,2,20,18.0,25,2,0
394,SCROP80434,1297,0,1,2,20,23.0,5,2,0
395,SCROP80435,1296,0,1,2,20,27.0,13,2,0
396,SCROP80436,1296,0,1,2,20,33.0,5,2,0
397,SCROP80437,1297,0,1,2,25,16.0,19,3,0
398,SCROP80438,1296,0,1,2,25,22.0,20,2,0
399,SCROP80439,1296,0,1,2,25,27.0,13,2,0
400,SCROP80440,1297,0,1,2,25,28.0,14,2,0
401,SCROP80442,1297,0,1,2,25,32.0,10,3,0
402,SCROP80443,1296,0,1,2,30,17.0,18,1,0
403,SCROP80444,1297,0,1,2,30,20.0,23,1,0
404,SCROP80445,1296,0,1,2,30,21.0,15,1,0
405,SCROP80446,1297,0,1,2,30,23.0,20,2,0
406,SCROP80447,1296,0,1,2,30,31.0,8,1,0
407,SCROP80448,1296,0,1,2,35,26.0,15,1,0
408,SCROP80450,1296,0,1,2,40,22.0,19,3,0
409,SCROP80451,1297,0,1,2,40,23.0,14,1,0
410,SCROP80452,1296,0,1,2,40,27.0,11,1,0
411,SCROP80453,1296,0,1,2,40,33.0,0,2,0
412,SCROP80454,1296,0,1,2,40,36.0,9,3,0
413,SCROP80455,1296,0,1,2,40,39.0,4,1,0
414,SCROP80457,1296,0,1,2,50,34.0,6,2,0
415,SCROP80458,1296,0,1,2,50,38.0,9,3,0
416,SCROP80459,1296,0,1,2,55,40.0,5,3,0
417,SCROP80460,1296,0,1,2,20,13.0,17,3,0
418,SCROP80461,1296,0,1,2,20,23.0,16,3,0
419,SCROP80462,1296,0,1,2,20,31.0,17,3,0
420,SCROP80463,1296,0,1,2,20,43.0,5,1,0
421,SCROP80464,1297,0,1,2,45,41.0,2,3,0
422,SCROP80465,1385,0,1,2,15,10.0,21,2,0
423,SCROP80466,1385,0,1,2,5,20.0,1,1,0
424,SCROP80467,1385,0,1,2,10,14.0,25,3,0
425,SCROP80468,1385,0,1,2,10,23.0,21,2,0
426,SCROP80469,1385,0,1,2,10,24.0,17,1,0
427,SCROP80470,1385,0,1,2,10,26.0,19,2,0
428,SCROP80471,1385,0,1,2,15,19.0,18,3,0
429,SCROP80472,1385,0,1,2,15,24.0,17,3,0
430,SCROP80473,1385,0,1,2,20,19.0,16,2,0
431,SCROP80474,1385,0,1,2,20,19.0,23,1,0
432,SCROP80475,1385,0,1,2,20,20.0,20,2,0
433,SCROP80476,1385,0,1,2,20,22.0,14,3,0
434,SCROP80478,1385,0,1,2,20,25.0,21,1,0
435,SCROP80479,1385,0,1,2,20,28.0,13,2,0
436,SCROP80480,1385,0,1,2,20,43.0,2,1,0
437,SCROP80481,1385,0,1,2,20,44.0,1,3,0
438,SCROP80482,1385,0,1,2,25,14.0,29,2,0
439,SCROP80483,1385,0,1,2,25,20.0,11,2,0
440,SCROP80484,1385,0,1,2,25,30.0,16,1,0
441,SCROP80485,1385,0,1,2,30,10.0,31,2,0
442,SCROP80486,1385,0,1,2,30,28.0,11,1,0
443,SCROP80487,1385,0,1,2,35,30.0,14,2,0
444,SCROP80488,1385,0,1,2,40,19.0,23,2,0
445,SCROP80490,1385,0,1,2,40,31.0,15,2,0
446,SCROP80491,1385,0,1,2,40,44.0,0,2,0
447,SCROP80492,1385,0,1,2,45,32.0,11,2,0
448,SCROP80493,1385,0,1,2,60,35.0,10,2,0
449,SCROP80494,1385,0,1,2,5,5.0,11,1,0
450,SCROP80495,1385,0,1,2,15,15.0,4,2,0
451,SCROP80496,1385,0,1,2,50,39.0,6,1,0
452,SCROP80497,1385,0,1,2,40,23.0,21,1,0
453,SCROP80498,1385,0,1,2,40,41.0,5,2,0
454,SCROP80499,1478,0,1,2,10,24.0,22,2,0
455,SCROP80500,1478,0,1,2,5,20.0,16,2,0
456,SCROP80501,1478,0,1,2,5,20.0,22,1,0
457,SCROP80502,1478,0,1,2,10,14.0,28,2,0
458,SCROP80503,1478,0,1,2,10,25.0,15,1,0
459,SCROP80504,1478,0,1,2,10,33.0,7,1,0
460,SCROP80505,1478,0,1,2,10,35.0,0,3,0
461,SCROP80506,1478,0,1,2,15,10.0,20,1,0
462,SCROP80507,1478,0,1,2,15,16.0,18,2,0
463,SCROP80508,1478,0,1,2,15,17.0,28,2,0
464,SCROP80509,1478,0,1,2,15,20.0,24,3,0
465,SCROP80510,1478,0,1,2,20,8.0,28,2,0
466,SCROP80511,1478,0,1,2,20,12.0,32,3,0
467,SCROP80512,1478,0,1,2,20,22.0,26,2,0
468,SCROP80513,1478,0,1,2,20,28.0,18,2,0
