Identificador_Agricultor,Estimativa_de_Insetos,Tipo_de_Cultivo,Tipo_de_Solo,Doses_Semana,Semanas_Utilizando,Semanas_Sem_Uso,Categoria_Pesticida__1,Categoria_Pesticida__2,Categoria_Pesticida__3,Temporada__1,Temporada__2,Temporada__3,dano_na_plantacao
SCROP80089,488,0,1,50,18.0,14,0,1,0,0,1,0,0
SCROP80090,488,0,1,50,21.0,8,0,1,0,0,0,1,0
SCROP80091,488,0,1,50,30.0,2,0,1,0,0,0,1,0
SCROP80092,488,0,1,80,19.0,10,0,1,0,1,0,0,0
SCROP80093,531,0,1,10,11.0,16,0,1,0,0,1,0,0
SCROP80094,531,0,1,10,22.0,8,0,1,0,0,0,1,0
SCROP80095,531,0,1,10,23.0,8,0,1,0,0,1,0,0
SCROP80096,531,0,1,20,13.0,17,0,1,0,1,0,0,0
SCROP80097,531,0,1,20,17.0,12,0,1,0,1,0,0,0
SCROP80098,531,0,1,20,17.0,16,0,1,0,0,1,0,0
SCROP80099,531,0,1,20,27.0,8,0,1,0,0,1,0,0
SCROP80100,531,0,1,20,27.0,6,0,1,0,1,0,0,0
SCROP80101,531,0,1,20,21.0,1,0,1,0,0,1,0,0
SCROP80102,531,0,1,25,11.0,14,0,1,0,1,0,0,0
SCROP80103,531,0,1,25,22.0,8,0,1,0,0,0,1,0
SCROP80104,531,0,1,30,16.0,10,0,1,0,0,0,1,0
SCROP80105,531,0,1,30,23.0,12,0,1,0,0,1,0,0
SCROP80106,531,0,1,35,22.0,3,0,1,0,0,0,1,0
SCROP80107,531,0,1,35,25.0,7,0,1,0,0,0,1,0
SCROP80108,531,0,1,40,14.0,15,0,1,0,0,1,0,0
SCROP80109,531,0,1,40,23.0,6,0,1,0,0,1,0,0
SCROP80110,531,0,1,40,27.0,3,0,1,0,0,1,0,0
SCROP80111,577,0,1,45,16.0,9,0,1,0,1,0,0,0
SCROP80112,577,0,1,5,14.0,0,0,1,0,0,1,0,0
SCROP80113,577,0,1,5,25.0,10,0,1,0,0,0,1,0
SCROP80114,577,0,1,5,29.0,2,0,1,0,0,1,0,0
SCROP80115,577,0,1,10,23.0,8,0,1,0,0,1,0,0
SCROP80116,577,0,1,15,20.0,11,0,1,0,1,0,0,0
SCROP80117,577,0,1,15,25.0,4,0,1,0,0,1,0,0
SCROP80118,577,0,1,20,11.0,14,0,1,0,0,1,0,0
SCROP80119,577,0,1,20,13.0,15,0,1,0,0,1,0,0
SCROP80120,577,0,1,20,20.0,4,0,1,0,1,0,0,0
SCROP80121,577,0,1,25,30.0,7,0,1,0,1,0,0,0
SCROP80122,577,0,1,25,27.0,0,0,1,0,0,1,0,0
SCROP80123,577,0,1,30,10.0,18,0,1,0,0,0,1,0
SCROP80124,577,0,1,30,20.0,9,0,1,0,0,1,0,0
SCROP80125,577,0,1,30,25.0,11,0,1,0,0,1,0,0
SCROP80126,577,0,1,30,26.0,0,0,1,0,0,1,0,0
SCROP80127,577,0,1,40,17.0,15,0,1,0,1,0,0,0
SCROP80128,577,0,1,50,28.0,5,0,1,0,0,0,1,0
SCROP80129,577,0,1,60,25.0,4,0,1,0,0,1,0,0
SCROP80130,577,0,1,20,12.0,15,0,1,0,0,1,0,0
SCROP80131,626,0,1,10,6.0,19,0,1,0,0,0,1,0
SCROP80132,625,0,1,10,27.0,2,0,1,0,1,0,0,0
SCROP80133,625,0,1,15,15.0,20,0,1,0,0,1,0,0
SCROP80134,626,0,1,15,22.0,8,0,1,0,0,0,1,0
SCROP80135,626,0,1,20,9.0,18,0,1,0,0,1,0,0
SCROP80136,625,0,1,20,16.0,16,0,1,0,0,1,0,0
SCROP80137,625,0,1,20,21.0,1,0,1,0,1,0,0,0
SCROP80138,626,0,1,20,24.0,14,0,1,0,0,0,1,0
SCROP80139,626,0,1,20,27.0,14,0,1,0,0,1,0,0
SCROP80140,625,0,1,20,30.0,3,0,1,0,1,0,0,0
SCROP80141,625,0,1,25,14.0,20,0,1,0,1,0,0,0
SCROP80142,625,0,1,25,28.0,8,0,1,0,0,1,0,0
SCROP80143,625,0,1,25,30.0,0,0,1,0,0,1,0,0
SCROP80144,626,0,1,30,27.0,5,0,1,0,0,1,0,0
SCROP80145,625,0,1,30,30.0,10,0,1,0,0,0,1,0
SCROP80146,625,0,1,30,31.0,0,0,1,0,0,1,0,0
SCROP80147,625,0,1,35,27.0,5,0,1,0,0,1,0,0
SCROP80148,625,0,1,40,12.0,18,0,1,0,1,0,0,0
SCROP80149,625,0,1,40,18.0,6,0,1,0,0,1,0,0
SCROP80150,626,0,1,40,21.0,2,0,1,0,0,0,1,0
SCROP80151,625,0,1,40,22.0,8,0,1,0,1,0,0,0
SCROP80152,625,0,1,40,25.0,0,0,1,0,0,1,0,0
SCROP80153,626,0,1,50,17.0,20,0,1,0,0,1,0,0
SCROP80154,625,0,1,50,24.0,5,0,1,0,0,1,0,0
SCROP80155,625,0,1,60,25.0,0,0,1,0,0,1,0,0
SCROP80156,677,0,1,5,6.0,19,0,1,0,0,1,0,0
SCROP80157,677,0,1,5,21.0,14,0,1,0,0,1,0,0
SCROP80158,677,0,1,10,15.0,12,0,1,0,0,1,0,0
SCROP80159,677,0,1,15,11.0,19,0,1,0,1,0,0,0
SCROP80160,677,0,1,15,18.0,12,0,1,0,0,0,1,0
SCROP80161,677,0,1,15,36.0,0,0,1,0,0,0,1,0
SCROP80162,677,0,1,20,27.0,18,0,1,0,0,1,0,0
SCROP80163,677,0,1,20,22.0,8,0,1,0,1,0,0,0
SCROP80164,677,0,1,20,35.0,2,0,1,0,1,0,0,0
SCROP80165,677,0,1,25,17.0,1,0,1,0,1,0,0,0
SCROP80166,677,0,1,25,20.0,10,0,1,0,1,0,0,0
SCROP80167,677,0,1,30,10.0,6,0,1,0,0,1,0,0
SCROP80168,677,0,1,30,14.0,18,0,1,0,1,0,0,0
SCROP80169,677,0,1,30,35.0,0,0,1,0,0,1,0,0
SCROP80170,677,0,1,40,11.0,20,0,1,0,0,0,1,0
SCROP80171,677,0,1,40,27.0,9,0,1,0,1,0,0,0
SCROP80172,677,0,1,50,21.0,2,0,1,0,0,1,0,0
SCROP80173,677,0,1,50,21.0,9,0,1,0,0,0,1,0
SCROP80174,677,0,1,60,22.0,10,0,1,0,0,1,0,0
SCROP80175,677,0,1,60,31.0,5,0,1,0,0,1,0,0
SCROP80176,732,0,1,25,19.0,12,0,1,0,1,0,0,0
SCROP80177,731,0,1,5,12.0,15,0,1,0,1,0,0,0
SCROP80178,732,0,1,10,19.0,12,0,1,0,0,1,0,0
SCROP80179,732,0,1,15,8.0,20,0,1,0,0,0,1,0
SCROP80180,732,0,1,15,20.0,18,0,1,0,1,0,0,0
SCROP80181,732,0,1,15,28.0,6,0,1,0,1,0,0,0
SCROP80182,731,0,1,20,7.0,17,0,1,0,1,0,0,0
SCROP80183,732,0,1,20,15.0,6,0,1,0,1,0,0,0
SCROP80184,732,0,1,20,17.0,15,0,1,0,1,0,0,0
SCROP80185,732,0,1,20,19.0,10,0,1,0,0,1,0,0
SCROP80186,731,0,1,20,22.0,7,0,1,0,0,1,0,0
SCROP80187,731,0,1,20,25.0,7,0,1,0,1,0,0,0
SCROP80188,732,0,1,20,26.0,10,0,1,0,1,0,0,0
SCROP80189,731,0,1,20,30.0,10,0,1,0,0,1,0,0
SCROP80190,732,0,1,20,31.0,13,0,1,0,0,0,1,0
SCROP80191,732,0,1,20,27.0,2,0,1,0,0,1,0,0
SCROP80192,732,0,1,35,17.0,21,0,1,0,0,1,0,0
SCROP80193,732,0,1,40,21.0,14,0,1,0,0,0,1,0
SCROP80194,732,0,1,40,22.0,14,0,1,0,0,1,0,0
SCROP80195,731,0,1,40,23.0,7,0,1,0,0,1,0,0
SCROP80196,731,0,1,40,29.0,0,0,1,0,1,0,0,0
SCROP80197,731,0,1,40,30.0,0,0,1,0,0,1,0,0
SCROP80198,732,0,1,40,32.0,7,0,1,0,0,1,0,0
SCROP80199,731,0,1,50,23.0,10,0,1,0,1,0,0,0
SCROP80200,731,0,1,50,23.0,13,0,1,0,0,1,0,0
SCROP80201,731,0,1,50,24.0,13,0,1,0,0,1,0,0
SCROP80202,731,0,1,60,28.0,7,0,1,0,0,0,1,0
SCROP80203,732,0,1,65,27.0,4,0,1,0,0,1,0,0
SCROP80204,789,0,1,10,7.0,23,0,1,0,1,0,0,0
SCROP80205,790,0,1,10,8.0,21,0,1,0,1,0,0,0
SCROP80206,789,0,1,10,19.0,18,0,1,0,1,0,0,0
SCROP80207,790,0,1,10,26.0,13,0,1,0,1,0,0,0
SCROP80208,789,0,1,15,16.0,16,0,1,0,0,1,0,0
SCROP80209,789,0,1,15,17.0,20,0,1,0,0,1,0,0
SCROP80210,790,0,1,15,23.0,12,0,1,0,1,0,0,0
SCROP80211,789,0,1,20,8.0,23,0,1,0,0,1,0,0
SCROP80212,789,0,1,20,20.0,15,0,1,0,0,1,0,0
SCROP80213,789,0,1,25,24.0,14,0,1,0,0,1,0,0
SCROP80214,789,0,1,30,27.0,2,0,1,0,0,1,0,0
SCROP80215,790,0,1,30,16.0,23,0,1,0,1,0,0,0
SCROP80216,789,0,1,30,28.0,9,0,1,0,0,1,0,0
SCROP80217,789,0,1,30,30.0,10,0,1,0,1,0,0,0
SCROP80218,790,0,1,30,32.0,5,0,1,0,0,1,0,0
SCROP80219,790,0,1,35,26.0,13,0,1,0,0,1,0,0
SCROP80220,790,0,1,40,33.0,5,0,1,0,0,1,0,0
SCROP80221,790,0,1,55,30.0,6,0,1,0,0,0,1,0
SCROP80222,790,0,1,60,23.0,10,0,1,0,0,1,0,0
SCROP80223,790,0,1,70,39.0,0,0,1,0,0,1,0,0
SCROP80224,851,0,1,10,27.0,23,0,1,0,1,0,0,0
SCROP80225,851,0,1,10,11.0,22,0,1,0,0,1,0,0
SCROP80226,851,0,1,10,13.0,22,0,1,0,0,0,1,0
SCROP80227,851,0,1,10,27.0,14,0,1,0,1,0,0,0
SCROP80228,851,0,1,15,11.0,22,0,1,0,1,0,0,0
SCROP80229,850,0,1,15,15.0,18,0,1,0,0,1,0,0
SCROP80230,851,0,1,15,18.0,16,0,1,0,1,0,0,0
SCROP80231,851,0,1,15,20.0,14,0,1,0,0,1,0,0
SCROP80232,851,0,1,15,32.0,1,0,1,0,0,1,0,0
SCROP80233,851,0,1,20,15.0,24,0,1,0,1,0,0,0
SCROP80234,851,0,1,20,16.0,6,0,1,0,0,1,0,0
SCROP80235,850,0,1,20,20.0,13,0,1,0,0,1,0,0
SCROP80236,850,0,1,20,21.0,20,0,1,0,1,0,0,0
SCROP80237,850,0,1,20,26.0,12,0,1,0,0,0,1,0
SCROP80238,851,0,1,20,28.0,14,0,1,0,1,0,0,0
SCROP80239,851,0,1,25,27.0,20,0,1,0,1,0,0,0
SCROP80240,851,0,1,25,30.0,2,0,1,0,0,1,0,0
SCROP80241,851,0,1,25,30.0,10,0,1,0,0,1,0,0
SCROP80242,851,0,1,25,33.0,4,0,1,0,0,1,0,0
SCROP80243,851,0,1,30,35.0,5,0,1,0,0,1,0,0
SCROP80244,851,0,1,35,17.0,19,0,1,0,0,1,0,0
SCROP80245,851,0,1,35,25.0,3,0,1,0,0,1,0,0
SCROP80246,851,0,1,40,15.0,9,0,1,0,1,0,0,0
SCROP80247,851,0,1,40,20.0,21,0,1,0,1,0,0,0
SCROP80248,851,0,1,40,27.0,5,0,1,0,0,1,0,0
SCROP80249,850,0,1,40,34.0,4,0,1,0,1,0,0,0
SCROP80250,851,0,1,50,17.0,21,0,1,0,0,1,0,0
SCROP80251,850,0,1,50,19.0,21,0,1,0,1,0,0,0
SCROP80252,850,0,1,50,31.0,3,0,1,0,0,1,0,0
SCROP80253,851,0,1,60,14.0,19,0,1,0,0,1,0,0
SCROP80254,851,0,1,60,15.0,20,0,1,0,0,1,0,0
SCROP80255,851,0,1,60,27.0,4,0,1,0,0,0,1,0
SCROP80256,850,0,1,60,27.0,6,0,1,0,1,0,0,0
SCROP80257,916,0,1,10,11.0,17,0,1,0,1,0,0,0
SCROP80258,916,0,1,10,13.0,22,0,1,0,0,1,0,0
SCROP80259,916,0,1,10,20.0,5,0,1,0,0,0,1,0
SCROP80260,915,0,1,20,27.0,17,0,1,0,0,1,0,0
SCROP80261,915,0,1,20,17.0,16,0,1,0,0,1,0,0
SCROP80262,915,0,1,20,22.0,1,0,1,0,0,0,1,0
SCROP80263,916,0,1,25,33.0,11,0,1,0,1,0,0,0
SCROP80264,915,0,1,30,10.0,20,0,1,0,0,1,0,0
SCROP80265,915,0,1,35,16.0,20,0,1,0,0,1,0,0
SCROP80266,915,0,1,40,27.0,18,0,1,0,0,1,0,0
SCROP80267,915,0,1,40,30.0,9,0,1,0,0,1,0,0
SCROP80268,915,0,1,40,31.0,12,0,1,0,0,1,0,0
SCROP80269,915,0,1,40,34.0,8,0,1,0,0,1,0,0
SCROP80270,915,0,1,40,35.0,10,0,1,0,0,0,1,0
SCROP80271,915,0,1,50,20.0,6,0,1,0,0,1,0,0
SCROP80272,916,0,1,50,27.0,15,0,1,0,0,0,1,0
SCROP80273,915,0,1,60,13.0,20,0,1,0,0,0,1,0
SCROP80274,915,0,1,60,22.0,16,0,1,0,0,1,0,0
SCROP80275,915,0,1,60,26.0,16,0,1,0,0,1,0,0
SCROP80276,915,0,1,60,35.0,0,0,1,0,0,0,1,0
SCROP80277,915,0,1,60,35.0,5,0,1,0,0,0,1,0
SCROP80278,915,0,1,65,38.0,1,0,1,0,0,1,0,0
SCROP80279,915,0,1,75,27.0,5,0,1,0,0,1,0,0
SCROP80280,915,0,1,80,25.0,14,0,1,0,0,1,0,0
SCROP80281,915,0,1,30,26.0,12,0,1,0,0,0,1,0
SCROP80282,915,0,1,40,35.0,5,0,1,0,1,0,0,0
SCROP80283,984,0,1,30,23.0,11,0,1,0,0,1,0,0
SCROP80284,984,0,1,60,20.0,17,0,1,0,0,1,0,0
SCROP80285,984,0,1,5,17.0,20,0,1,0,0,0,1,0
SCROP80286,984,0,1,5,17.0,21,0,1,0,0,1,0,0
SCROP80287,984,0,1,10,19.0,17,0,1,0,1,0,0,0
SCROP80288,984,0,1,10,26.0,13,0,1,0,1,0,0,0
SCROP80289,984,0,1,15,15.0,21,0,1,0,1,0,0,0
SCROP80290,984,0,1,15,17.0,21,0,1,0,0,1,0,0
SCROP80291,984,0,1,20,13.0,24,0,1,0,0,1,0,0
SCROP80292,984,0,1,20,15.0,25,0,1,0,0,1,0,0
SCROP80293,984,0,1,20,20.0,11,0,1,0,0,1,0,0
SCROP80294,984,0,1,20,27.0,4,0,1,0,0,1,0,0
SCROP80295,984,0,1,25,17.0,20,0,1,0,0,0,1,0
SCROP80296,984,0,1,25,26.0,16,0,1,0,0,1,0,0
SCROP80297,984,0,1,30,12.0,12,0,1,0,1,0,0,0
SCROP80298,984,0,1,30,18.0,21,0,1,0,0,1,0,0
SCROP80299,984,0,1,30,19.0,14,0,1,0,0,0,1,0
SCROP80300,984,0,1,30,27.0,10,0,1,0,0,1,0,0
SCROP80301,984,0,1,30,32.0,2,0,1,0,0,0,1,0
SCROP80302,984,0,1,30,39.0,0,0,1,0,0,0,1,0
SCROP80303,984,0,1,30,40.0,1,0,1,0,1,0,0,0
SCROP80304,984,0,1,40,10.0,26,0,1,0,1,0,0,0
SCROP80305,984,0,1,40,15.0,16,0,1,0,1,0,0,0
SCROP80306,984,0,1,40,20.0,8,0,1,0,0,1,0,0
SCROP80307,984,0,1,40,29.0,10,0,1,0,1,0,0,0
SCROP80308,984,0,1,50,29.0,11,0,1,0,0,1,0,0
SCROP80309,984,0,1,50,37.0,4,0,1,0,0,1,0,0
SCROP80310,984,0,1,55,30.0,12,0,1,0,0,1,0,0
SCROP80311,984,0,1,60,5.0,1,0,1,0,0,1,0,0
SCROP80312,984,0,1,60,16.0,19,0,1,0,0,1,0,0
SCROP80313,984,0,1,60,17.0,18,0,1,0,0,0,1,0
SCROP80314,984,0,1,60,24.0,10,0,1,0,1,0,0,0
SCROP80315,984,0,1,70,39.0,0,0,1,0,1,0,0,0
SCROP80316,984,0,1,40,22.0,16,0,1,0,0,1,0,0
SCROP80317,1056,0,1,60,20.0,17,0,1,0,0,1,0,0
SCROP80318,1056,0,1,5,13.0,19,0,1,0,1,0,0,0
SCROP80319,1056,0,1,5,19.0,17,0,1,0,0,0,1,0
SCROP80320,1056,0,1,10,12.0,26,0,1,0,1,0,0,0
SCROP80321,1056,0,1,10,24.0,14,0,1,0,1,0,0,0
SCROP80322,1056,0,1,10,27.0,12,0,1,0,0,1,0,0
SCROP80323,1056,0,1,15,21.0,10,0,1,0,0,1,0,0
SCROP80324,1056,0,1,15,32.0,9,0,1,0,0,1,0,0
SCROP80325,1056,0,1,15,34.0,11,0,1,0,0,1,0,0
SCROP80326,1056,0,1,20,15.0,17,0,1,0,0,1,0,0
SCROP80327,1056,0,1,20,20.0,13,0,1,0,1,0,0,0
SCROP80328,1056,0,1,20,22.0,16,0,1,0,1,0,0,0
SCROP80329,1056,0,1,20,35.0,2,0,1,0,0,1,0,0
SCROP80330,1056,0,1,25,20.0,17,0,1,0,0,1,0,0
SCROP80331,1056,0,1,30,16.0,18,0,1,0,0,1,0,0
SCROP80332,1056,0,1,30,21.0,18,0,1,0,0,1,0,0
SCROP80333,1056,0,1,30,26.0,20,0,1,0,1,0,0,0
SCROP80334,1056,0,1,30,27.0,15,0,1,0,0,0,1,0
SCROP80335,1056,0,1,30,40.0,1,0,1,0,0,0,1,0
SCROP80336,1056,0,1,35,43.0,0,0,1,0,0,1,0,0
SCROP80337,1056,0,1,40,16.0,22,0,1,0,0,1,0,0
SCROP80338,1056,0,1,40,22.0,20,0,1,0,0,1,0,0
SCROP80339,1056,0,1,40,27.0,9,0,1,0,1,0,0,0
SCROP80340,1056,0,1,40,36.0,7,0,1,0,0,1,0,0
SCROP80341,1056,0,1,55,26.0,18,0,1,0,0,1,0,0
SCROP80342,1056,0,1,60,22.0,19,0,1,0,0,0,1,0
SCROP80343,1056,0,1,60,30.0,5,0,1,0,0,1,0,0
SCROP80344,1056,0,1,70,36.0,3,0,1,0,0,0,1,0
SCROP80345,1056,0,1,80,27.0,9,0,1,0,1,0,0,0
SCROP80346,1056,0,1,30,27.0,17,0,1,0,0,1,0,0
SCROP80347,1132,0,1,10,27.0,5,0,1,0,0,1,0,0
SCROP80348,1132,0,1,40,27.0,5,0,1,0,0,0,1,0
SCROP80349,1132,0,1,5,34.0,8,0,1,0,0,0,1,0
SCROP80350,1132,0,1,10,15.0,13,0,1,0,0,1,0,0
SCROP80351,1132,0,1,10,27.0,14,0,1,0,0,1,0,0
SCROP80352,1132,0,1,10,25.0,7,0,1,0,0,1,0,0
SCROP80353,1132,0,1,10,27.0,13,0,1,0,0,1,0,0
SCROP80354,1132,0,1,10,36.0,3,0,1,0,0,1,0,0
SCROP80355,1132,0,1,15,19.0,19,0,1,0,0,0,1,0
SCROP80356,1132,0,1,15,24.0,20,0,1,0,1,0,0,0
SCROP80357,1132,0,1,20,6.0,27,0,1,0,0,1,0,0
SCROP80358,1132,0,1,20,27.0,18,0,1,0,0,1,0,0
SCROP80359,1132,0,1,20,20.0,9,0,1,0,0,1,0,0
SCROP80360,1132,0,1,20,27.0,10,0,1,0,0,1,0,0
SCROP80361,1132,0,1,20,33.0,2,0,1,0,1,0,0,0
SCROP80362,1132,0,1,20,34.0,4,0,1,0,0,1,0,0
SCROP80363,1132,0,1,20,43.0,1,0,1,0,1,0,0,0
SCROP80364,1132,0,1,25,10.0,19,0,1,0,0,0,1,0
SCROP80365,1132,0,1,25,13.0,25,0,1,0,0,0,1,0
SCROP80366,1132,0,1,25,13.0,27,0,1,0,1,0,0,0
SCROP80367,1132,0,1,25,26.0,11,0,1,0,0,0,1,0
SCROP80368,1132,0,1,25,35.0,7,0,1,0,0,1,0,0
SCROP80369,1132,0,1,30,41.0,2,0,1,0,0,1,0,0
SCROP80370,1132,0,1,40,20.0,21,0,1,0,0,0,1,0
SCROP80371,1132,0,1,40,32.0,10,0,1,0,0,1,0,0
SCROP80372,1132,0,1,40,43.0,0,0,1,0,0,1,0,0
SCROP80373,1132,0,1,40,45.0,1,0,1,0,1,0,0,0
SCROP80374,1132,0,1,45,25.0,14,0,1,0,1,0,0,0
SCROP80375,1132,0,1,50,30.0,6,0,1,0,0,1,0,0
SCROP80376,1132,0,1,50,33.0,2,0,1,0,1,0,0,0
SCROP80377,1132,0,1,60,33.0,3,0,1,0,0,1,0,0
SCROP80378,1132,0,1,60,27.0,5,0,1,0,1,0,0,0
SCROP80379,1132,0,1,60,42.0,2,0,1,0,0,1,0,0
SCROP80380,1132,0,1,65,23.0,13,0,1,0,0,1,0,0
SCROP80381,1132,0,1,80,45.0,2,0,1,0,0,1,0,0
SCROP80382,1132,0,1,20,19.0,19,0,1,0,0,1,0,0
SCROP80383,1132,0,1,40,40.0,6,0,1,0,1,0,0,0
SCROP80384,1132,0,1,20,24.0,13,0,1,0,0,1,0,0
SCROP80385,1212,0,1,5,27.0,22,0,1,0,0,1,0,0
SCROP80386,1212,0,1,10,22.0,17,0,1,0,0,0,1,0
SCROP80387,1212,0,1,10,27.0,15,0,1,0,0,1,0,0
SCROP80388,1212,0,1,15,14.0,23,0,1,0,0,1,0,0
SCROP80389,1212,0,1,15,40.0,0,0,1,0,1,0,0,0
