@relation Safra_2018_2019

@attribute Estimativa_de_Insetos real
@attribute Tipo_de_Cultivo {0,1}
@attribute Tipo_de_Solo {0,1}
@attribute Categoria_Pesticida {1,2,3}
@attribute Doses_Semana real
@attribute Semanas_Utilizando real
@attribute Semanas_Sem_Uso real
@attribute Temporada {1,2,3}
@attribute dano_na_plantacao {0,1,2}

@data
851,0,0,3,20,32,0,3,0
851,0,0,3,20,34,0,3,0
851,0,0,3,25,42,0,2,0
851,0,0,3,60,42,0,1,1
851,0,1,3,15,27,0,3,0
851,0,1,3,20,21,0,1,0
851,0,1,3,20,31,0,2,0
851,0,1,3,30,0,0,1,0
850,0,1,3,50,0,0,2,0
851,0,1,3,55,36,0,2,0
851,0,1,3,30,35,0,2,1
851,0,1,3,20,34,0,1,1
915,0,0,3,50,41,0,3,0
915,0,0,3,40,37,0,3,1
915,0,0,3,20,37,0,1,1
916,0,1,3,20,25,0,1,0
915,0,1,3,30,29,0,3,0
915,0,1,3,40,34,0,1,0
915,0,1,3,40,41,0,2,0
915,0,1,3,60,46,0,2,0
984,0,0,3,25,30,0,2,0
984,0,0,3,25,44,0,2,1
984,0,0,3,40,38,0,2,2
984,0,1,3,20,28,0,2,0
984,0,1,3,25,35,0,2,0
984,0,1,3,30,24,0,1,0
1056,0,0,3,20,27,0,3,0
1056,0,0,3,40,41,0,1,1
1056,0,0,3,40,0,0,2,1
1056,0,1,3,10,29,0,2,0
1056,0,1,3,25,45,0,2,0
1056,0,1,3,30,46,0,2,0
1056,0,1,3,35,30,0,2,0
1056,0,1,3,50,0,0,2,0
1056,0,1,3,60,45,0,1,0
1056,0,1,3,15,35,0,2,1
1056,0,1,3,50,0,0,2,1
1056,0,1,3,30,47,0,3,1
1056,0,1,3,10,42,0,3,2
1056,0,1,3,20,40,0,3,2
1056,0,1,3,30,27,0,2,2
1132,0,0,3,5,41,0,2,0
1132,0,0,3,5,0,0,2,0
1132,0,0,3,10,44,0,2,0
1132,0,0,3,20,28,0,2,0
1132,0,0,3,25,39,0,2,0
1132,0,0,3,30,25,0,2,0
1132,0,0,3,30,44,0,3,0
1132,0,0,3,50,37,0,2,0
1132,0,0,3,40,38,0,2,1
1132,0,0,3,40,36,0,3,1
1132,0,0,3,20,46,0,1,1
1132,0,0,3,40,45,0,1,2
1132,0,1,3,5,30,0,1,0
1132,0,1,3,20,17,0,1,0
1132,0,1,3,20,37,0,3,0
1132,0,1,3,25,29,0,3,0
1132,0,1,3,30,33,0,2,0
1132,0,1,3,80,38,0,2,0
1132,0,1,3,30,43,0,2,2
1212,0,0,3,5,42,0,2,0
1212,0,0,3,20,50,0,2,0
1212,0,0,3,35,39,0,1,0
1212,0,0,3,10,10,0,1,1
1212,0,0,3,20,45,0,3,1
1212,0,0,3,40,19,0,1,1
1212,0,0,3,40,0,0,3,1
1212,0,0,3,40,46,0,2,1
1212,0,0,3,40,45,0,3,1
1212,0,0,3,50,43,0,2,1
1212,0,0,3,20,42,0,3,2
1212,0,1,3,5,37,0,2,0
1212,0,1,3,20,24,0,2,0
1212,0,1,3,30,36,0,3,0
1212,0,1,3,45,39,0,2,0
1212,0,1,3,50,44,0,2,0
1212,0,1,3,50,47,0,1,0
1212,0,1,3,15,0,0,2,1
1212,0,1,3,20,0,0,1,1
1212,0,1,3,20,0,0,2,1
1212,0,1,3,30,44,0,2,2
1296,0,0,3,20,43,0,2,0
1297,0,0,3,45,43,0,2,0
1296,0,0,3,5,42,0,2,1
1296,0,0,3,10,0,0,2,1
1297,0,0,3,20,42,0,2,1
1296,0,0,3,25,32,0,2,1
1296,0,1,3,35,39,0,3,0
1296,0,1,3,40,0,0,2,0
1296,0,1,3,10,41,0,2,1
1385,0,0,3,15,31,0,2,0
1385,0,0,3,25,30,0,2,0
1385,0,0,3,25,46,0,3,0
1385,0,0,3,30,43,0,1,0
1385,0,0,3,40,30,0,2,0
1385,0,0,3,10,45,0,2,2
1385,0,0,3,40,45,0,3,2
1385,0,1,3,5,42,0,3,0
1385,0,1,3,10,30,0,2,0
1385,0,1,3,10,40,0,2,0
1385,0,1,3,25,32,0,2,0
1385,0,1,3,30,49,0,1,0
1385,0,1,3,35,35,0,3,0
1385,0,1,3,50,47,0,2,0
1385,0,1,3,20,44,0,2,1
1385,0,1,3,40,40,0,2,1
1385,0,1,3,10,40,0,2,1
1478,0,0,3,10,25,0,1,0
1478,0,0,3,15,53,0,1,0
1478,0,0,3,20,46,0,1,0
1478,0,0,3,40,24,0,2,0
1478,0,0,3,30,50,0,1,1
1478,0,0,3,20,37,0,1,1
1478,0,0,3,35,48,0,1,1
1478,0,0,3,30,34,0,2,1
1478,0,0,3,30,47,0,3,2
1478,0,1,3,5,44,0,2,0
1478,0,1,3,20,19,0,3,0
1478,0,1,3,30,51,0,1,0
1478,0,1,3,60,45,0,2,0
1478,0,1,3,60,50,0,1,0
1478,0,1,3,20,41,0,2,2
1576,0,0,3,15,41,0,2,0
1576,0,0,3,30,0,0,2,0
1576,0,0,3,50,0,0,2,0
1576,0,0,3,80,38,0,3,0
1576,0,0,3,30,50,0,3,1
1576,0,0,3,20,48,0,3,1
1576,0,0,3,25,48,0,2,1
1575,0,1,3,5,36,0,3,0
1576,0,1,3,10,37,0,1,0
1576,0,1,3,30,41,0,2,0
1576,0,1,3,60,45,0,2,0
1576,0,1,3,40,48,0,3,1
1678,0,0,3,10,50,0,2,0
1678,0,0,3,20,43,0,2,1
1678,0,0,3,10,40,0,2,1
1678,0,0,3,50,39,0,2,2
1678,0,0,3,5,44,0,2,2
1678,0,1,3,5,41,0,3,0
1678,0,1,3,10,45,0,1,0
1678,0,1,3,15,42,0,2,0
1678,0,1,3,20,44,0,3,0
1678,0,1,3,50,0,0,2,1
1785,0,0,3,10,20,0,1,0
1786,0,0,3,50,47,0,2,0
1785,0,0,3,20,51,0,2,1
1786,0,0,3,40,51,0,1,1
1785,0,0,3,40,50,0,1,1
1786,0,0,3,20,45,0,3,1
1786,0,1,3,15,36,0,2,0
1785,0,1,3,40,30,0,1,0
1785,0,1,3,40,51,0,1,0
1785,0,1,3,40,53,0,2,0
1786,0,1,3,45,34,0,2,0
1785,0,1,3,20,0,0,2,1
1785,0,1,3,20,0,0,1,1
1898,0,0,3,15,49,0,3,0
1898,0,0,3,30,51,0,2,0
1898,0,0,3,35,54,0,3,0
1898,0,0,3,40,45,0,3,1
1898,0,0,3,15,52,0,1,1
1898,0,0,3,30,49,0,2,1
1898,0,0,3,30,50,0,2,2
1898,0,1,3,5,50,0,1,0
1898,0,1,3,10,45,0,2,0
1898,0,1,3,5,50,0,2,1
1898,0,1,3,40,48,0,2,1
1898,0,1,3,20,41,0,3,1
1898,0,1,3,25,41,0,1,2
2015,0,0,3,15,38,0,2,0
2015,0,0,3,20,0,0,3,0
2015,0,0,3,50,0,0,2,0
2015,0,0,3,60,53,0,2,0
2016,0,0,3,30,0,0,2,1
2016,0,0,3,20,40,0,1,1
2016,0,0,3,15,47,0,2,1
2015,0,0,3,30,50,0,2,1
2016,0,0,3,60,54,0,2,2
2015,0,1,3,60,41,0,1,0
2016,0,1,3,20,49,0,1,1
2015,0,1,3,15,53,0,2,1
2016,0,1,3,30,52,0,3,1
2015,0,1,3,20,50,0,3,1
2015,0,1,3,20,50,0,2,1
2015,0,1,3,40,51,0,1,1
2139,0,0,3,40,0,0,1,0
2138,0,0,3,20,55,0,3,1
2138,0,0,3,40,52,0,1,1
2138,0,0,3,20,56,0,1,2
2139,0,1,3,20,20,0,1,0
2139,0,1,3,30,43,0,2,1
2267,0,0,3,10,53,0,1,0
2267,0,0,3,20,25,0,3,0
2267,0,0,3,20,46,0,2,0
2267,0,0,3,20,54,0,2,0
2267,0,0,3,20,61,0,2,0
2267,0,0,3,40,48,0,2,0
2267,0,0,3,90,55,0,1,0
2267,0,1,3,15,0,0,1,0
2267,0,1,3,10,40,0,1,1
2402,0,0,3,5,54,0,2,0
2401,0,0,3,15,0,0,2,0
2401,0,0,3,20,35,0,2,0
2401,0,0,3,30,45,0,2,1
2401,0,0,3,60,50,0,2,1
2401,0,0,3,40,50,0,2,1
2402,0,0,3,5,50,0,1,1
2402,0,0,3,60,55,0,2,1
2401,0,1,3,5,52,0,2,0
2401,0,1,3,15,18,0,2,0
2402,0,1,3,20,44,0,2,0
2402,0,1,3,40,56,0,2,0
2542,0,0,3,10,57,0,2,0
2541,0,0,3,15,0,0,1,0
2542,0,0,3,40,57,0,2,0
2541,0,0,3,20,55,0,1,1
2541,0,1,3,5,30,0,2,0
2541,0,1,3,30,53,0,1,0
2542,0,1,3,80,56,0,1,0
2542,0,1,3,10,54,0,2,1
2541,0,1,3,5,55,0,1,1
2688,0,0,3,30,62,0,2,0
2688,0,0,3,40,56,0,2,1
2688,0,0,3,20,54,0,2,2
2687,0,1,3,30,60,0,2,0
2687,0,1,3,30,0,0,3,1
2688,0,1,3,40,56,0,3,1
2688,0,1,3,40,51,0,2,2
2840,0,0,3,10,57,0,2,0
2840,0,0,3,15,55,0,1,0
2840,0,0,3,30,63,0,1,0
2840,0,0,3,20,53,0,1,1
2840,0,0,3,20,54,0,2,1
2840,0,0,3,30,60,0,1,2
2840,0,1,3,10,46,0,1,0
2999,0,0,3,30,60,0,2,1
2999,0,0,3,30,61,0,2,1
2999,0,1,3,15,49,0,2,0
2999,0,1,3,20,44,0,3,0
2999,0,1,3,10,0,0,3,1
3164,0,0,3,5,54,0,1,0
3165,0,0,3,20,62,0,3,0
3165,0,0,3,30,57,0,1,0
3165,0,0,3,5,0,0,3,1
3164,0,1,3,55,60,0,2,0
3336,0,0,3,5,56,0,2,1
3337,0,0,3,20,62,0,3,2
3337,0,1,3,10,66,0,2,0
3337,0,1,3,20,63,0,3,0
3337,0,1,3,15,60,0,3,2
3516,0,0,3,20,50,0,2,0
3516,0,0,3,30,55,0,2,0
3516,0,0,3,20,59,0,2,1
3702,0,0,3,10,60,0,3,0
3702,0,0,3,15,64,0,2,0
3702,0,0,3,20,63,0,2,1
3896,0,0,3,20,61,0,1,0
151,1,0,3,20,25,0,1,0
150,1,0,3,30,13,0,2,0
151,1,0,3,60,15,0,2,0
150,1,1,3,5,13,0,1,0
150,1,1,3,20,10,0,3,0
150,1,1,3,40,21,0,1,0
169,1,1,3,10,21,0,2,0
168,1,1,3,20,7,0,3,0
188,1,1,3,20,22,0,3,0
188,1,1,3,35,25,0,2,0
188,1,1,3,40,26,0,3,0
188,1,1,3,60,19,0,3,0
209,1,0,3,20,17,0,2,0
209,1,0,3,30,18,0,2,0
209,1,0,3,40,24,0,2,0
209,1,1,3,55,21,0,2,0
232,1,0,3,30,19,0,3,0
232,1,0,3,30,21,0,1,0
232,1,0,3,35,22,0,1,0
232,1,1,3,5,5,0,1,0
232,1,1,3,20,13,0,1,0
231,1,1,3,25,20,0,2,0
257,1,0,3,15,15,0,3,0
283,1,1,3,10,15,0,1,0
283,1,1,3,10,0,0,2,0
283,1,1,3,20,24,0,2,0
283,1,1,3,25,25,0,1,0
283,1,1,3,40,19,0,2,0
312,1,1,3,5,15,0,3,0
311,1,1,3,5,28,0,3,0
312,1,1,3,15,25,0,2,0
311,1,1,3,20,24,0,2,0
311,1,1,3,20,27,0,2,0
312,1,1,3,30,18,0,1,0
311,1,1,3,45,18,0,2,0
312,1,1,3,60,29,0,3,0
342,1,0,3,5,23,0,2,0
342,1,0,3,40,20,0,1,0
342,1,0,3,50,17,0,1,0
342,1,1,3,10,30,0,3,0
342,1,1,3,20,10,0,2,0
342,1,1,3,20,25,0,3,1
375,1,0,3,15,15,0,2,0
375,1,0,3,15,0,0,2,0
375,1,0,3,30,26,0,3,0
375,1,0,3,35,24,0,2,0
375,1,0,3,35,29,0,3,0
375,1,0,3,55,25,0,2,0
375,1,1,3,20,13,0,1,0
375,1,1,3,25,29,0,2,0
411,1,0,3,25,33,0,2,0
410,1,0,3,30,28,0,2,0
410,1,0,3,20,26,0,1,1
410,1,1,3,5,27,0,2,0
448,1,0,3,5,22,0,3,0
448,1,0,3,5,26,0,2,0
448,1,0,3,10,0,0,2,0
448,1,0,3,20,12,0,1,0
448,1,0,3,20,13,0,2,0
448,1,0,3,20,34,0,3,0
448,1,0,3,40,34,0,3,0
448,1,1,3,50,0,0,3,0
448,1,1,3,20,8,0,1,1
488,1,0,3,25,28,0,2,0
488,1,0,3,10,6,0,2,1
489,1,0,3,15,29,0,2,1
489,1,0,3,35,31,0,2,1
489,1,0,3,10,28,0,2,1
488,1,0,3,40,18,0,1,2
488,1,1,3,25,0,0,2,0
488,1,1,3,25,33,0,2,0
488,1,1,3,40,17,0,2,0
488,1,1,3,40,37,0,3,0
488,1,1,3,40,30,0,3,2
531,1,0,3,15,14,0,2,0
531,1,0,3,35,29,0,2,0
531,1,0,3,50,33,0,3,0
531,1,1,3,30,23,0,1,0
577,1,0,3,10,29,0,2,0
577,1,0,3,35,32,0,2,0
577,1,0,3,40,0,0,3,1
577,1,0,3,20,31,0,3,2
577,1,1,3,5,0,0,2,0
577,1,1,3,20,0,0,2,0
577,1,1,3,15,31,0,1,1
625,1,0,3,5,10,0,1,0
626,1,1,3,40,31,0,1,0
625,1,1,3,40,0,0,1,0
677,1,0,3,30,21,0,3,0
677,1,0,3,40,35,0,2,1
677,1,1,3,5,35,0,2,0
677,1,1,3,15,35,0,2,0
677,1,1,3,30,18,0,3,0
677,1,1,3,30,25,0,3,0
677,1,1,3,45,25,0,2,0
677,1,1,3,30,32,0,3,2
732,1,0,3,5,18,0,3,0
731,1,0,3,5,37,0,2,0
732,1,0,3,40,35,0,1,1
731,1,0,3,30,38,0,2,1
732,1,0,3,25,34,0,3,1
731,1,1,3,30,19,0,2,0
731,1,1,3,35,36,0,3,0
732,1,1,3,60,30,0,2,0
789,1,0,3,10,22,0,2,0
790,1,0,3,10,37,0,1,0
789,1,0,3,25,31,0,1,0
789,1,0,3,40,26,0,2,0
790,1,0,3,30,34,0,1,1
790,1,1,3,10,29,0,2,0
789,1,1,3,30,36,0,1,0
789,1,1,3,45,34,0,3,0
790,1,1,3,60,35,0,1,0
789,1,1,3,30,30,0,2,1
789,1,1,3,10,31,0,1,1
790,1,1,3,20,35,0,2,1
851,1,0,3,10,16,0,2,0
851,1,0,3,20,24,0,2,0
851,1,0,3,20,0,0,3,0
851,1,0,3,40,37,0,2,0
851,1,1,3,10,5,0,2,0
851,1,1,3,15,15,0,2,0
850,1,1,3,15,27,0,3,0
851,1,1,3,20,22,0,2,0
851,1,1,3,25,38,0,2,0
851,1,1,3,20,24,0,2,2
915,1,0,3,5,0,0,2,0
915,1,0,3,10,22,0,2,0
916,1,0,3,60,31,0,2,0
915,1,0,3,20,17,0,1,1
915,1,0,3,20,0,0,2,1
916,1,0,3,40,18,0,1,1
915,1,0,3,30,40,0,1,2
915,1,1,3,15,39,0,3,0
915,1,1,3,20,8,0,3,0
915,1,1,3,40,40,0,2,0
915,1,1,3,20,20,0,2,1
915,1,1,3,20,34,0,2,2
984,1,0,3,5,8,0,2,0
984,1,0,3,20,7,0,2,0
984,1,0,3,20,9,0,1,0
984,1,0,3,35,0,0,1,0
984,1,0,3,35,43,0,1,0
984,1,1,3,10,23,0,3,0
984,1,1,3,10,38,0,2,0
984,1,1,3,15,41,0,2,0
984,1,1,3,25,17,0,3,0
984,1,1,3,40,37,0,1,0
984,1,1,3,50,31,0,3,0
1056,1,0,3,30,41,0,1,0
1056,1,0,3,40,35,0,3,0
1056,1,0,3,45,37,0,1,0
1056,1,0,3,15,32,0,2,1
1056,1,1,3,5,31,0,2,0
1056,1,1,3,15,0,0,2,0
1056,1,1,3,20,24,0,2,0
1056,1,1,3,40,29,0,3,0
1056,1,1,3,40,37,0,2,1
1132,1,0,3,20,46,0,2,0
1132,1,0,3,30,39,0,1,0
1132,1,0,3,20,25,0,2,1
1132,1,1,3,10,31,0,2,0
1132,1,1,3,15,34,0,3,0
1132,1,1,3,35,45,0,2,0
1212,1,0,3,5,18,0,1,0
1212,1,0,3,10,44,0,3,0
1212,1,0,3,15,31,0,3,0
1212,1,0,3,15,40,0,1,0
1212,1,0,3,20,27,0,3,0
1212,1,0,3,40,44,0,2,0
1212,1,0,3,40,49,0,2,0
1212,1,0,3,25,44,0,2,1
1212,1,0,3,25,40,0,1,2
1212,1,1,3,10,32,0,2,0
1212,1,1,3,15,43,0,2,0
1212,1,1,3,20,23,0,1,0
1212,1,1,3,60,0,0,2,0
1212,1,1,3,20,31,0,2,1
1212,1,1,3,40,41,0,3,1
1296,1,0,3,5,0,0,1,0
1296,1,0,3,20,48,0,2,0
1296,1,0,3,30,0,0,3,0
1296,1,0,3,30,35,0,2,0
1296,1,0,3,10,25,0,3,1
1296,1,0,3,15,43,0,3,1
1297,1,0,3,20,44,0,1,1
1297,1,1,3,10,35,0,1,0
1297,1,1,3,15,34,0,1,0
1296,1,1,3,30,44,0,2,1
1296,1,1,3,40,42,0,2,1
1385,1,0,3,15,21,0,2,0
1385,1,0,3,15,28,0,1,0
1385,1,0,3,15,36,0,3,0
1385,1,0,3,20,37,0,2,0
1385,1,0,3,25,40,0,2,0
1385,1,0,3,30,0,0,2,0
1385,1,0,3,40,36,0,2,0
1385,1,0,3,30,42,0,2,1
1385,1,1,3,5,0,0,1,0
1385,1,1,3,10,46,0,2,0
1385,1,1,3,20,25,0,1,0
1385,1,1,3,30,47,0,3,0
1385,1,1,3,50,36,0,1,0
1385,1,1,3,5,42,0,2,1
1478,1,0,3,20,34,0,2,0
1478,1,0,3,25,14,0,3,0
1478,1,0,3,40,19,0,2,0
1478,1,0,3,20,45,0,1,1
1478,1,0,3,30,39,0,3,1
1478,1,0,3,5,49,0,2,1
1478,1,0,3,20,0,0,1,2
1478,1,1,3,5,0,0,1,0
1478,1,1,3,10,47,0,1,0
1478,1,1,3,30,25,0,2,0
1478,1,1,3,30,0,0,2,0
1478,1,1,3,50,45,0,2,0
1478,1,1,3,40,46,0,3,1
1576,1,0,3,15,37,0,1,0
1575,1,0,3,20,45,0,2,1
1576,1,0,3,25,46,0,2,1
1576,1,1,3,15,0,0,2,0
1575,1,1,3,15,38,0,3,0
1576,1,1,3,20,47,0,1,0
1576,1,1,3,40,42,0,1,0
1678,1,0,3,25,43,0,2,0
1678,1,0,3,10,40,0,2,1
1678,1,0,3,10,17,0,3,1
1678,1,0,3,25,48,0,2,2
1678,1,1,3,15,43,0,2,0
1678,1,1,3,40,40,0,3,0
1678,1,1,3,40,47,0,2,0
1678,1,1,3,40,40,0,2,1
1785,1,0,3,5,16,0,2,0
1785,1,0,3,10,0,0,2,0
1785,1,0,3,15,14,0,3,0
1786,1,0,3,20,18,0,3,0
1785,1,0,3,30,19,0,3,0
1785,1,0,3,35,43,0,2,0
1786,1,0,3,40,47,0,2,0
1786,1,0,3,20,49,0,1,1
1786,1,1,3,10,21,0,2,0
1786,1,1,3,20,23,0,1,0
1786,1,1,3,20,38,0,1,0
1785,1,1,3,30,42,0,3,0
1785,1,1,3,40,0,0,3,0
1785,1,1,3,30,43,0,2,1
1898,1,0,3,25,49,0,3,0
1898,1,0,3,40,26,0,3,1
1898,1,0,3,15,31,0,1,1
1898,1,0,3,20,50,0,3,2
1898,1,1,3,5,33,0,1,0
1898,1,1,3,15,26,0,2,0
1898,1,1,3,15,35,0,1,0
1898,1,1,3,20,14,0,2,0
1898,1,1,3,40,42,0,2,0
2016,1,0,3,5,17,0,1,0
2015,1,0,3,10,34,0,1,0
2016,1,0,3,20,27,0,2,0
2016,1,0,3,10,45,0,2,1
2016,1,0,3,15,53,0,2,1
2015,1,0,3,25,51,0,3,1
2016,1,1,3,5,48,0,2,0
2015,1,1,3,30,40,0,1,0
2016,1,1,3,30,49,0,1,1
2138,1,0,3,30,29,0,2,0
2139,1,0,3,20,49,0,3,1
2138,1,0,3,20,51,0,2,1
2138,1,1,3,5,45,0,1,0
2138,1,1,3,10,32,0,1,0
2139,1,1,3,15,29,0,2,0
2139,1,1,3,20,50,0,3,0
2138,1,1,3,25,55,0,2,0
2267,1,0,3,10,49,0,1,0
2267,1,0,3,20,49,0,1,0
2267,1,0,3,40,51,0,2,0
2267,1,0,3,20,47,0,1,1
2267,1,0,3,40,52,0,1,1
2267,1,1,3,5,20,0,1,0
2267,1,1,3,10,48,0,1,0
2267,1,1,3,20,49,0,3,0
2267,1,1,3,25,37,0,2,0
2267,1,1,3,20,49,0,1,1
2267,1,1,3,10,52,0,1,1
2402,1,0,3,10,52,0,2,1
2401,1,1,3,20,51,0,2,0
2402,1,1,3,20,42,0,3,1
2541,1,0,3,5,55,0,1,0
2541,1,0,3,10,54,0,3,0
2542,1,0,3,20,20,0,2,0
2542,1,0,3,20,45,0,1,0
2541,1,0,3,20,49,0,2,0
2542,1,0,3,10,51,0,2,1
2542,1,1,3,15,39,0,3,0
2542,1,1,3,30,0,0,3,0
2542,1,1,3,20,53,0,2,1
2687,1,0,3,5,58,0,2,0
2688,1,0,3,15,50,0,1,0
2688,1,0,3,20,36,0,2,1
2688,1,0,3,5,0,0,2,1
2688,1,1,3,10,57,0,1,0
2688,1,1,3,15,49,0,2,0
2840,1,1,3,40,49,0,2,0
2999,1,0,3,20,35,0,1,0
2999,1,0,3,20,0,0,1,1
2999,1,1,3,40,55,0,1,0
3164,1,1,3,10,47,0,1,0
3164,1,1,3,10,57,0,1,0
3164,1,1,3,20,55,0,1,0
3165,1,1,3,20,57,0,1,2
3337,1,0,3,10,54,0,2,0
3337,1,0,3,20,59,0,3,0
3337,1,1,3,15,63,0,2,0
3337,1,1,3,25,46,0,3,0
3337,1,1,3,40,0,0,2,0
3516,1,0,3,15,59,0,2,0
3516,1,1,3,10,61,0,3,0
3702,1,0,3,20,57,0,2,0
3895,1,0,3,5,53,0,3,0
3896,1,1,3,20,39,0,1,0
3895,1,1,3,20,45,0,2,0
4096,1,1,3,10,40,0,3,1
4096,1,1,3,15,0,0,1,1
169,0,0,2,30,0,1,2,0
232,0,0,2,20,0,9,2,0
256,0,0,2,20,14,0,2,0
312,0,0,2,35,26,1,2,0
311,0,0,2,60,20,4,1,0
342,0,0,2,5,24,0,2,0
342,0,0,2,10,12,13,2,0
342,0,0,2,10,26,3,2,0
342,0,0,2,20,0,3,2,0
375,0,0,2,15,25,1,1,0
375,0,0,2,20,10,14,2,0
375,0,0,2,25,23,6,1,0
375,0,0,2,25,24,3,1,0
375,0,0,2,30,24,0,2,0
375,0,0,2,30,26,2,2,0
375,0,0,2,40,14,12,2,0
375,0,0,2,40,20,3,3,0
410,0,0,2,5,10,15,2,0
411,0,0,2,10,15,13,2,0
411,0,0,2,10,30,0,1,0
411,0,0,2,20,15,9,2,0
410,0,0,2,20,18,10,3,0
411,0,0,2,25,14,10,2,0
410,0,0,2,35,11,14,2,0
411,0,0,2,50,25,4,3,0
448,0,0,2,5,23,8,1,0
448,0,0,2,10,5,10,1,0
