Estimativa_de_Insetos,Tipo_de_Cultivo,Tipo_de_Solo,Categoria_Pesticida,Doses_Semana,Semanas_Utilizando,Semanas_Sem_Uso,Temporada,dano_na_plantacao
577,0,1,2,50,20.0,15,2,0
1898,0,1,3,5,50.0,0,2,1
1297,0,0,2,60,20.0,20,2,0
1212,0,1,2,20,16.0,10,2,0
1212,0,1,2,25,14.0,24,2,0
1297,0,1,2,5,40.0,3,1,1
2267,0,1,2,20,30.0,19,3,1
1212,0,1,2,35,44.0,0,1,0
531,0,1,3,25,22.0,0,1,1
1296,0,0,3,20,47.0,0,2,1
2541,0,0,2,40,29.0,20,1,0
1297,0,0,2,60,37.0,7,3,1
342,1,1,1,0,0.0,0,2,1
2401,1,0,2,10,40.0,4,2,0
1297,0,0,2,10,23.0,15,2,0
531,0,0,2,60,,18,2,0
789,0,1,2,30,25.0,2,2,0
1212,1,0,2,10,28.0,13,2,0
2840,0,0,3,10,52.0,0,2,0
1785,0,0,2,25,30.0,20,2,0
1478,0,1,2,20,44.0,3,2,0
984,0,0,2,40,12.0,11,3,0
1385,0,1,2,30,37.0,2,1,0
916,0,1,2,20,37.0,4,2,0
448,0,1,2,40,22.0,6,2,0
1385,0,0,2,40,18.0,31,1,0
1296,0,0,2,20,25.0,7,3,0
1212,0,1,2,30,34.0,12,3,0
1385,0,1,2,40,37.0,16,3,0
342,0,1,2,40,20.0,3,1,0
3895,1,1,3,40,49.0,0,1,1
1385,0,1,2,30,,11,1,0
626,0,0,2,5,12.0,20,2,0
1385,1,0,2,10,36.0,5,1,0
2267,1,1,3,30,45.0,0,2,0
984,1,0,3,30,36.0,0,2,1
851,1,0,2,30,24.0,4,1,0
1132,0,1,2,30,23.0,14,3,0
915,0,1,2,5,20.0,17,2,0
488,1,0,2,10,20.0,5,3,0
577,0,1,3,30,8.0,0,2,0
1212,1,0,3,10,,0,2,0
1212,1,0,2,20,25.0,14,1,0
2016,1,0,3,10,49.0,0,2,1
2138,0,0,1,0,0.0,0,2,1
1132,0,1,1,0,0.0,0,2,1
984,0,1,2,20,26.0,14,2,1
448,0,0,3,40,29.0,0,2,0
577,0,0,3,40,23.0,0,3,0
3336,0,1,2,20,20.0,34,2,0
1576,0,0,3,20,43.0,0,1,1
1678,1,0,2,30,29.0,11,1,0
188,0,0,2,20,12.0,6,2,0
1898,0,1,2,50,17.0,31,2,0
489,0,1,3,30,28.0,0,1,0
915,0,1,2,20,17.0,21,3,0
1297,0,1,2,30,34.0,3,1,0
1056,0,1,2,20,17.0,22,3,0
2138,0,1,2,15,18.0,31,2,0
1576,1,0,2,10,13.0,33,2,0
731,1,1,3,15,9.0,0,2,0
2402,1,0,2,15,9.0,28,3,0
915,0,1,2,40,27.0,15,1,0
1132,0,0,2,25,34.0,5,2,1
2688,0,1,2,30,34.0,18,2,0
626,0,0,2,40,20.0,11,3,0
1056,0,1,2,15,40.0,2,3,0
1575,0,1,2,60,30.0,15,2,0
1132,0,0,2,40,22.0,20,2,0
2015,0,0,3,20,50.0,0,1,2
984,0,0,2,20,9.0,26,3,0
984,0,0,3,70,30.0,0,1,0
984,0,1,2,20,12.0,20,2,0
1212,1,0,2,10,35.0,6,2,0
1212,0,1,2,20,14.0,25,2,0
531,1,1,3,5,31.0,0,2,1
3337,0,1,2,20,40.0,11,3,1
1478,0,1,2,10,5.0,22,3,0
851,0,0,2,20,6.0,24,3,0
3164,0,0,2,20,50.0,10,1,2
1056,1,0,2,30,42.0,1,1,0
577,0,0,2,40,21.0,5,3,0
984,0,0,2,10,25.0,21,2,0
1212,0,1,2,40,42.0,4,3,0
1385,0,0,2,25,18.0,29,2,0
448,0,0,2,20,14.0,3,2,0
448,0,0,2,45,15.0,14,3,1
531,1,1,3,20,28.0,0,1,0
677,0,0,2,20,10.0,18,2,0
448,0,1,2,20,17.0,13,1,0
2840,0,0,2,30,,8,1,0
915,0,0,2,30,30.0,2,2,0
232,0,0,2,20,,0,2,0
1212,0,1,2,10,30.0,6,2,0
1575,1,0,2,25,40.0,2,2,0
1385,0,1,3,35,37.0,0,3,0
984,0,0,3,60,26.0,0,3,0
1212,0,1,3,5,47.0,0,3,0
1898,0,0,2,20,48.0,3,2,1
1576,0,1,2,90,,32,3,0
1898,1,0,2,20,43.0,2,2,0
2015,0,1,2,35,35.0,16,2,0
1056,0,1,3,20,40.0,0,1,1
1056,0,0,2,20,26.0,3,3,0
1296,1,0,1,0,0.0,0,1,2
984,0,1,2,40,21.0,15,1,2
1056,0,1,2,40,38.0,7,3,0
2267,0,1,2,10,,38,2,0
677,0,1,2,30,25.0,18,2,0
188,1,0,2,20,12.0,1,2,0
1576,0,0,2,20,41.0,10,2,0
851,0,1,3,20,31.0,0,2,0
312,0,1,2,20,27.0,0,3,0
1898,0,1,2,30,21.0,16,1,0
410,0,1,1,0,0.0,0,1,1
375,1,1,3,5,5.0,0,2,0
851,0,0,3,20,34.0,0,2,1
1678,0,1,2,20,18.0,14,3,0
732,1,0,2,10,18.0,10,3,0
1478,0,1,2,20,24.0,19,3,1
577,1,1,3,50,37.0,0,1,0
1576,0,1,2,40,38.0,13,1,0
2267,0,1,2,15,43.0,6,2,0
488,0,1,2,30,11.0,8,2,0
2016,0,0,2,10,22.0,20,2,0
625,0,1,2,60,,16,2,0
1385,0,0,2,60,28.0,16,2,0
851,1,0,2,40,27.0,14,1,0
1785,0,0,2,5,25.0,25,1,0
531,0,0,2,15,24.0,9,2,0
3516,0,0,2,15,,42,1,0
2015,0,0,3,10,48.0,0,2,0
625,1,0,2,20,16.0,10,2,0
1385,0,0,2,20,32.0,13,1,0
2016,0,1,2,15,42.0,7,2,0
732,1,1,3,10,32.0,0,2,1
1212,0,1,2,60,25.0,19,1,0
732,0,0,2,60,,22,3,0
1678,0,0,2,20,8.0,32,3,0
375,1,1,3,30,,0,2,0
342,0,0,2,20,16.0,8,3,0
2267,1,1,3,15,27.0,0,1,1
626,0,0,2,20,27.0,2,1,0
410,0,0,3,55,33.0,0,2,0
790,0,1,2,20,30.0,3,1,0
1212,0,1,2,10,,4,1,0
410,0,1,2,5,12.0,5,1,0
625,0,0,2,10,13.0,19,2,0
790,0,1,2,30,21.0,8,1,0
626,0,1,2,5,12.0,16,3,0
1385,0,1,2,40,27.0,21,1,0
342,1,0,2,50,,2,2,0
2138,0,0,2,10,,6,2,0
2542,0,1,2,15,25.0,19,2,0
984,1,0,2,10,20.0,14,3,0
1212,1,0,2,40,36.0,3,3,1
789,0,0,2,75,,20,2,0
489,0,1,3,35,38.0,0,1,0
2015,0,1,3,10,41.0,0,3,1
1785,0,0,2,15,29.0,10,2,0
1678,0,1,2,30,38.0,10,2,0
150,0,1,3,30,18.0,0,2,0
1576,0,1,2,60,33.0,17,2,0
1478,1,0,3,5,37.0,0,1,0
1132,1,0,2,5,10.0,13,2,0
1212,0,0,2,60,16.0,18,3,0
1898,0,1,2,10,21.0,25,3,0
1785,1,1,3,30,,0,2,0
1678,0,0,3,50,39.0,0,2,2
677,0,1,2,45,19.0,16,3,0
1297,0,1,2,20,11.0,28,2,0
2016,0,0,2,10,19.0,32,2,0
1678,0,1,2,50,35.0,15,2,0
410,0,0,3,35,33.0,0,2,0
1132,0,1,2,15,16.0,22,2,0
577,0,1,2,10,10.0,15,3,0
1575,0,1,3,30,48.0,0,2,1
2015,0,0,2,40,20.0,32,1,1
2138,0,0,3,30,48.0,0,1,1
851,0,1,3,70,38.0,0,2,0
3337,0,1,2,20,36.0,20,2,0
1385,0,0,2,30,34.0,2,2,0
1785,0,0,1,0,0.0,0,3,2
531,0,0,3,60,22.0,0,2,0
1786,0,0,2,20,20.0,30,3,0
984,0,1,2,60,42.0,2,3,1
731,0,0,2,60,35.0,7,3,0
2016,0,1,2,20,20.0,32,3,0
1297,0,1,2,20,16.0,27,2,0
677,1,0,3,60,33.0,0,2,0
375,0,0,2,40,24.0,8,2,0
1056,1,0,2,10,20.0,4,2,0
1898,1,0,2,25,50.0,7,2,0
2267,0,0,2,30,50.0,2,2,1
1385,0,1,2,60,27.0,15,2,1
1478,0,1,2,30,26.0,5,3,0
577,1,0,3,20,13.0,0,1,0
1576,0,0,3,5,48.0,0,2,0
531,0,0,2,25,18.0,17,2,0
851,0,1,2,55,28.0,12,2,0
283,0,1,2,25,18.0,6,1,0
577,1,0,2,5,15.0,16,1,0
2267,0,1,3,10,46.0,0,2,1
2139,0,0,2,80,38.0,13,1,0
984,0,1,3,30,41.0,0,2,2
1296,0,0,2,15,22.0,20,3,0
2267,0,0,2,30,,20,1,1
984,0,1,2,80,36.0,4,3,0
312,1,0,2,20,15.0,0,2,0
1575,0,1,2,10,25.0,23,2,1
375,0,1,2,40,19.0,5,2,0
411,0,1,2,10,22.0,7,1,0
1576,0,0,2,45,27.0,23,2,0
2542,0,1,3,40,59.0,0,3,0
1785,0,0,2,60,23.0,25,3,0
915,0,0,2,25,27.0,12,1,0
851,0,1,3,60,27.0,0,1,0
677,1,0,3,20,11.0,0,1,0
851,1,0,2,10,15.0,12,2,0
1678,0,0,2,40,26.0,22,2,0
1056,0,0,2,60,34.0,12,2,0
1678,1,0,2,30,49.0,1,1,0
577,1,0,2,40,18.0,14,2,0
3515,0,1,2,20,42.0,7,2,1
2840,1,0,3,5,30.0,0,3,0
731,1,0,3,20,,0,3,0
677,1,0,3,50,28.0,0,1,0
448,0,1,2,5,22.0,6,2,0
2541,0,1,2,30,43.0,18,3,0
1212,0,0,2,50,38.0,4,2,0
677,1,1,3,25,35.0,0,1,1
1898,1,0,3,10,49.0,0,2,0
1575,0,0,3,20,40.0,0,1,2
448,0,1,2,50,21.0,15,2,0
1898,0,0,3,5,,0,1,0
488,0,0,3,20,32.0,0,2,1
851,0,1,2,80,,12,2,0
984,1,0,3,20,31.0,0,3,1
283,0,1,3,35,22.0,0,3,0
850,1,1,3,20,38.0,0,3,2
488,0,0,3,40,38.0,0,2,0
626,1,1,3,45,37.0,0,2,0
1297,0,0,2,20,42.0,3,2,0
1212,0,0,3,40,,0,3,1
1478,0,1,2,40,,32,2,0
2688,0,0,2,20,,2,3,0
1576,0,1,2,30,26.0,15,2,0
209,0,1,3,20,30.0,0,3,0
489,1,0,2,40,22.0,10,1,0
2542,0,1,3,20,37.0,0,2,0
4096,0,0,2,40,58.0,6,2,2
531,0,0,2,30,12.0,15,2,0
2139,1,0,2,40,52.0,2,2,0
1132,0,1,2,10,12.0,24,2,0
677,0,0,3,20,34.0,0,1,1
410,1,1,3,25,10.0,0,1,0
4096,0,1,2,20,49.0,15,1,0
2016,0,0,2,10,,20,1,1
1297,1,0,1,0,0.0,0,2,1
2138,0,0,2,20,,20,1,0
2999,0,0,2,20,53.0,4,1,0
3702,0,0,3,10,57.0,0,2,0
790,0,0,2,35,39.0,0,1,0
677,0,1,2,25,10.0,6,3,0
2267,1,1,3,25,40.0,0,2,0
311,1,0,2,30,15.0,9,1,0
1478,0,0,2,30,33.0,4,2,0
732,0,0,2,20,22.0,4,2,0
2542,0,1,2,20,37.0,9,2,0
3336,0,1,2,10,,18,2,1
732,1,0,2,60,23.0,4,3,0
1385,0,0,2,60,37.0,10,2,0
1212,0,1,2,40,33.0,1,1,0
1056,1,0,2,20,24.0,10,1,0
1575,0,1,2,10,23.0,18,2,1
789,0,1,2,50,29.0,6,1,0
1898,1,1,3,20,14.0,0,2,0
790,0,1,3,20,35.0,0,3,1
488,0,1,3,10,,0,1,1
2016,1,0,2,20,12.0,37,2,0
2138,0,0,2,20,24.0,26,1,1
851,0,0,1,0,0.0,0,2,1
850,0,1,2,25,34.0,6,3,0
1132,0,1,2,40,27.0,14,3,0
2139,0,1,2,60,41.0,16,3,0
1132,0,0,3,35,46.0,0,1,0
2401,0,1,2,30,27.0,25,2,0
577,0,1,3,80,37.0,0,2,0
488,1,1,3,15,27.0,0,1,0
1898,0,1,2,40,37.0,11,1,0
1678,1,0,2,20,15.0,14,2,0
1296,0,0,2,20,20.0,21,2,0
1296,0,1,3,10,44.0,0,2,0
1478,1,0,2,10,28.0,14,1,0
2840,0,0,2,20,27.0,26,1,0
209,1,0,2,40,16.0,5,3,0
677,1,0,2,15,33.0,5,1,0
1786,0,1,2,40,30.0,17,2,0
1785,0,0,2,25,23.0,20,2,0
448,0,1,2,40,12.0,16,2,0
2999,0,1,2,60,27.0,26,2,1
448,1,1,3,5,27.0,0,1,0
2402,1,0,2,10,51.0,5,1,0
448,0,1,2,40,22.0,10,1,0
488,0,0,2,30,22.0,12,1,0
256,1,1,3,40,22.0,0,3,0
1786,0,1,2,20,22.0,21,2,0
410,1,0,2,20,19.0,10,2,0
731,0,0,3,20,23.0,0,2,0
851,0,0,2,30,24.0,16,3,0
1898,1,0,2,20,38.0,12,2,0
1297,0,0,2,10,21.0,21,2,0
2139,1,0,2,20,26.0,25,3,0
1296,0,1,2,20,19.0,25,2,0
1056,0,1,2,20,25.0,14,1,0
312,0,0,3,20,14.0,0,3,0
2267,0,1,2,40,34.0,15,3,0
2401,1,0,3,5,47.0,0,1,1
283,1,1,3,35,23.0,0,3,0
375,0,1,3,40,16.0,0,2,0
531,0,1,3,20,32.0,0,3,1
488,0,1,3,5,39.0,0,2,0
1385,0,1,2,20,14.0,31,2,1
448,0,1,3,5,20.0,0,1,0
2267,0,0,3,30,49.0,0,3,1
916,0,1,3,15,19.0,0,3,0
1576,0,1,2,20,10.0,13,1,0
789,0,0,3,50,44.0,0,2,0
3516,0,1,2,10,,27,1,0
3895,1,1,3,20,,0,3,0
410,1,0,3,25,20.0,0,1,0
2267,0,1,1,0,0.0,0,2,1
1212,0,1,2,25,30.0,11,2,1
448,0,0,2,40,,4,2,0
1575,0,0,2,40,,9,2,0
677,1,0,2,10,,21,2,1
625,0,1,2,60,15.0,8,2,0
1296,0,1,2,35,21.0,23,2,0
1576,0,1,2,20,14.0,30,3,0
577,1,1,3,60,24.0,0,2,1
1056,0,0,2,20,32.0,10,1,0
411,0,0,2,40,23.0,1,3,0
916,0,1,2,10,,18,3,0
1478,0,1,2,45,35.0,12,3,1
531,1,0,3,40,27.0,0,3,0
2401,1,0,3,30,,0,1,1
626,0,1,2,15,11.0,20,2,0
375,1,1,3,20,32.0,0,2,0
1132,0,0,2,30,29.0,14,3,0
1056,0,1,2,80,20.0,21,2,0
1898,0,1,2,60,33.0,11,3,0
3336,0,0,2,60,30.0,29,2,0
1576,0,1,2,20,46.0,1,2,0
915,0,1,2,30,39.0,4,2,0
577,0,1,2,40,,9,2,0
2016,1,0,2,50,36.0,17,2,0
851,1,0,3,30,,0,1,2
1898,1,0,2,10,36.0,13,3,0
1478,1,1,3,40,39.0,0,1,0
2402,1,1,3,5,47.0,0,2,0
1056,0,0,2,5,29.0,12,2,0
1056,0,1,2,10,,4,2,0
1056,0,0,2,40,23.0,15,3,0
2542,1,0,3,15,40.0,0,2,0
915,1,0,2,40,36.0,6,2,0
4096,0,0,2,20,18.0,25,2,1
1678,0,0,2,25,,17,2,0
2541,0,0,2,50,40.0,14,1,1
625,0,1,2,25,30.0,7,2,0
1385,0,1,2,60,34.0,9,1,0
851,1,0,2,20,34.0,2,2,0
448,0,0,2,80,28.0,5,1,0
375,1,0,2,10,17.0,8,3,0
448,1,0,2,15,23.0,10,2,0
2840,1,1,3,25,50.0,0,2,2
1576,1,0,2,5,,31,3,0
531,1,0,3,40,33.0,0,2,0
411,0,1,2,25,24.0,1,1,0
2267,0,1,2,60,44.0,3,2,0
626,1,0,3,20,33.0,0,1,1
1132,0,0,3,70,48.0,0,2,0
1898,0,1,2,10,14.0,30,2,0
448,0,1,2,30,18.0,6,2,0
851,0,1,3,40,37.0,0,2,2
1212,0,0,2,60,,6,2,0
1132,1,0,2,50,37.0,0,2,0
283,1,1,3,5,12.0,0,2,0
625,0,1,2,20,19.0,2,3,0
915,0,0,2,20,10.0,25,2,0
1785,0,0,2,30,25.0,20,1,0
732,0,0,2,15,23.0,15,2,0
2401,0,1,1,0,,0,1,1
1478,0,0,2,40,33.0,8,1,0
375,0,1,3,35,28.0,0,2,2
448,1,0,2,10,20.0,6,1,0
1785,0,1,2,20,36.0,12,2,0
3165,0,1,2,15,46.0,13,3,1
488,0,0,2,20,16.0,16,2,0
1385,0,0,2,20,19.0,23,2,0
1385,1,0,2,10,39.0,4,2,0
1786,0,0,2,40,40.0,9,2,0
2688,1,0,2,5,13.0,28,2,0
410,0,0,2,45,,2,1,0
2138,0,0,2,80,28.0,10,1,0
1132,1,0,3,40,38.0,0,2,2
2138,0,0,2,20,31.0,18,2,0
1576,0,1,2,20,35.0,3,2,0
2840,0,1,2,15,53.0,6,1,1
984,0,0,2,20,27.0,12,2,0
851,1,1,3,30,18.0,0,2,0
2688,1,1,3,20,26.0,0,2,0
1132,0,1,2,5,12.0,28,2,0
283,1,1,3,20,21.0,0,1,0
312,0,0,3,50,19.0,0,1,0
625,1,0,3,10,5.0,0,1,0
851,0,0,2,20,15.0,10,2,0
3164,1,1,3,20,60.0,0,2,0
2267,1,0,2,20,44.0,7,1,0
851,0,0,2,5,31.0,7,2,1
1385,0,0,3,10,33.0,0,2,0
1212,0,0,3,20,,0,2,0
2015,1,1,3,10,,0,1,0
577,0,0,2,40,20.0,8,2,0
1212,1,0,2,15,36.0,7,3,0
1212,1,0,2,20,,3,2,0
1576,0,0,3,30,31.0,0,2,0
2542,0,0,2,20,47.0,13,2,0
1212,0,0,2,20,31.0,10,2,0
231,1,0,2,10,15.0,9,1,0
410,1,0,2,25,16.0,6,1,0
3516,0,0,3,20,40.0,0,2,0
2267,0,1,1,0,0.0,0,3,2
1898,0,0,2,40,15.0,31,2,0
1132,0,0,2,15,30.0,3,2,0
2138,0,1,2,15,42.0,15,1,0
1678,1,0,3,40,48.0,0,1,1
489,0,0,2,50,25.0,2,2,0
1385,0,1,2,25,25.0,16,2,0
1132,0,1,2,40,35.0,1,2,0
3702,0,1,2,10,47.0,10,1,0
1056,0,1,2,15,21.0,9,2,0
2016,0,1,2,50,36.0,18,1,1
1898,0,1,2,40,33.0,14,3,0
411,1,0,2,25,25.0,9,1,0
3164,0,1,3,20,60.0,0,2,1
984,0,0,2,20,23.0,12,2,0
851,0,1,2,35,20.0,19,3,0
488,0,0,2,20,9.0,17,2,1
1785,0,1,2,30,20.0,24,1,0
2688,0,1,2,25,40.0,14,2,0
577,0,0,2,10,23.0,10,2,0
1575,1,0,2,30,24.0,23,2,0
2840,0,0,2,20,22.0,30,1,0
1898,0,0,2,20,41.0,6,3,0
1212,1,0,3,15,42.0,0,1,0
677,0,0,3,55,,0,2,0
1478,0,0,2,20,13.0,28,2,0
2267,0,1,2,30,51.0,0,3,0
916,1,0,2,5,14.0,3,2,0
531,0,0,3,20,33.0,0,2,0
625,1,0,3,30,32.0,0,2,1
732,0,1,2,70,,1,2,0
1898,0,1,2,20,17.0,29,3,0
1212,0,0,2,20,,19,3,0
1678,1,0,2,10,30.0,4,3,0
915,0,0,2,40,28.0,10,3,0
1296,0,1,2,20,22.0,20,2,1
1212,0,0,2,20,29.0,8,3,0
488,0,1,2,35,25.0,10,3,0
984,0,0,3,40,28.0,0,3,0
915,0,0,2,10,36.0,1,1,0
915,1,1,3,10,15.0,0,2,0
448,0,1,3,25,14.0,0,3,0
1786,0,0,2,30,30.0,19,2,0
2139,0,0,2,20,34.0,12,3,0
312,0,0,2,20,,5,3,0
1132,1,0,2,20,14.0,27,2,0
626,1,1,3,20,30.0,0,1,0
1212,1,1,3,35,44.0,0,1,0
984,0,1,3,15,44.0,0,1,0
1678,1,0,2,20,30.0,14,2,0
1296,0,1,2,10,16.0,27,2,0
1785,0,0,2,10,15.0,32,3,0
915,0,1,2,30,,2,1,0
2687,1,0,3,25,37.0,0,2,0
2541,1,0,2,10,35.0,6,2,0
1212,0,1,2,60,,20,2,1
2139,0,1,2,15,18.0,28,2,0
1678,0,1,2,20,,6,2,0
984,0,1,2,90,20.0,20,1,0
1296,1,0,2,10,32.0,6,1,0
411,1,0,2,20,25.0,8,2,0
625,0,1,2,60,11.0,16,1,0
2542,0,0,2,40,40.0,10,2,0
256,0,0,2,50,25.0,0,2,0
531,1,0,2,15,28.0,2,2,0
1898,1,1,3,25,40.0,0,1,0
2541,0,0,2,20,38.0,11,3,0
1297,0,1,1,0,0.0,0,1,1
1296,0,0,2,40,20.0,21,2,0
790,1,0,3,25,14.0,0,3,0
1785,1,0,3,40,40.0,0,1,0
1212,1,0,1,0,,0,3,0
790,1,0,3,30,44.0,0,2,0
1576,1,0,2,10,26.0,23,1,0
790,0,1,2,40,43.0,0,1,0
1385,0,1,2,10,20.0,20,1,0
3516,0,1,2,5,19.0,37,1,1
984,0,0,3,20,35.0,0,2,1
2267,0,0,3,20,29.0,0,2,0
1678,0,1,2,15,5.0,19,2,0
2139,0,0,2,60,55.0,5,2,1
2138,1,1,3,5,32.0,0,3,0
311,1,0,3,40,16.0,0,1,0
1678,1,0,2,30,32.0,14,2,0
531,1,0,3,20,20.0,0,2,0
448,0,0,2,45,26.0,6,2,0
577,1,0,2,55,15.0,17,2,0
851,0,1,3,30,41.0,0,1,0
488,0,1,2,10,15.0,12,1,0
1297,1,1,3,30,,0,2,0
626,0,1,2,40,13.0,12,2,0
2139,0,1,2,5,10.0,25,1,0
851,0,1,2,20,20.0,16,2,0
2542,1,0,2,20,48.0,6,2,0
1785,0,0,2,20,10.0,34,2,0
2840,1,1,3,5,56.0,0,2,0
489,1,0,2,40,34.0,0,2,0
2016,1,0,2,20,49.0,0,2,0
2542,0,1,2,20,23.0,19,1,0
2016,0,1,2,20,21.0,28,2,0
915,0,1,2,30,38.0,5,2,0
577,0,1,3,20,35.0,0,3,1
851,0,1,2,65,34.0,4,2,0
1678,1,0,2,15,30.0,1,2,0
1786,0,0,2,5,13.0,35,2,0
1296,1,1,3,5,39.0,0,1,0
1785,0,0,2,5,27.0,18,2,0
448,0,0,2,15,15.0,16,2,0
2401,0,1,2,20,29.0,22,2,0
448,1,0,3,40,31.0,0,2,0
2267,1,0,3,30,,0,3,0
1385,1,0,2,10,9.0,26,1,0
188,0,0,3,50,,0,1,0
984,1,1,3,20,39.0,0,2,2
410,1,1,3,60,25.0,0,2,0
1898,1,1,3,25,45.0,0,1,0
851,0,1,2,50,30.0,6,1,0
851,0,1,2,25,22.0,14,3,0
488,0,1,2,35,18.0,11,1,0
1786,1,0,2,10,36.0,10,2,0
342,1,0,2,10,,1,1,0
916,1,0,3,20,27.0,0,2,1
1478,1,1,3,35,45.0,0,3,0
375,0,1,2,5,5.0,14,3,0
283,0,0,2,25,12.0,1,1,0
2138,0,0,2,40,36.0,16,2,0
375,1,1,3,15,25.0,0,2,0
1132,0,1,2,35,25.0,13,2,0
2016,0,0,2,40,38.0,12,3,0
1132,1,0,2,15,21.0,19,2,0
2541,0,0,2,10,,35,2,0
1132,0,1,2,30,15.0,13,2,0
1056,0,1,2,60,20.0,20,3,0
851,0,1,2,40,24.0,14,3,0
984,0,1,2,40,31.0,3,2,1
677,0,0,2,20,25.0,0,1,0
789,0,1,3,25,25.0,0,1,0
1478,1,0,2,40,40.0,4,1,0
488,0,0,3,10,31.0,0,1,2
577,0,1,2,30,27.0,2,2,0
3336,0,1,3,20,57.0,0,1,1
1056,0,1,2,60,30.0,11,1,0
411,0,1,3,45,28.0,0,1,1
677,1,1,3,30,25.0,0,3,0
3164,1,0,3,10,40.0,0,2,1
789,0,0,2,20,20.0,8,3,1
1678,0,1,2,15,20.0,32,3,0
2016,0,0,2,30,44.0,4,1,0
1898,0,0,3,20,48.0,0,2,0
488,0,0,2,10,15.0,9,2,0
577,0,1,2,30,22.0,0,2,0
2401,1,0,3,30,54.0,0,2,1
1898,0,0,2,20,46.0,11,1,0
3164,0,0,2,20,58.0,2,3,0
2542,0,0,3,40,60.0,0,2,0
3164,0,1,2,30,43.0,12,3,0
1898,0,0,2,10,26.0,20,2,0
2840,0,1,2,25,45.0,10,3,0
915,0,1,2,50,21.0,16,1,0
1297,0,1,2,20,30.0,2,2,0
2840,0,1,3,40,56.0,0,3,1
851,0,1,2,15,19.0,20,2,0
1385,0,1,2,50,46.0,1,3,0
732,0,1,2,25,33.0,0,2,0
1212,0,0,2,30,,5,1,0
626,0,1,2,20,14.0,13,1,0
1212,0,1,3,60,33.0,0,1,0
732,0,1,3,35,41.0,0,2,0
2139,0,1,2,10,,28,3,0
209,1,1,3,30,19.0,0,2,0
626,0,0,2,60,,10,2,0
2999,1,0,3,20,50.0,0,2,1
984,0,1,2,40,35.0,5,2,0
789,0,0,2,20,25.0,10,2,0
851,0,1,2,5,40.0,4,2,0
2402,0,0,2,40,21.0,34,2,1
789,1,0,2,20,13.0,15,2,0
2688,1,0,3,20,41.0,0,1,0
2015,0,0,3,40,49.0,0,2,2
1785,0,0,2,15,14.0,35,2,1
1056,0,0,2,40,38.0,4,2,0
531,0,0,2,20,,8,2,2
1478,0,0,2,20,,8,2,0
626,0,0,2,20,16.0,6,3,0
1297,1,1,3,20,18.0,0,1,0
1132,0,0,3,35,42.0,0,3,0
677,0,1,2,20,8.0,5,2,0
