,Identificador_Agricultor,Estimativa_de_Insetos,Tipo_de_Cultivo,Tipo_de_Solo,Categoria_Pesticida,Doses_Semana,Semanas_Utilizando,Semanas_Sem_Uso,Temporada
80050,SCROP80051,448,0,1,2,20,26.0,2,1
80051,SCROP80052,448,0,1,2,20,28.0,2,2
80052,SCROP80053,448,0,1,2,20,28.0,3,2
80053,SCROP80054,448,0,1,2,20,31.0,2,1
80054,SCROP80055,448,0,1,2,25,13.0,14,1
80055,SCROP80056,448,0,1,2,25,15.0,6,2
80056,SCROP80057,448,0,1,2,30,25.0,0,2
80057,SCROP80058,448,0,1,2,30,,2,3
80058,SCROP80059,448,0,1,2,30,25.0,7,2
80059,SCROP80060,448,0,1,2,40,16.0,13,1
80060,SCROP80061,448,0,1,2,40,18.0,8,1
80061,SCROP80062,448,0,1,2,40,30.0,1,1
80062,SCROP80063,448,0,1,2,40,36.0,2,1
80063,SCROP80064,488,0,1,2,5,20.0,12,2
80064,SCROP80065,488,0,1,2,5,10.0,16,2
80065,SCROP80066,488,0,1,2,5,16.0,16,1
80066,SCROP80067,488,0,1,2,5,17.0,14,1
80067,SCROP80068,488,0,1,2,5,23.0,6,2
80068,SCROP80069,488,0,1,2,15,5.0,17,1
80069,SCROP80070,488,0,1,2,15,20.0,11,2
80070,SCROP80071,488,0,1,2,20,15.0,2,1
80071,SCROP80072,488,0,1,2,20,23.0,3,2
80072,SCROP80073,488,0,1,2,20,23.0,4,3
80073,SCROP80074,488,0,1,2,20,30.0,0,3
80074,SCROP80075,488,0,1,2,25,13.0,15,2
80075,SCROP80076,488,0,1,2,25,15.0,14,2
80076,SCROP80077,488,0,1,2,25,25.0,5,2
80077,SCROP80078,489,0,1,2,30,15.0,14,1
80078,SCROP80079,488,0,1,2,30,22.0,3,1
80079,SCROP80080,488,0,1,2,30,23.0,5,2
80080,SCROP80081,488,0,1,2,30,24.0,3,2
80081,SCROP80082,488,0,1,2,30,26.0,4,1
80082,SCROP80083,488,0,1,2,35,27.0,0,2
80083,SCROP80084,488,0,1,2,40,19.0,8,3
80084,SCROP80085,488,0,1,2,40,22.0,2,2
80085,SCROP80086,488,0,1,2,40,22.0,3,1
80086,SCROP80087,489,0,1,2,45,19.0,11,3
80087,SCROP80088,488,0,1,2,50,12.0,14,2
80088,SCROP80089,488,0,1,2,50,18.0,14,2
80089,SCROP80090,488,0,1,2,50,21.0,8,3
80090,SCROP80091,488,0,1,2,50,30.0,2,3
80091,SCROP80092,488,0,1,2,80,19.0,10,1
80092,SCROP80093,531,0,1,2,10,11.0,16,2
80093,SCROP80094,531,0,1,2,10,22.0,8,3
80094,SCROP80095,531,0,1,2,10,23.0,8,2
80095,SCROP80096,531,0,1,2,20,13.0,17,1
80096,SCROP80097,531,0,1,2,20,17.0,12,1
80097,SCROP80098,531,0,1,2,20,17.0,16,2
80098,SCROP80099,531,0,1,2,20,,8,2
80099,SCROP80100,531,0,1,2,20,,6,1
80100,SCROP80101,531,0,1,2,20,21.0,1,2
80101,SCROP80102,531,0,1,2,25,11.0,14,1
80102,SCROP80103,531,0,1,2,25,22.0,8,3
80103,SCROP80104,531,0,1,2,30,16.0,10,3
80104,SCROP80105,531,0,1,2,30,23.0,12,2
80105,SCROP80106,531,0,1,2,35,22.0,3,3
80106,SCROP80107,531,0,1,2,35,25.0,7,3
80107,SCROP80108,531,0,1,2,40,14.0,15,2
80108,SCROP80109,531,0,1,2,40,23.0,6,2
80109,SCROP80110,531,0,1,2,40,,3,2
80110,SCROP80111,577,0,1,2,45,16.0,9,1
80111,SCROP80112,577,0,1,2,5,14.0,0,2
80112,SCROP80113,577,0,1,2,5,25.0,10,3
80113,SCROP80114,577,0,1,2,5,29.0,2,2
80114,SCROP80115,577,0,1,2,10,23.0,8,2
80115,SCROP80116,577,0,1,2,15,20.0,11,1
80116,SCROP80117,577,0,1,2,15,25.0,4,2
80117,SCROP80118,577,0,1,2,20,11.0,14,2
80118,SCROP80119,577,0,1,2,20,13.0,15,2
80119,SCROP80120,577,0,1,2,20,20.0,4,1
80120,SCROP80121,577,0,1,2,25,30.0,7,1
80121,SCROP80122,577,0,1,2,25,,0,2
80122,SCROP80123,577,0,1,2,30,10.0,18,3
80123,SCROP80124,577,0,1,2,30,20.0,9,2
80124,SCROP80125,577,0,1,2,30,25.0,11,2
80125,SCROP80126,577,0,1,2,30,26.0,0,2
80126,SCROP80127,577,0,1,2,40,17.0,15,1
80127,SCROP80128,577,0,1,2,50,28.0,5,3
80128,SCROP80129,577,0,1,2,60,25.0,4,2
80129,SCROP80130,577,0,1,2,20,12.0,15,2
80130,SCROP80131,626,0,1,2,10,6.0,19,3
80131,SCROP80132,625,0,1,2,10,,2,1
80132,SCROP80133,625,0,1,2,15,15.0,20,2
80133,SCROP80134,626,0,1,2,15,22.0,8,3
80134,SCROP80135,626,0,1,2,20,9.0,18,2
80135,SCROP80136,625,0,1,2,20,16.0,16,2
80136,SCROP80137,625,0,1,2,20,21.0,1,1
80137,SCROP80138,626,0,1,2,20,24.0,14,3
80138,SCROP80139,626,0,1,2,20,27.0,14,2
80139,SCROP80140,625,0,1,2,20,30.0,3,1
80140,SCROP80141,625,0,1,2,25,14.0,20,1
80141,SCROP80142,625,0,1,2,25,28.0,8,2
80142,SCROP80143,625,0,1,2,25,30.0,0,2
80143,SCROP80144,626,0,1,2,30,,5,2
80144,SCROP80145,625,0,1,2,30,30.0,10,3
80145,SCROP80146,625,0,1,2,30,31.0,0,2
80146,SCROP80147,625,0,1,2,35,,5,2
80147,SCROP80148,625,0,1,2,40,12.0,18,1
80148,SCROP80149,625,0,1,2,40,18.0,6,2
80149,SCROP80150,626,0,1,2,40,21.0,2,3
80150,SCROP80151,625,0,1,2,40,22.0,8,1
80151,SCROP80152,625,0,1,2,40,25.0,0,2
80152,SCROP80153,626,0,1,2,50,17.0,20,2
80153,SCROP80154,625,0,1,2,50,24.0,5,2
80154,SCROP80155,625,0,1,2,60,25.0,0,2
80155,SCROP80156,677,0,1,2,5,6.0,19,2
80156,SCROP80157,677,0,1,2,5,21.0,14,2
80157,SCROP80158,677,0,1,2,10,15.0,12,2
80158,SCROP80159,677,0,1,2,15,11.0,19,1
80159,SCROP80160,677,0,1,2,15,18.0,12,3
80160,SCROP80161,677,0,1,2,15,36.0,0,3
80161,SCROP80162,677,0,1,2,20,,18,2
80162,SCROP80163,677,0,1,2,20,22.0,8,1
80163,SCROP80164,677,0,1,2,20,35.0,2,1
80164,SCROP80165,677,0,1,2,25,17.0,1,1
80165,SCROP80166,677,0,1,2,25,20.0,10,1
80166,SCROP80167,677,0,1,2,30,10.0,6,2
80167,SCROP80168,677,0,1,2,30,14.0,18,1
80168,SCROP80169,677,0,1,2,30,35.0,0,2
80169,SCROP80170,677,0,1,2,40,11.0,20,3
80170,SCROP80171,677,0,1,2,40,,9,1
80171,SCROP80172,677,0,1,2,50,21.0,2,2
80172,SCROP80173,677,0,1,2,50,21.0,9,3
80173,SCROP80174,677,0,1,2,60,22.0,10,2
80174,SCROP80175,677,0,1,2,60,31.0,5,2
80175,SCROP80176,732,0,1,2,25,19.0,12,1
80176,SCROP80177,731,0,1,2,5,12.0,15,1
80177,SCROP80178,732,0,1,2,10,19.0,12,2
80178,SCROP80179,732,0,1,2,15,8.0,20,3
80179,SCROP80180,732,0,1,2,15,20.0,18,1
80180,SCROP80181,732,0,1,2,15,28.0,6,1
80181,SCROP80182,731,0,1,2,20,7.0,17,1
80182,SCROP80183,732,0,1,2,20,15.0,6,1
80183,SCROP80184,732,0,1,2,20,17.0,15,1
80184,SCROP80185,732,0,1,2,20,19.0,10,2
80185,SCROP80186,731,0,1,2,20,22.0,7,2
80186,SCROP80187,731,0,1,2,20,25.0,7,1
80187,SCROP80188,732,0,1,2,20,26.0,10,1
80188,SCROP80189,731,0,1,2,20,30.0,10,2
80189,SCROP80190,732,0,1,2,20,31.0,13,3
80190,SCROP80191,732,0,1,2,20,,2,2
80191,SCROP80192,732,0,1,2,35,17.0,21,2
80192,SCROP80193,732,0,1,2,40,21.0,14,3
80193,SCROP80194,732,0,1,2,40,22.0,14,2
80194,SCROP80195,731,0,1,2,40,23.0,7,2
80195,SCROP80196,731,0,1,2,40,29.0,0,1
80196,SCROP80197,731,0,1,2,40,30.0,0,2
80197,SCROP80198,732,0,1,2,40,32.0,7,2
80198,SCROP80199,731,0,1,2,50,23.0,10,1
80199,SCROP80200,731,0,1,2,50,23.0,13,2
80200,SCROP80201,731,0,1,2,50,24.0,13,2
80201,SCROP80202,731,0,1,2,60,28.0,7,3
80202,SCROP80203,732,0,1,2,65,,4,2
80203,SCROP80204,789,0,1,2,10,7.0,23,1
80204,SCROP80205,790,0,1,2,10,8.0,21,1
80205,SCROP80206,789,0,1,2,10,19.0,18,1
80206,SCROP80207,790,0,1,2,10,26.0,13,1
80207,SCROP80208,789,0,1,2,15,16.0,16,2
80208,SCROP80209,789,0,1,2,15,17.0,20,2
80209,SCROP80210,790,0,1,2,15,23.0,12,1
80210,SCROP80211,789,0,1,2,20,8.0,23,2
80211,SCROP80212,789,0,1,2,20,20.0,15,2
80212,SCROP80213,789,0,1,2,25,24.0,14,2
80213,SCROP80214,789,0,1,2,30,,2,2
80214,SCROP80215,790,0,1,2,30,16.0,23,1
80215,SCROP80216,789,0,1,2,30,28.0,9,2
80216,SCROP80217,789,0,1,2,30,30.0,10,1
80217,SCROP80218,790,0,1,2,30,32.0,5,2
80218,SCROP80219,790,0,1,2,35,26.0,13,2
80219,SCROP80220,790,0,1,2,40,33.0,5,2
80220,SCROP80221,790,0,1,2,55,30.0,6,3
80221,SCROP80222,790,0,1,2,60,23.0,10,2
80222,SCROP80223,790,0,1,2,70,39.0,0,2
80223,SCROP80224,851,0,1,2,10,,23,1
80224,SCROP80225,851,0,1,2,10,11.0,22,2
80225,SCROP80226,851,0,1,2,10,13.0,22,3
80226,SCROP80227,851,0,1,2,10,,14,1
80227,SCROP80228,851,0,1,2,15,11.0,22,1
80228,SCROP80229,850,0,1,2,15,15.0,18,2
80229,SCROP80230,851,0,1,2,15,18.0,16,1
80230,SCROP80231,851,0,1,2,15,20.0,14,2
80231,SCROP80232,851,0,1,2,15,32.0,1,2
80232,SCROP80233,851,0,1,2,20,15.0,24,1
80233,SCROP80234,851,0,1,2,20,16.0,6,2
80234,SCROP80235,850,0,1,2,20,20.0,13,2
80235,SCROP80236,850,0,1,2,20,21.0,20,1
80236,SCROP80237,850,0,1,2,20,26.0,12,3
80237,SCROP80238,851,0,1,2,20,28.0,14,1
80238,SCROP80239,851,0,1,2,25,,20,1
80239,SCROP80240,851,0,1,2,25,30.0,2,2
80240,SCROP80241,851,0,1,2,25,30.0,10,2
80241,SCROP80242,851,0,1,2,25,33.0,4,2
80242,SCROP80243,851,0,1,2,30,35.0,5,2
80243,SCROP80244,851,0,1,2,35,17.0,19,2
80244,SCROP80245,851,0,1,2,35,25.0,3,2
80245,SCROP80246,851,0,1,2,40,15.0,9,1
80246,SCROP80247,851,0,1,2,40,20.0,21,1
80247,SCROP80248,851,0,1,2,40,,5,2
80248,SCROP80249,850,0,1,2,40,34.0,4,1
80249,SCROP80250,851,0,1,2,50,17.0,21,2
80250,SCROP80251,850,0,1,2,50,19.0,21,1
80251,SCROP80252,850,0,1,2,50,31.0,3,2
80252,SCROP80253,851,0,1,2,60,14.0,19,2
80253,SCROP80254,851,0,1,2,60,15.0,20,2
80254,SCROP80255,851,0,1,2,60,,4,3
80255,SCROP80256,850,0,1,2,60,27.0,6,1
80256,SCROP80257,916,0,1,2,10,11.0,17,1
80257,SCROP80258,916,0,1,2,10,13.0,22,2
80258,SCROP80259,916,0,1,2,10,20.0,5,3
80259,SCROP80260,915,0,1,2,20,,17,2
80260,SCROP80261,915,0,1,2,20,17.0,16,2
80261,SCROP80262,915,0,1,2,20,22.0,1,3
80262,SCROP80263,916,0,1,2,25,33.0,11,1
80263,SCROP80264,915,0,1,2,30,10.0,20,2
80264,SCROP80265,915,0,1,2,35,16.0,20,2
80265,SCROP80266,915,0,1,2,40,,18,2
80266,SCROP80267,915,0,1,2,40,30.0,9,2
80267,SCROP80268,915,0,1,2,40,31.0,12,2
80268,SCROP80269,915,0,1,2,40,34.0,8,2
80269,SCROP80270,915,0,1,2,40,35.0,10,3
80270,SCROP80271,915,0,1,2,50,20.0,6,2
80271,SCROP80272,916,0,1,2,50,27.0,15,3
80272,SCROP80273,915,0,1,2,60,13.0,20,3
80273,SCROP80274,915,0,1,2,60,22.0,16,2
80274,SCROP80275,915,0,1,2,60,26.0,16,2
80275,SCROP80276,915,0,1,2,60,35.0,0,3
80276,SCROP80277,915,0,1,2,60,35.0,5,3
80277,SCROP80278,915,0,1,2,65,38.0,1,2
80278,SCROP80279,915,0,1,2,75,,5,2
80279,SCROP80280,915,0,1,2,80,25.0,14,2
80280,SCROP80281,915,0,1,2,30,26.0,12,3
80281,SCROP80282,915,0,1,2,40,35.0,5,1
80282,SCROP80283,984,0,1,2,30,23.0,11,2
80283,SCROP80284,984,0,1,2,60,20.0,17,2
80284,SCROP80285,984,0,1,2,5,17.0,20,3
80285,SCROP80286,984,0,1,2,5,17.0,21,2
80286,SCROP80287,984,0,1,2,10,19.0,17,1
80287,SCROP80288,984,0,1,2,10,26.0,13,1
80288,SCROP80289,984,0,1,2,15,15.0,21,1
80289,SCROP80290,984,0,1,2,15,17.0,21,2
80290,SCROP80291,984,0,1,2,20,13.0,24,2
80291,SCROP80292,984,0,1,2,20,15.0,25,2
80292,SCROP80293,984,0,1,2,20,20.0,11,2
80293,SCROP80294,984,0,1,2,20,,4,2
80294,SCROP80295,984,0,1,2,25,17.0,20,3
80295,SCROP80296,984,0,1,2,25,26.0,16,2
80296,SCROP80297,984,0,1,2,30,12.0,12,1
80297,SCROP80298,984,0,1,2,30,18.0,21,2
80298,SCROP80299,984,0,1,2,30,19.0,14,3
80299,SCROP80300,984,0,1,2,30,,10,2
80300,SCROP80301,984,0,1,2,30,32.0,2,3
80301,SCROP80302,984,0,1,2,30,39.0,0,3
80302,SCROP80303,984,0,1,2,30,40.0,1,1
80303,SCROP80304,984,0,1,2,40,10.0,26,1
80304,SCROP80305,984,0,1,2,40,15.0,16,1
80305,SCROP80306,984,0,1,2,40,20.0,8,2
80306,SCROP80307,984,0,1,2,40,29.0,10,1
80307,SCROP80308,984,0,1,2,50,29.0,11,2
80308,SCROP80309,984,0,1,2,50,37.0,4,2
80309,SCROP80310,984,0,1,2,55,30.0,12,2
80310,SCROP80311,984,0,1,2,60,5.0,1,2
80311,SCROP80312,984,0,1,2,60,16.0,19,2
80312,SCROP80313,984,0,1,2,60,17.0,18,3
80313,SCROP80314,984,0,1,2,60,24.0,10,1
80314,SCROP80315,984,0,1,2,70,39.0,0,1
80315,SCROP80316,984,0,1,2,40,22.0,16,2
80316,SCROP80317,1056,0,1,2,60,20.0,17,2
80317,SCROP80318,1056,0,1,2,5,13.0,19,1
80318,SCROP80319,1056,0,1,2,5,19.0,17,3
80319,SCROP80320,1056,0,1,2,10,12.0,26,1
80320,SCROP80321,1056,0,1,2,10,24.0,14,1
80321,SCROP80322,1056,0,1,2,10,27.0,12,2
80322,SCROP80323,1056,0,1,2,15,21.0,10,2
80323,SCROP80324,1056,0,1,2,15,32.0,9,2
80324,SCROP80325,1056,0,1,2,15,34.0,11,2
80325,SCROP80326,1056,0,1,2,20,15.0,17,2
80326,SCROP80327,1056,0,1,2,20,20.0,13,1
80327,SCROP80328,1056,0,1,2,20,22.0,16,1
80328,SCROP80329,1056,0,1,2,20,35.0,2,2
80329,SCROP80330,1056,0,1,2,25,20.0,17,2
80330,SCROP80331,1056,0,1,2,30,16.0,18,2
80331,SCROP80332,1056,0,1,2,30,21.0,18,2
80332,SCROP80333,1056,0,1,2,30,26.0,20,1
80333,SCROP80334,1056,0,1,2,30,,15,3
80334,SCROP80335,1056,0,1,2,30,40.0,1,3
80335,SCROP80336,1056,0,1,2,35,43.0,0,2
80336,SCROP80337,1056,0,1,2,40,16.0,22,2
80337,SCROP80338,1056,0,1,2,40,22.0,20,2
80338,SCROP80339,1056,0,1,2,40,,9,1
80339,SCROP80340,1056,0,1,2,40,36.0,7,2
80340,SCROP80341,1056,0,1,2,55,26.0,18,2
80341,SCROP80342,1056,0,1,2,60,22.0,19,3
80342,SCROP80343,1056,0,1,2,60,30.0,5,2
80343,SCROP80344,1056,0,1,2,70,36.0,3,3
80344,SCROP80345,1056,0,1,2,80,,9,1
80345,SCROP80346,1056,0,1,2,30,,17,2
80346,SCROP80347,1132,0,1,2,10,,5,2
80347,SCROP80348,1132,0,1,2,40,,5,3
80348,SCROP80349,1132,0,1,2,5,34.0,8,3
80349,SCROP80350,1132,0,1,2,10,15.0,13,2
80350,SCROP80351,1132,0,1,2,10,,14,2
80351,SCROP80352,1132,0,1,2,10,25.0,7,2
80352,SCROP80353,1132,0,1,2,10,27.0,13,2
80353,SCROP80354,1132,0,1,2,10,36.0,3,2
80354,SCROP80355,1132,0,1,2,15,19.0,19,3
80355,SCROP80356,1132,0,1,2,15,24.0,20,1
80356,SCROP80357,1132,0,1,2,20,6.0,27,2
80357,SCROP80358,1132,0,1,2,20,,18,2
80358,SCROP80359,1132,0,1,2,20,20.0,9,2
80359,SCROP80360,1132,0,1,2,20,27.0,10,2
80360,SCROP80361,1132,0,1,2,20,33.0,2,1
80361,SCROP80362,1132,0,1,2,20,34.0,4,2
80362,SCROP80363,1132,0,1,2,20,43.0,1,1
80363,SCROP80364,1132,0,1,2,25,10.0,19,3
80364,SCROP80365,1132,0,1,2,25,13.0,25,3
80365,SCROP80366,1132,0,1,2,25,13.0,27,1
80366,SCROP80367,1132,0,1,2,25,26.0,11,3
80367,SCROP80368,1132,0,1,2,25,35.0,7,2
80368,SCROP80369,1132,0,1,2,30,41.0,2,2
80369,SCROP80370,1132,0,1,2,40,20.0,21,3
80370,SCROP80371,1132,0,1,2,40,32.0,10,2
80371,SCROP80372,1132,0,1,2,40,43.0,0,2
80372,SCROP80373,1132,0,1,2,40,45.0,1,1
80373,SCROP80374,1132,0,1,2,45,25.0,14,1
80374,SCROP80375,1132,0,1,2,50,30.0,6,2
80375,SCROP80376,1132,0,1,2,50,33.0,2,1
80376,SCROP80377,1132,0,1,2,60,33.0,3,2
80377,SCROP80378,1132,0,1,2,60,,5,1
80378,SCROP80379,1132,0,1,2,60,42.0,2,2
80379,SCROP80380,1132,0,1,2,65,23.0,13,2
80380,SCROP80381,1132,0,1,2,80,45.0,2,2
80381,SCROP80382,1132,0,1,2,20,19.0,19,2
80382,SCROP80383,1132,0,1,2,40,40.0,6,1
80383,SCROP80384,1132,0,1,2,20,24.0,13,2
80384,SCROP80385,1212,0,1,2,5,,22,2
80385,SCROP80386,1212,0,1,2,10,22.0,17,3
80386,SCROP80387,1212,0,1,2,10,27.0,15,2
80387,SCROP80388,1212,0,1,2,15,14.0,23,2
80388,SCROP80389,1212,0,1,2,15,40.0,0,1
80389,SCROP80390,1212,0,1,2,20,,26,1
80390,SCROP80391,1212,0,1,2,20,16.0,25,2
80391,SCROP80392,1212,0,1,2,20,19.0,24,1
80392,SCROP80393,1212,0,1,2,20,26.0,14,3
80393,SCROP80394,1212,0,1,2,20,28.0,14,2
80394,SCROP80395,1212,0,1,2,20,33.0,8,2
80395,SCROP80396,1212,0,1,2,25,11.0,28,3
80396,SCROP80397,1212,0,1,2,25,19.0,18,2
80397,SCROP80398,1212,0,1,2,25,19.0,20,3
80398,SCROP80399,1212,0,1,2,25,36.0,9,2
80399,SCROP80400,1212,0,1,2,25,37.0,1,2
80400,SCROP80401,1212,0,1,2,25,38.0,7,3
80401,SCROP80402,1212,0,1,2,30,13.0,26,3
80402,SCROP80403,1212,0,1,2,30,19.0,19,1
80403,SCROP80404,1212,0,1,2,30,22.0,15,3
80404,SCROP80405,1212,0,1,2,30,22.0,20,2
80405,SCROP80406,1212,0,1,2,30,24.0,9,2
80406,SCROP80407,1212,0,1,2,35,25.0,15,3
80407,SCROP80408,1212,0,1,2,40,10.0,28,2
80408,SCROP80409,1212,0,1,2,40,15.0,24,2
80409,SCROP80410,1212,0,1,2,40,16.0,18,1
80410,SCROP80411,1212,0,1,2,40,19.0,19,2
80411,SCROP80412,1212,0,1,2,40,24.0,19,2
80412,SCROP80413,1212,0,1,2,40,32.0,10,1
80413,SCROP80414,1212,0,1,2,40,33.0,4,3
80414,SCROP80415,1212,0,1,2,40,34.0,14,2
80415,SCROP80416,1212,0,1,2,40,43.0,1,2
80416,SCROP80417,1212,0,1,2,45,39.0,2,1
80417,SCROP80418,1212,0,1,2,60,38.0,5,2
80418,SCROP80419,1212,0,1,2,70,,19,1
80419,SCROP80420,1212,0,1,2,40,27.0,14,1
80420,SCROP80421,1212,0,1,2,30,41.0,2,2
80421,SCROP80422,1212,0,1,2,40,24.0,17,2
80422,SCROP80423,1297,0,1,2,20,34.0,5,3
80423,SCROP80424,1296,0,1,2,5,8.0,25,2
80424,SCROP80425,1296,0,1,2,5,20.0,1,1
80425,SCROP80426,1297,0,1,2,10,27.0,11,3
80426,SCROP80427,1296,0,1,2,10,,17,2
80427,SCROP80428,1297,0,1,2,10,32.0,13,2
80428,SCROP80429,1297,0,1,2,15,16.0,22,1
80429,SCROP80430,1296,0,1,2,15,16.0,23,2
80430,SCROP80431,1296,0,1,2,15,26.0,18,3
80431,SCROP80432,1297,0,1,2,15,29.0,10,3
80432,SCROP80433,1297,0,1,2,20,18.0,25,2
80433,SCROP80434,1297,0,1,2,20,23.0,5,2
80434,SCROP80435,1296,0,1,2,20,27.0,13,2
80435,SCROP80436,1296,0,1,2,20,33.0,5,2
80436,SCROP80437,1297,0,1,2,25,16.0,19,3
80437,SCROP80438,1296,0,1,2,25,22.0,20,2
80438,SCROP80439,1296,0,1,2,25,27.0,13,2
80439,SCROP80440,1297,0,1,2,25,28.0,14,2
80440,SCROP80441,1296,0,1,2,25,,12,1
80441,SCROP80442,1297,0,1,2,25,32.0,10,3
80442,SCROP80443,1296,0,1,2,30,17.0,18,1
80443,SCROP80444,1297,0,1,2,30,20.0,23,1
80444,SCROP80445,1296,0,1,2,30,21.0,15,1
80445,SCROP80446,1297,0,1,2,30,23.0,20,2
80446,SCROP80447,1296,0,1,2,30,31.0,8,1
80447,SCROP80448,1296,0,1,2,35,26.0,15,1
80448,SCROP80449,1297,0,1,2,40,,25,2
80449,SCROP80450,1296,0,1,2,40,22.0,19,3
80450,SCROP80451,1297,0,1,2,40,23.0,14,1
80451,SCROP80452,1296,0,1,2,40,27.0,11,1
80452,SCROP80453,1296,0,1,2,40,33.0,0,2
80453,SCROP80454,1296,0,1,2,40,36.0,9,3
80454,SCROP80455,1296,0,1,2,40,39.0,4,1
80455,SCROP80456,1297,0,1,2,40,,2,1
80456,SCROP80457,1296,0,1,2,50,34.0,6,2
80457,SCROP80458,1296,0,1,2,50,38.0,9,3
80458,SCROP80459,1296,0,1,2,55,40.0,5,3
80459,SCROP80460,1296,0,1,2,20,13.0,17,3
80460,SCROP80461,1296,0,1,2,20,23.0,16,3
80461,SCROP80462,1296,0,1,2,20,31.0,17,3
80462,SCROP80463,1296,0,1,2,20,43.0,5,1
80463,SCROP80464,1297,0,1,2,45,41.0,2,3
80464,SCROP80465,1385,0,1,2,15,10.0,21,2
80465,SCROP80466,1385,0,1,2,5,20.0,1,1
80466,SCROP80467,1385,0,1,2,10,14.0,25,3
80467,SCROP80468,1385,0,1,2,10,23.0,21,2
80468,SCROP80469,1385,0,1,2,10,24.0,17,1
80469,SCROP80470,1385,0,1,2,10,26.0,19,2
80470,SCROP80471,1385,0,1,2,15,19.0,18,3
80471,SCROP80472,1385,0,1,2,15,24.0,17,3
80472,SCROP80473,1385,0,1,2,20,19.0,16,2
80473,SCROP80474,1385,0,1,2,20,19.0,23,1
80474,SCROP80475,1385,0,1,2,20,20.0,20,2
80475,SCROP80476,1385,0,1,2,20,22.0,14,3
80476,SCROP80477,1385,0,1,2,20,,20,1
80477,SCROP80478,1385,0,1,2,20,25.0,21,1
80478,SCROP80479,1385,0,1,2,20,28.0,13,2
80479,SCROP80480,1385,0,1,2,20,43.0,2,1
80480,SCROP80481,1385,0,1,2,20,44.0,1,3
80481,SCROP80482,1385,0,1,2,25,14.0,29,2
80482,SCROP80483,1385,0,1,2,25,20.0,11,2
80483,SCROP80484,1385,0,1,2,25,30.0,16,1
80484,SCROP80485,1385,0,1,2,30,10.0,31,2
80485,SCROP80486,1385,0,1,2,30,28.0,11,1
80486,SCROP80487,1385,0,1,2,35,30.0,14,2
80487,SCROP80488,1385,0,1,2,40,19.0,23,2
80488,SCROP80489,1385,0,1,2,40,,14,2
80489,SCROP80490,1385,0,1,2,40,31.0,15,2
80490,SCROP80491,1385,0,1,2,40,44.0,0,2
